# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabB//pnp//
Ada_neg	hemL//waaH//
Ada_pos	fabA//purM//nrfD//lpd//
AdiY_pos	frdB//tdcB//astD//nrdA//
AgaR_neg	umuC//
AidB_neg	glcE//
AlaS-L-alanine_neg	lpxC//
AllR-allantoin_neg	eda//psd//caiC//sdhB//guaA//epd//
AllS-allantoin_pos	fadH//trpB//recD//
AlsR_neg	trpA//phnI//mtlD//
AppY_pos	hycC//gudD//
AraC-arabinose_neg	rutA//ulaF//citC//gapA//fdhF//
AraC-arabinose_pos	moaC//argE//sgbE//icd//purD//udp//
AraC_neg	torA//waaZ//phnN//
AraC_pos	paaY//prpB//glsA//
ArgP-arginine_neg	
ArgP-arginine_pos	aroH//
ArgP_pos	pgaD//glgB//uxuA//uvrC//glpD//nrdF//hcaE//uxuB//
ArgR-L-arginine_neg	lyxK//paaI//treC//dkgA//aspA//garK//trpE//mraY//pdeR//pspE//purE//chbF//leuA//allC//sbcC//icd//ulaE//rimK//
ArgR-L-arginine_pos	ldtC//pnp//rutE//deoB//pflB//
ArsR_neg	galE//malP//
AscG_neg	aroF//alsE//
AsnC_neg	nrfA//
AsnC_pos	ynfF//
AtoC-Phosphorylated_pos	paaJ//tyrA//puuA//
BCCP_neg	hypB//
BaeR-Phosphorylated_pos	napH//uvrB//
BasR-Phosphorylated_neg	phr//
BasR-Phosphorylated_pos	cysJ//ychF//
BetI_neg	glyA//ulaF//fadE//
BirA-biotinyl-5-adenylate_neg	paaH//entE//sodA//hyaC//accC//
BluR_neg	
BolA_neg	zwf//garK//
BolA_pos	fabA//ldtB//
BtsR-Phosphorylated_pos	dsdA//
CadC_pos	nrfD//cysG//moeB//
CaiF-L-carnitine_pos	ddlB//katG//epd//tynA//nanE//
Cbl_pos	katG//ruvB//mazG//moaC//putA//
CdaR_pos	idnD//lpxD//trpB//aroG//hcaE//hypF//prs//ubiX//glpX//
CecR_neg	lysA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ubiC//pspE//deoD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	nirB//umuC//tynA//
ChbR_neg	lysA//entA//murD//
ChbR_pos	leuB//hemL//entC//
ComR_neg	
CpxR-Phosphorylated_neg	paaE//hyaB//citX//
CpxR-Phosphorylated_pos	rffH//bioC//astC//ogt//atoA//umuC//hemL//idnO//glpD//paaF//guaA//hyaA//codA//rtcA//ttdB//paaG//pepD//trpA//
Cra_neg	lpd//leuD//ribA//pgi//ung//frdD//luxS//argE//paaI//araA//ycjG//adhE//lyxK//astC//rbsK//cysE//hyi//rffH//nadA//nrdB//mtlD//yqjH//aldA//rfe//fabB//phnM//puuE//tktB//aroF//folE//wecC//purK//accD//accD//rffH//pnp//pspE//malY//fbaA//tam//leuB//phnM//leuA//mhpB//recB//
Cra_pos	accD//puuA//glpB//hcaD//murD//idnO//umuD//ampC//speG//moeA//dgkA//hmp//paaZ//fbaA//pncB//aroG//galK//
CreB-Phosphorylated_neg	hycB//
CreB-Phosphorylated_pos	mdh//
CsgD_neg	folE//ogt//
CsgD_pos	ygeA//hcp//uxaC//
CsiR_neg	fruK//nagA//fadB//fucA//
CspA_pos	sgbH//
CueR-Cu_neg	pgaD//fbaA//bioD//
CueR-Cu_pos	dkgB//polB//
CusR-Pasp_pos	katG//nagB//lsrF//wrbA//
CynR-cyanate_pos	melA//ubiC//napB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	gor//rutB//hcaB//
CysB-O-acetyl-L-serine_pos	aroG//wzc//alkA//glxK//nrfC//garK//sucD//tdcE//hemH//citC//frc//glgC//
CysB_neg	
CysB_pos	hycB//feaB//
CytR_neg	lpxC//nirB//alkA//glgA//paaC//prpE//fucK//gor//ychF//mhpA//
Dan-L-tartrate_pos	lhgO//atoA//
DcuR-Phosphorylated_pos	mhpD//polA//caiB//torC//
