# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	citD//idnD//
Ada_neg	metC//fabA//
Ada_pos	adiA//wzc//entF//purD//
AdiY_pos	patD//prpC//metA//purN//
AgaR_neg	fadB//
AidB_neg	yfdE//
AlaS-L-alanine_neg	purM//
AllR-allantoin_neg	ulaG//phnI//pepD//gcvT//phr//ssuD//
AllS-allantoin_pos	sgbH//nirB//deoD//
AlsR_neg	purA//puuC//glgC//
AppY_pos	hemH//hyaC//
AraC-arabinose_neg	sodB//pyrC//chbG//kbaY//dgkA//
AraC-arabinose_pos	murI//ynfH//murE//metK//citX//mhpC//
AraC_neg	mdh//glmS//recF//
AraC_pos	ynfE//nanE//purD//
ArgP-arginine_neg	
ArgP-arginine_pos	purC//
ArgP_pos	mraY//moeA//glmU//adiA//hcaC//ybjG//trpE//glgB//
ArgR-L-arginine_neg	lsrK//codA//frdD//cynS//fabZ//bioF//aspC//wzc//cueO//lhgO//hcaC//edd//aceB//moeA//katE//allE//araB//pagP//
ArgR-L-arginine_pos	pdeR//cysJ//hyaC//feaB//gloA//
ArsR_neg	metA//tam//
AscG_neg	dmsC//ubiX//
AsnC_neg	chbG//
AsnC_pos	puuA//
AtoC-Phosphorylated_pos	sgbH//mngB//waaY//
BCCP_neg	dsdA//
BaeR-Phosphorylated_pos	uxuA//fbaA//
BasR-Phosphorylated_neg	rbsD//
BasR-Phosphorylated_pos	gatZ//gcvH//
BetI_neg	xylB//cadA//caiD//
BirA-biotinyl-5-adenylate_neg	dhaL//dmsB//carA//lpd//ttdA//
BluR_neg	
BolA_neg	yeaE//lysA//
BolA_pos	ruvA//fbaB//
BtsR-Phosphorylated_pos	nagB//
CadC_pos	ynfF//paaZ//uxaC//
CaiF-L-carnitine_pos	fabZ//guaA//sgbH//garL//sdhD//
Cbl_pos	paaF//glpA//sdhA//zwf//cysE//
CdaR_pos	carA//fabB//prpD//polB//astE//carA//cdd//cysE//bioF//
CecR_neg	napG//
ChbR-N-monoacetylchitobiose6-phosphate_neg	waaH//alkB//yqhD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	paaY//murG//rfe//
ChbR_neg	allC//sucD//leuB//
ChbR_pos	aceE//icd//paaB//
ComR_neg	
CpxR-Phosphorylated_neg	ldtD//tdcD//ycjG//
CpxR-Phosphorylated_pos	argI//ugpQ//ldtC//caiA//rffT//uxaA//gdhA//glmU//pdeH//asnB//adhE//ldtB//psd//trpD//ada//atoD//allE//hycF//
Cra_neg	ychF//malZ//eno//tdcE//caiC//prpD//betA//leuC//astB//srlD//deoA//nrdB//rhaB//trpA//glyA//nrfA//fucK//pykF//recB//paaA//ynfG//uidA//pdeR//betA//nagB//allE//sgbU//gcvH//rbsD//ldtD//glsA//mhpD//glyA//speA//wzb//wrbA//lsrK//glgC//entC//sufS//fruK//glpB//phr//paaI//paaJ//
Cra_pos	rhaA//nadB//allA//uxaA//lpd//hyaC//paaZ//napB//uxaA//speG//mhpD//hypB//polB//malS//galK//nrdA//iscS//
CreB-Phosphorylated_neg	speB//
CreB-Phosphorylated_pos	allD//
CsgD_neg	rhaB//ahpF//
CsgD_pos	phnL//psd//frdD//
CsiR_neg	nanK//nanM//hyaB//mpaA//
CspA_pos	alaS//
CueR-Cu_neg	yeaG//prpE//cysN//
CueR-Cu_pos	folA//atoD//
