# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	metB//glpC//
Ada_neg	pheS//allA//
Ada_pos	grxA//codA//ybjG//aceE//
AdiY_pos	gcl//paaK//gabT//ahpC//
AgaR_neg	glcB//
AidB_neg	umpH//
AlaS-L-alanine_neg	moaA//
AllR-allantoin_neg	ubiX//lpd//dacC//phnJ//pyrC//tynA//
AllS-allantoin_pos	bioA//argA//sbcD//
AlsR_neg	allC//gcvT//metF//
AppY_pos	gatD//metH//
AraC-arabinose_neg	hycC//leuD//tpiA//nagA//tynA//
AraC-arabinose_pos	sucA//thrS//argF//hycF//waaH//moaE//
AraC_neg	fbaB//ynfH//cynS//
AraC_pos	nanA//murD//citD//
ArgP-arginine_neg	
ArgP-arginine_pos	rutB//
ArgP_pos	pykF//accD//hcaF//paaI//ulaD//hcaF//nagA//metE//
ArgR-L-arginine_neg	caiC//aroG//astD//murG//prpC//cadA//fumC//glxR//rutD//phoA//yqhD//tdcG//uidA//sbcD//mhpE//mhpD//malP//wzb//
ArgR-L-arginine_pos	hcaC//frdA//nfsB//paaK//ruvB//
ArsR_neg	ampC//puuA//
AscG_neg	garL//frdB//
AsnC_neg	murE//
AsnC_pos	ulaG//
AtoC-Phosphorylated_pos	prpE//glgX//alsE//
BCCP_neg	lpd//
BaeR-Phosphorylated_pos	fadB//ldtD//
BasR-Phosphorylated_neg	lsrG//
BasR-Phosphorylated_pos	pykF//narI//
BetI_neg	entD//glcF//glmU//
BirA-biotinyl-5-adenylate_neg	fruK//glsA//tdcE//fadH//tdcE//
BluR_neg	
BolA_neg	paaE//relA//
BolA_pos	lysC//pheT//
BtsR-Phosphorylated_pos	sucB//
CadC_pos	acnA//frdA//dgcN//
CaiF-L-carnitine_pos	rbsD//ppsA//fadD//pflB//dinB//
Cbl_pos	fes//hcaF//yedX//prpD//atoD//
CdaR_pos	tadA//dhaM//pgi//gltB//araA//metF//cysM//murE//cysG//
CecR_neg	nirB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	recD//puuB//rbsK//
ChbR-N-monoacetylchitobiose6-phosphate_pos	hmp//waaH//mazG//
ChbR_neg	cysE//phnN//uvrA//
ChbR_pos	epd//pgaB//dsdA//
ComR_neg	
CpxR-Phosphorylated_neg	dmsC//galE//rhaB//
CpxR-Phosphorylated_pos	entB//frdB//waaZ//gcvP//yqhD//lpd//folA//hcaC//patD//purB//murQ//wrbA//pgi//xylB//malQ//gudD//pgpC//eno//
Cra_neg	rutB//gcl//metE//napA//phnL//hyi//entB//mhpC//purF//hyaA//paaE//hcaB//ahpC//rffT//gntK//gabT//prpD//rsmH//gatD//purK//idnK//pdeH//hycB//xapA//mpl//moaE//alkA//uxuB//garD//hcaF//cynS//garD//wrbA//glpC//carB//pgm//aroF//ugpQ//metE//purL//ynfH//cueO//edd//prpE//ruvA//
Cra_pos	frdC//nanM//nrdE//umuC//hycB//atoB//mpaA//glgA//ygeA//galM//ppsA//mhpB//deoB//gntK//hmp//trpE//ubiX//
CreB-Phosphorylated_neg	talA//
CreB-Phosphorylated_pos	dhaK//
CsgD_neg	luxS//polA//
CsgD_pos	citD//hyaC//frdC//
CsiR_neg	ydcS//glgC//sbcC//malP//
CspA_pos	melA//
CueR-Cu_neg	purA//narI//moeB//
CueR-Cu_pos	astD//nirD//
CusR-Pasp_pos	kbaZ//gapA//rutE//pdeR//
CynR-cyanate_pos	katE//speG//atoD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	phnN//ampC//paaC//
CysB-O-acetyl-L-serine_pos	lpxC//lysA//sdhA//caiC//citD//glxK//purA//deoA//fucA//waaH//dkgB//eno//
CysB_neg	
CysB_pos	puuA//glxK//
CytR_neg	rffM//pepD//pspE//phnI//ruvB//rffT//metE//nanA//polA//epd//
Dan-L-tartrate_pos	purL//waaH//
DcuR-Phosphorylated_pos	metB//rffT//atoB//speA//
DeoR_neg	patA//pck//uvrB//caiD//pck//puuE//
DhaR_neg	
DhaR_pos	katG//
DicA_neg	
DinJ-YafQ_neg	lhgO//
DnaA-ATP_neg	pncB//sgbH//phnP//trpE//patA//
DnaA-ATP_pos	hyi//glgX//ppsA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nagA//purK//glgP//glnA//paaF//
DsdC-D-serine_neg	
DsdC-D-serine_pos	tadA//murG//
EbgR_neg	
EnvR_neg	glgA//folE//
EnvY_pos	sbcC//uxuA//
EvgA-Phosphorylated_pos	tyrB//gloA//ubiA//dmsC//cynT//pgi//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	narI//udp//sgbH//speB//dgcC//ftsI//
FabR_neg	allD//purM//frdA//
FadR-acyl-CoA_pos	
FadR_neg	ugpQ//argF//glxR//narI//trpD//codA//argI//murI//tdcD//
FadR_pos	hcaB//malZ//uidA//fadD//lacA//fabD//pspE//napA//ftnA//entB//
FeaR_pos	sucA//ruvA//
FhlA-formate_pos	recD//entD//ubiC//metK//glnA//ubiX//argB//allC//
