# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpF//prpB//
Ada_neg	mhpD//hypB//
Ada_pos	dhaM//puuD//pyrD//tdcD//
AdiY_pos	nadA//tdcG//tyrA//gabD//
AgaR_neg	trpB//
AidB_neg	puuA//
AlaS-L-alanine_neg	cueO//
AllR-allantoin_neg	glxK//sgbU//pflB//acnA//astA//lpxD//
AllS-allantoin_pos	astD//rhaB//ruvB//
AlsR_neg	gltD//tyrA//ppsA//
AppY_pos	kbaY//hycD//
AraC-arabinose_neg	glcB//gadB//ogt//pgpC//glsA//
AraC-arabinose_pos	murQ//galK//narH//uxaA//aroL//puuB//
AraC_neg	fadE//prpC//oxc//
AraC_pos	yiaK//katG//fucI//
ArgP-arginine_neg	
ArgP-arginine_pos	ybjG//
ArgP_pos	fadB//fumB//argB//rffC//cysD//gcvH//aceB//purD//
ArgR-L-arginine_neg	putA//prpE//cdd//fadB//gpmA//garR//trpD//rsmH//ulaD//sdhA//nemA//tdcG//mhpA//purM//puuC//pgaB//argI//galK//
ArgR-L-arginine_pos	entH//gadA//wrbA//cysN//metH//
ArsR_neg	bioA//metE//
AscG_neg	bioC//fabB//
AsnC_neg	glyA//
AsnC_pos	rutC//
AtoC-Phosphorylated_pos	ruvA//pykF//rutC//
BCCP_neg	speB//
BaeR-Phosphorylated_pos	ddlB//frdD//
BasR-Phosphorylated_neg	umpH//
BasR-Phosphorylated_pos	aceA//fabB//
BetI_neg	argI//ychF//rffH//
BirA-biotinyl-5-adenylate_neg	nrdB//dacC//nanK//ruvB//dmsC//
BluR_neg	
BolA_neg	srkA//aceB//
BolA_pos	pck//gabD//
BtsR-Phosphorylated_pos	fabB//
CadC_pos	codA//ppsA//amn//
CaiF-L-carnitine_pos	pspE//aceF//argG//glgA//treC//
Cbl_pos	glpA//pgk//ubiC//glyA//xylB//
CdaR_pos	lpd//nemA//nemA//cysD//phnJ//fabG//lhgO//ssuD//galT//
CecR_neg	umpH//
ChbR-N-monoacetylchitobiose6-phosphate_neg	phnO//caiA//nrdB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	astB//nrfD//glpC//
ChbR_neg	treC//uvrA//tdcB//
ChbR_pos	sdhA//phoA//alaC//
ComR_neg	
CpxR-Phosphorylated_neg	hcaF//hypB//leuD//
CpxR-Phosphorylated_pos	hcaE//glcE//cysI//aroH//citG//rffC//aldA//polB//rffH//phnN//hcp//fabH//tdcG//bioC//rffM//uxuB//grxA//umuC//
Cra_neg	hycF//paaE//xylB//pflB//cysG//rffC//pyrD//fadI//wzb//nirD//hyaB//metE//srkA//hcaB//moeB//mazG//umuC//pgaC//ynfG//entC//tyrA//lsrK//dmsB//glpQ//ulaG//rtcB//fumB//hycC//yedX//glxR//argC//glgX//dkgB//epd//ung//ynfH//gpmM//pheS//gcvH//pgk//paaC//gcvT//aceB//glpA//purN//
Cra_pos	lsrF//cynT//chbG//alsE//epd//metF//sgbU//aroF//prs//citD//gltD//ssuE//fruK//aspC//glgP//bioA//malQ//
CreB-Phosphorylated_neg	hyaA//
CreB-Phosphorylated_pos	fbaB//
CsgD_neg	wzb//cadA//
CsgD_pos	pck//xylB//astD//
CsiR_neg	wzc//ssuE//phnM//fdhF//
CspA_pos	ldtC//
CueR-Cu_neg	napH//tyrA//pgaC//
CueR-Cu_pos	melA//moeA//
CusR-Pasp_pos	glyA//purE//glcE//gcvH//
CynR-cyanate_pos	sgbE//rhaB//rffG//
CynR_neg	
CysB-O-acetyl-L-serine_neg	carB//ubiC//pyrC//
CysB-O-acetyl-L-serine_pos	ulaG//rimK//dhaL//purD//glgA//truB//chbG//phnN//nrfD//argE//fucA//dinB//
CysB_neg	
CysB_pos	mhpC//wrbA//
CytR_neg	dhaK//narG//pepD//entH//paaE//aspA//pnp//glmS//fadA//phnP//
Dan-L-tartrate_pos	phoA//glgP//
DcuR-Phosphorylated_pos	xylB//entE//gabT//purK//
DeoR_neg	rffG//fruK//fadI//rnpB//moaA//cynS//
DhaR_neg	
DhaR_pos	rutB//
DicA_neg	
DinJ-YafQ_neg	nrfC//
DnaA-ATP_neg	alkA//malS//entH//ugpQ//xylA//
DnaA-ATP_pos	pck//paaA//citD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	rffH//fadI//dgcC//lacZ//folE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	uidA//citE//
EbgR_neg	
EnvR_neg	glmS//hycD//
EnvY_pos	yeaE//glpX//
EvgA-Phosphorylated_pos	rbsK//aspC//rtcA//glpX//ynfE//wzb//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	speG//katG//caiA//dmsC//allC//yqjH//
FabR_neg	tdcG//argE//astB//
FadR-acyl-CoA_pos	
FadR_neg	ubiX//alsE//napB//gdhA//hycC//polA//ycjG//ugpQ//fau//
FadR_pos	prpD//yeaE//tdcB//phnO//moaA//pgpC//hycC//nrdE//udp//pagP//
FeaR_pos	ynfE//ubiC//
FhlA-formate_pos	ugpQ//ruvA//speG//moaE//paaE//tadA//recF//pgaD//
FlhDC_neg	caiC//ycjG//
FlhDC_pos	nfsB//hypB//kbaZ//fucA//fumB//metB//uvrA//idnK//gcvT//sufS//tnaA//sgbH//
FliZ_neg	mdh//nagA//fadM//ppc//wzb//
FucR-L-fuculose-1-P_pos	prpD//cadA//trpD//puuA//mngB//ldtC//
Fur-Fe2_neg	trpD//glgP//narH//icd//purB//idnD//trpA//rutC//torA//leuD//gapA//rhaD//gutQ//rtcB//pgaB//uxuB//ssuE//fbaA//leuD//citC//astE//murF//gltD//purC//slt//ppiA//serA//fabH//nrfD//hyaB//fucK//gnd//astC//cynS//lysC//rhaA//cueO//glpD//purL//fabH//glgA//narH//gor//pagP//allB//ndh//phnG//torA//fadJ//argF//frdB//caiB//gadA//
Fur-Fe2_pos	wecB//atoB//idnO//ribA//recB//nagB//fucA//aroF//sodA//nrdE//dkgB//frdD//tdcD//fabZ//mhpB//hcaF//
GadE-RcsB_pos	hyi//citG//entH//rhaD//fadD//
GadE_pos	fabI//katE//phnJ//fabH//eno//argH//puuC//srlD//nanM//dmsB//
GadW_neg	paaZ//pck//epd//
GadW_pos	alaS//pgm//glxR//glgB//
GadX_neg	ydcS//nrdE//lpxA//
GadX_pos	pepD//allA//ascB//gadB//murE//aspC//garR//ldtC//trpB//murG//phnP//
GalR-beta-D-galactose_neg	rffM//sbcC//allC//betB//aroG//
GalR-beta-D-galactose_pos	hcaE//garD//chbF//astE//
GalR_neg	mltF//gltD//ldtC//hcaC//bioC//folA//
GalR_pos	fabH//polB//purF//astA//
GalS-beta-D-galactose_neg	eno//ribA//rhaD//ascB//uidA//
GalS-beta-D-galactose_pos	hcaD//glmU//ycjG//yiaK//
GalS_neg	leuA//entF//aspA//napG//polA//adhE//
GalS_pos	astC//ogt//recF//ugpQ//
GatR_neg	citF//glpQ//rffC//
GcvA_neg	fadI//ulaE//argI//
GcvA_pos	lsrK//pyrD//wzb//
GlcC-glycolate_neg	
GlcC-glycolate_pos	lsrK//oxc//mazG//
GlpR_neg	rhaB//torC//hcp//bglB//tpiA//hcaC//ribA//
GlrR-Pasp56_pos	
GntR_neg	gdhA//rutA//talA//glcF//citF//aceF//pheS//nanK//pgaC//
