# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	sodB//ssuD//
Ada_neg	entD//murC//
Ada_pos	amn//narG//purB//napB//
AdiY_pos	galM//aceF//deoD//aroG//
AgaR_neg	pgpC//
AidB_neg	sgbE//
AlaS-L-alanine_neg	pdeR//
AllR-allantoin_neg	purA//slt//entB//glcD//mdh//nrfA//
AllS-allantoin_pos	hcaF//rffG//cdd//
AlsR_neg	nirD//frc//astE//
AppY_pos	phnG//gpmA//
AraC-arabinose_neg	pncB//gntK//dmsC//glxK//yqhD//
AraC-arabinose_pos	gltD//malS//phoA//mdh//asnA//frdD//
AraC_neg	hypF//mhpB//purD//
AraC_pos	glcB//uxaB//dgcZ//
ArgP-arginine_neg	
ArgP-arginine_pos	caiC//
ArgP_pos	mpl//entB//narH//malQ//trpD//deoD//frdB//ftnA//
ArgR-L-arginine_neg	bglB//mhpF//lpxA//wzb//murG//puuB//ulaG//frc//mngB//nrfC//astB//argG//uvrB//sbcC//aceA//rutD//argE//napB//
ArgR-L-arginine_pos	garD//gcvH//folE//gcvP//ruvA//
ArsR_neg	tpiA//tdcB//
AscG_neg	rutE//allB//
AsnC_neg	aceE//
AsnC_pos	accD//
AtoC-Phosphorylated_pos	nadA//cysH//sbcD//
BCCP_neg	allE//
BaeR-Phosphorylated_pos	dgcZ//ruvB//
BasR-Phosphorylated_neg	astC//
BasR-Phosphorylated_pos	treC//dgcZ//
BetI_neg	pyrD//murI//narH//
BirA-biotinyl-5-adenylate_neg	mngB//dapD//nagA//fabI//recB//
BluR_neg	
BolA_neg	astE//nemA//
BolA_pos	fadE//cdd//
BtsR-Phosphorylated_pos	entC//
CadC_pos	galT//hycG//ubiX//
CaiF-L-carnitine_pos	fucA//citC//tyrA//idnD//dinB//
Cbl_pos	oxc//garD//astC//hemL//rutA//
CdaR_pos	sucD//glsA//fucI//murQ//rutA//dapD//recF//nadA//tadA//
CecR_neg	nrdB//
