# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	putA//malZ//
Ada_neg	tpiA//ugpQ//
Ada_pos	hypF//rimK//speB//uvrA//
AdiY_pos	pyrD//argG//fabA//hycF//
AgaR_neg	pgaC//
AidB_neg	xapA//
AlaS-L-alanine_neg	cueO//
AllR-allantoin_neg	waaY//nanK//ampC//puuD//pgaB//polB//
AllS-allantoin_pos	mdh//ahpF//sodA//
AlsR_neg	sodA//rffC//prpD//
AppY_pos	garR//purD//
AraC-arabinose_neg	fucI//cysH//nanE//nrfD//gloA//
AraC-arabinose_pos	uxuA//argF//adiA//cyoE//yfdE//yeaG//
AraC_neg	entA//tadA//gcvH//
AraC_pos	deoC//glgX//ygeA//
ArgP-arginine_neg	
ArgP-arginine_pos	hyi//
ArgP_pos	tauD//serA//rutE//recF//argB//grxA//fabA//sucA//
ArgR-L-arginine_neg	trpC//prpC//ruvB//puuE//rfe//yeaE//prs//tam//cysK//phnI//purE//allB//trpB//gpmM//wecC//rhaA//lacZ//accC//
ArgR-L-arginine_pos	allB//ubiX//trpB//ssuE//purH//
ArsR_neg	puuC//umuC//
AscG_neg	purK//purK//
AsnC_neg	sbcD//
AsnC_pos	garR//
AtoC-Phosphorylated_pos	aceF//aroG//garR//
BCCP_neg	glcB//
BaeR-Phosphorylated_pos	lpxA//atoD//
BasR-Phosphorylated_neg	napB//
BasR-Phosphorylated_pos	waaZ//pgm//
BetI_neg	glmU//dapB//trpC//
BirA-biotinyl-5-adenylate_neg	amn//glpD//napB//hcaB//trpC//
BluR_neg	
BolA_neg	cyoE//sgbE//
BolA_pos	glpD//argC//
BtsR-Phosphorylated_pos	ynfG//
CadC_pos	gapA//lpxD//fucI//
CaiF-L-carnitine_pos	cadA//hcaF//dgcN//tyrA//gcvP//
Cbl_pos	ttdA//leuC//glgA//bioF//rtcA//
CdaR_pos	sdhB//cysK//fucK//fruK//luxS//cysI//dinB//dgcN//poxB//
CecR_neg	wecE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	amn//luxS//entB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	lsrG//ubiX//lhgO//
ChbR_neg	paaC//torC//nagB//
ChbR_pos	ftsI//murI//bioB//
ComR_neg	
CpxR-Phosphorylated_neg	thrS//gpmM//cysD//
CpxR-Phosphorylated_pos	fucK//cysJ//ydcS//tpiA//argB//umuC//wecB//purF//hycD//trpA//pfkA//gudD//tam//fabZ//rutB//aroH//betB//trpC//
Cra_neg	metL//alsE//hyaA//puuA//ttdB//dacC//fabI//cueO//cynT//wzc//rfe//ftsI//entH//lysA//nemA//citF//dmsA//poxB//bioA//murI//speG//paaG//rimK//ndh//wecB//purM//leuC//deoC//aroL//paaK//glgP//fadM//cysM//gcvH//wzb//mhpD//cysG//metL//entA//melA//carA//gntK//idnD//speB//dgcZ//
Cra_pos	rpiB//caiB//waaH//dacC//lyxK//amn//fabH//oxc//gloA//gutQ//astD//aceB//tehB//paaH//deoC//glxR//allA//
CreB-Phosphorylated_neg	gatZ//
CreB-Phosphorylated_pos	cysI//
CsgD_neg	argA//sbcD//
CsgD_pos	pgm//lsrG//hcaD//
CsiR_neg	paaY//nrfA//phnM//speG//
CspA_pos	citG//
