# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	carA//hypF//
Ada_neg	cysM//araB//
Ada_pos	alsE//moaA//sdhD//betA//
AdiY_pos	uxaA//adhE//acnB//mraY//
AgaR_neg	pck//
AidB_neg	pncB//
AlaS-L-alanine_neg	mazG//
AllR-allantoin_neg	gudD//allE//gatZ//ssuE//purA//fumB//
AllS-allantoin_pos	mhpF//speG//acnB//
AlsR_neg	nrfC//rhaD//dgcZ//
AppY_pos	bioF//galK//
AraC-arabinose_neg	ynfE//idnO//hcaD//frdC//putA//
AraC-arabinose_pos	galT//mnmG//murC//uidA//iscS//phr//
AraC_neg	argB//paaK//edd//
AraC_pos	glnA//purN//pnp//
ArgP-arginine_neg	
ArgP-arginine_pos	lacA//
ArgP_pos	adiA//pfkA//phnN//frdC//frdC//leuA//bioC//sodA//
ArgR-L-arginine_neg	dinB//poxB//gatD//gapA//lldD//mhpB//fucA//frdD//rutD//gatY//paaH//paaG//ubiC//gnd//argA//nrfD//murG//pfkA//
ArgR-L-arginine_pos	cadA//cysG//glk//nirD//gatZ//
ArsR_neg	wecB//pspE//
AscG_neg	ynfG//hcaD//
AsnC_neg	allD//
AsnC_pos	prs//
AtoC-Phosphorylated_pos	citE//hyaA//fruK//
BCCP_neg	folA//
BaeR-Phosphorylated_pos	entB//astC//
BasR-Phosphorylated_neg	murF//
BasR-Phosphorylated_pos	umuC//ruvA//
BetI_neg	fadE//hmp//dhaK//
BirA-biotinyl-5-adenylate_neg	torC//nrfD//rhaD//truB//prpC//
BluR_neg	
BolA_neg	phnJ//sgbU//
BolA_pos	murG//asnB//
BtsR-Phosphorylated_pos	entA//
CadC_pos	puuA//moaA//torA//
CaiF-L-carnitine_pos	grxA//gabD//rffH//wecB//deoB//
Cbl_pos	phnG//eno//bglB//pgi//mazG//
CdaR_pos	rutA//bioA//idnK//aceB//acnB//tdcD//dgcC//lpxA//narI//
CecR_neg	dgkA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	pflB//eno//lpxA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	pck//napH//glyA//
ChbR_neg	paaZ//bacA//murQ//
ChbR_pos	gcvH//phnN//aceB//
ComR_neg	
CpxR-Phosphorylated_neg	umuD//paaA//ttdB//
CpxR-Phosphorylated_pos	umuC//nrdF//purL//uxaB//narG//pgm//bioC//cyoE//frdC//gpmM//cysI//tyrA//yeaG//gdhA//nrdE//edd//tdcD//fau//
Cra_neg	gatZ//paaF//oxc//grxA//paaA//gatD//aceE//tehB//paaC//gdhA//glgX//bioB//entE//nanM//waaH//uxaB//arsC//rffT//entF//murG//ruvB//ynfF//metK//dmsB//glpQ//fumC//aceF//rbsK//moeB//grxA//entE//pgpC//murE//tpiA//tynA//speA//purK//hcaE//nanK//metH//pheS//glsA//napG//purA//dapB//
Cra_pos	dhaL//yiaK//purL//murF//paaA//psd//allD//kbaZ//allC//phnP//ndh//dmsC//nrdD//glpA//napG//dkgA//fadH//
CreB-Phosphorylated_neg	bglB//
CreB-Phosphorylated_pos	ynfE//
CsgD_neg	ada//uxaC//
CsgD_pos	appA//icd//ldtC//
CsiR_neg	napH//eda//serA//hcp//
CspA_pos	speB//
CueR-Cu_neg	lpxC//treC//uvrA//
CueR-Cu_pos	rhaA//gatZ//
CusR-Pasp_pos	leuB//fabZ//eno//entB//
CynR-cyanate_pos	pncB//ulaG//ycjG//
CynR_neg	
CysB-O-acetyl-L-serine_neg	garK//melA//rffT//
CysB-O-acetyl-L-serine_pos	leuA//glcB//mdh//dgcC//allD//dmsC//citD//katE//pgi//poxB//alkA//pgm//
CysB_neg	
CysB_pos	uxaA//allD//
CytR_neg	aroL//cueO//rsmH//hcaE//hemL//eno//codA//gabT//rnpB//argD//
Dan-L-tartrate_pos	fabA//tyrB//
DcuR-Phosphorylated_pos	hmp//fabI//idnK//phnM//
DeoR_neg	lldD//murC//aroG//kbaY//lhgO//pgaD//
DhaR_neg	
DhaR_pos	carB//
DicA_neg	
DinJ-YafQ_neg	gabT//
DnaA-ATP_neg	prs//ahpF//hypB//trpD//narI//
DnaA-ATP_pos	udp//sucA//lldD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	allC//hycB//araD//mtlD//rhaA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	glcD//tadA//
EbgR_neg	
EnvR_neg	lpxC//gltD//
EnvY_pos	tyrB//alaC//
EvgA-Phosphorylated_pos	citC//glcF//purF//uxuB//mhpB//pykF//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	cysM//garK//pdeR//nagB//aroH//caiB//
FabR_neg	phnM//ppiA//adiA//
FadR-acyl-CoA_pos	
FadR_neg	hcaD//lsrK//aroL//phnG//astB//purH//purK//glgP//uxuA//
FadR_pos	sucA//murE//yqjH//phoA//mhpB//araB//rpiB//gor//sdhD//ssuE//
FeaR_pos	gor//dmsB//
FhlA-formate_pos	galE//gudD//appA//guaA//gutQ//glk//galK//adiA//
FlhDC_neg	amn//hycB//
FlhDC_pos	dinB//glpQ//uvrB//thrS//leuC//fruK//uidA//yeaG//phnP//glmU//citE//mtlD//
FliZ_neg	fadJ//feaB//moaD//purA//wzc//
FucR-L-fuculose-1-P_pos	fabG//eda//cyoE//purD//lyxK//fabA//
Fur-Fe2_neg	ynfE//ulaD//glxR//dmsA//ychF//rpiB//hcaD//ftsI//tynA//speG//zwf//phnL//grxA//ubiX//gcl//adhE//sucD//ftnA//glgB//puuE//idnD//lsrG//cysH//gcvT//purB//fucO//ycjG//paaI//uvrC//umuC//ttdB//eno//guaA//rutD//argI//allC//waaY//rffG//lysC//citG//metL//dgcC//ssuD//psd//paaA//thrS//gntK//dgcN//hycB//astB//pheT//ampC//citC//
Fur-Fe2_pos	tam//rfe//metK//galM//dgcZ//zwf//ynfG//gatD//nrfC//mhpA//ada//zwf//idnK//cysD//cueO//atoD//
GadE-RcsB_pos	sdhC//alkA//allE//cadA//hemL//
GadE_pos	lpxA//tynA//paaJ//ttdB//tyrB//hycE//ccp//lldD//glgP//deoD//
GadW_neg	wecB//purA//mltF//
GadW_pos	fucU//dmsA//fes//sdhD//
GadX_neg	glgP//fucI//araD//
GadX_pos	sgbE//glpB//arsC//alaS//narG//nrdA//grxA//sdhB//garK//phnO//malQ//
GalR-beta-D-galactose_neg	rutA//araD//glpQ//glcD//nanA//
GalR-beta-D-galactose_pos	lldD//alkB//ruvB//tynA//
GalR_neg	gcvT//ldtB//fadI//gpmA//mazG//lacZ//
GalR_pos	gcl//gatY//bioD//pgm//
GalS-beta-D-galactose_neg	hemH//astE//paaG//citD//rfe//
GalS-beta-D-galactose_pos	narG//gpmA//rpiB//uxuB//
GalS_neg	caiB//betB//acnA//moaD//torA//prpB//
GalS_pos	hyaA//glyA//waaY//paaA//
GatR_neg	mazG//accD//argB//
GcvA_neg	mpaA//malZ//nadB//
GcvA_pos	dinB//glcF//folA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	fabH//gatZ//gapA//
GlpR_neg	deoB//pykF//mhpD//appA//galK//phnJ//uxaC//
GlrR-Pasp56_pos	
GntR_neg	lsrF//rhaA//ddlB//mhpA//aroG//gcvT//rffC//glpK//ada//
GutM_pos	katE//rutB//serA//
HU_neg	nrdF//alaS//fadE//uvrC//appA//dhaK//puuE//
HU_pos	
HcaR-HCA_pos	glgP//pgaB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pgaC//
HigB-HigA_neg	murC//
HipAB_neg	metB//frdD//
HipB_neg	rbsK//citE//bioF//
HprR-Phosphorylated_neg	fadI//dhaK//
HprR-Phosphorylated_pos	iscS//lpxD//
HyfR_pos	ugpQ//
HypT-Met-oxidized_neg	speA//speG//
HypT-Met-oxidized_pos	ascB//nrfC//pheS//rhaD//aroH//
IclR-pyruvate_neg	tdcG//mhpA//dhaM//
IdnR-5-ketogluconate_neg	pdeH//hcaE//
IdnR-5-ketogluconate_pos	ttdA//lacA//mhpA//
IlvY-2-acetolactate_pos	lpxC//
IlvY_neg	
IscR-2Fe-2S_neg	pgpC//prpC//
IscR_neg	moaE//treC//fabA//metH//
IscR_pos	garD//metH//
KdgR_neg	rffM//cadA//
KdpE-Phosphorylated_pos	tyrB//
