# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ldtD//pepD//
Ada_neg	tktB//glcD//
Ada_pos	araD//umuC//talA//fabI//
AdiY_pos	argG//trpB//pfkA//nrdF//
AgaR_neg	uxuA//
AidB_neg	pheS//
AlaS-L-alanine_neg	alaC//
AllR-allantoin_neg	hyaA//sgbU//mhpB//trpE//adhE//frdD//
AllS-allantoin_pos	mhpD//cysC//lysA//
AlsR_neg	hyaA//putA//uxuA//
AppY_pos	murC//nadB//
AraC-arabinose_neg	pgk//entB//cysE//puuD//uvrB//
AraC-arabinose_pos	hcaF//entH//hycG//dapB//alaC//purL//
AraC_neg	idnO//wzc//mnmG//
AraC_pos	prpE//fbaA//fucU//
ArgP-arginine_neg	
ArgP-arginine_pos	phnI//
ArgP_pos	feaB//phnL//hcaE//folE//carB//dsdA//bioA//mhpC//
ArgR-L-arginine_neg	uxaA//murQ//tyrA//glsA//paaB//nfsA//fau//argG//gudD//yedX//hyaC//dhaK//ilvC//glxK//glyA//umpH//mdh//allB//
ArgR-L-arginine_pos	tyrA//cyoE//fabB//ttdB//paaB//
ArsR_neg	glcB//purL//
AscG_neg	yqhD//cysE//
AsnC_neg	tdcE//
AsnC_pos	nrdE//
AtoC-Phosphorylated_pos	gcvP//icd//glcE//
BCCP_neg	feaB//
BaeR-Phosphorylated_pos	cysC//cysM//
BasR-Phosphorylated_neg	treC//
BasR-Phosphorylated_pos	lsrG//lhgO//
BetI_neg	xylB//putA//moaE//
BirA-biotinyl-5-adenylate_neg	appA//accA//ada//rhaA//uxaC//
BluR_neg	
BolA_neg	leuD//galM//
BolA_pos	glmS//lldD//
BtsR-Phosphorylated_pos	ulaG//
CadC_pos	oxc//psd//nrdB//
CaiF-L-carnitine_pos	poxB//bglB//sucA//moaC//murQ//
Cbl_pos	torC//cdd//ychF//recB//argI//
CdaR_pos	hycB//mhpA//fabA//folA//murF//rimK//speA//poxB//phnP//
CecR_neg	fes//
ChbR-N-monoacetylchitobiose6-phosphate_neg	gntK//ppsA//speA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	arsC//tam//hemL//
ChbR_neg	tam//trpC//aspC//
ChbR_pos	fau//argC//nadA//
ComR_neg	
CpxR-Phosphorylated_neg	nrdA//xapA//pgaB//
CpxR-Phosphorylated_pos	astE//pgpC//pagP//trpE//hyaA//tehB//ulaE//sodB//thrS//oxc//ldtD//pncB//glcB//ugpQ//zwf//lsrG//ppc//sbcD//
Cra_neg	psd//hcaB//argG//citF//yiaK//nagB//leuA//uxuA//aroH//pncB//hyaA//pykF//gdhA//garR//hycD//argD//allE//fes//rutC//araA//glcB//hcaE//torA//cysI//pagP//alaS//thrS//puuD//gadB//paaE//murQ//puuB//araB//lyxK//ubiC//serA//dsdA//sbcD//nadA//folA//ruvB//alaC//sodA//uvrB//allE//
Cra_pos	dgcZ//phnP//cysG//entC//bioD//astB//sufS//galE//rffC//ung//entF//phnJ//sdhA//ldtB//ccp//umpH//melA//
CreB-Phosphorylated_neg	purL//
CreB-Phosphorylated_pos	udp//
CsgD_neg	dgcC//cyoE//
CsgD_pos	malY//polB//treC//
CsiR_neg	pheT//uvrB//gutQ//caiA//
CspA_pos	dapD//
CueR-Cu_neg	fabB//paaA//ruvB//
CueR-Cu_pos	argH//purA//
CusR-Pasp_pos	gadA//dmsB//gudD//ulaF//
CynR-cyanate_pos	hemL//entH//aceA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	ftnA//fucO//aroL//
CysB-O-acetyl-L-serine_pos	yedX//moaA//pgpC//idnK//fadB//pdeH//kbaZ//sdhA//ydcS//rhaD//talA//mhpF//
CysB_neg	
CysB_pos	thrS//metE//
CytR_neg	ubiX//glgP//sodA//pgi//nagB//allE//ada//ubiX//tyrA//sdhA//
Dan-L-tartrate_pos	bioC//murC//
DcuR-Phosphorylated_pos	glpX//paaI//cysK//dkgA//
DeoR_neg	yeaE//glxK//relA//wrbA//ampC//ldtD//
DhaR_neg	
DhaR_pos	rsmH//
DicA_neg	
DinJ-YafQ_neg	metC//
DnaA-ATP_neg	frdA//udp//guaA//bioC//sgbU//
DnaA-ATP_pos	lacZ//dgcC//rtcB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glk//mdh//nemA//cynT//ybjG//
DsdC-D-serine_neg	
DsdC-D-serine_pos	argF//tyrB//
EbgR_neg	
EnvR_neg	alaS//talA//
EnvY_pos	waaZ//galM//
EvgA-Phosphorylated_pos	hyi//hcaE//purA//recF//pfkA//guaB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	caiA//phnJ//folA//ilvC//glsA//thrS//
FabR_neg	phnG//malZ//alkB//
FadR-acyl-CoA_pos	
FadR_neg	ubiA//gadA//sodA//uvrB//garD//tdcE//fbaA//accA//wecE//
FadR_pos	ogt//sbcC//purL//mpl//umuD//wrbA//ldtC//tyrB//argB//tauD//
FeaR_pos	sucB//moaE//
FhlA-formate_pos	luxS//speB//metC//glxR//aceB//gabT//fadD//moeA//
FlhDC_neg	cysM//pnp//
FlhDC_pos	ychF//hcaE//puuB//yeaG//asnB//pck//metE//kbaY//tynA//sucA//metK//idnK//
FliZ_neg	rhaB//epd//rffT//pheS//ccp//
FucR-L-fuculose-1-P_pos	treC//argF//hypF//glgA//hcaF//rffH//
Fur-Fe2_neg	hmp//hemH//paaF//argF//aroG//wzb//acnB//malP//recD//gatY//gcl//cdd//phnL//fadB//phnP//gor//glpD//ybjG//murI//wzc//dhaK//katE//cysK//tdcE//pncB//yedX//ulaE//ldtC//accC//srkA//tktB//polA//poxB//entD//malP//phnJ//entB//nanM//fadJ//ccp//mhpD//dgcZ//gcl//mngB//uvrB//caiA//glgA//citD//allA//purN//puuC//codA//rsmH//
Fur-Fe2_pos	murF//malP//rutC//rnpB//pgpC//atoD//hcaE//xylA//citC//rimK//purD//moaD//paaE//entD//dkgB//citF//
GadE-RcsB_pos	tpiA//mltF//lhgO//phnO//nagB//
GadE_pos	ccp//frdA//ftsI//argD//kbaY//moeB//ruvA//pgm//allA//patA//
GadW_neg	purH//sgbH//rutA//
GadW_pos	hycE//xapA//putA//lyxK//
GadX_neg	katE//cadA//fumB//
GadX_pos	hypB//deoC//paaY//ldtC//nrdA//pepD//melA//prpD//hycF//mhpF//murI//
GalR-beta-D-galactose_neg	argB//gltB//adhE//fadM//pdeH//
GalR-beta-D-galactose_pos	sucA//sucD//polA//tam//
GalR_neg	ygeA//mhpD//ogt//codA//murG//uvrB//
GalR_pos	fadE//dapB//gapA//citE//
GalS-beta-D-galactose_neg	ssuD//fucK//sucD//carB//cysM//
GalS-beta-D-galactose_pos	citF//aceE//talA//pdeL//
GalS_neg	gadB//mhpF//hcaD//ydcS//nanE//frdA//
GalS_pos	fabD//fbaA//lsrG//aceA//
GatR_neg	rsmH//deoB//ttdA//
GcvA_neg	moaA//mhpE//acnB//
GcvA_pos	argA//fadE//uvrA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	purA//phnJ//glmS//
GlpR_neg	glxR//garR//uxaC//bioF//glxK//argD//rhaB//
GlrR-Pasp56_pos	
GntR_neg	pheS//atoD//entC//glxR//citG//moeB//mhpB//nanK//dsdA//
GutM_pos	nrdF//murI//moaC//
HU_neg	puuC//glcF//metC//dgkA//bacA//uxaA//cyoE//
HU_pos	
HcaR-HCA_pos	accD//astB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	uxuA//
HigB-HigA_neg	pykF//
HipAB_neg	waaZ//citG//
HipB_neg	paaK//yqhD//tktB//
HprR-Phosphorylated_neg	sodB//entD//
HprR-Phosphorylated_pos	allC//frdA//
HyfR_pos	puuB//
HypT-Met-oxidized_neg	asnB//fabD//
HypT-Met-oxidized_pos	treC//ttdB//carB//entA//glmU//
IclR-pyruvate_neg	astE//cueO//gatY//
IdnR-5-ketogluconate_neg	metB//malZ//
IdnR-5-ketogluconate_pos	cysK//pck//glxK//
IlvY-2-acetolactate_pos	slt//
IlvY_neg	
IscR-2Fe-2S_neg	lyxK//umuD//
IscR_neg	citD//wecE//pyrC//bioC//
IscR_pos	paaH//deoB//
KdgR_neg	adhE//alaC//
KdpE-Phosphorylated_pos	phnO//
LacI_neg	mdh//mltF//garR//
LeuO_neg	
LeuO_pos	chbF//wecC//allE//garD//paaJ//dhaL//
LexA_neg	nanA//lsrG//ung//ruvB//atoD//moaC//mhpF//murD//srkA//argD//fadH//pflB//cynT//aldA//talA//metE//allC//bacA//fadE//eda//rsmH//cysH//lsrK//
LldR-lactate_neg	thrS//nanA//
LldR-lactate_pos	ruvB//puuB//
LldR_neg	napA//paaE//
LldR_pos	aceB//aroL//
LrhA_neg	
LrhA_pos	
LsrR_neg	metE//dacC//frdD//fes//gpmM//
LysR_neg	
LysR_pos	hycD//
MalI_neg	hyaA//pgm//
MalT-maltotriose-ATP_pos	umuC//uxuA//narI//fadA//hmp//fbaB//
MarA_neg	mazG//
MarA_pos	dacC//nrdA//trpD//pgi//atoD//fadE//torA//rffT//napB//pgaD//dhaM//umuD//patD//entF//citG//lpxA//glyA//rutD//betB//ldtC//argD//argH//lsrF//
MarR_neg	
MatA_neg	dapB//
MatA_pos	
MazE-MazF_neg	tdcG//
MazE_neg	polA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	lyxK//yqjH//
MelR-melibiose_pos	glpA//tdcG//
MelR_neg	polA//narI//
MelR_pos	narH//ddlB//
MetJ-adenosylmethionine_neg	malS//ilvC//patD//argF//leuC//psd//purA//fabD//bioF//dmsC//
MetR-L-homocysteine_neg	dgcN//
MetR-L-homocysteine_pos	mraY//ybjG//
MetR_pos	cyoE//rtcB//
MhpR-3HPP_pos	caiB//fucA//sgbE//sdhC//nadB//prpE//
Mlc_neg	ynfE//wecC//hycB//nrdF//
MlrA_pos	sucA//
MngR_neg	hcaD//argF//
MntR-Mn2_neg	malP//
MntR-Mn2_pos	carB//
ModE-MoO42-_neg	cadA//fdhF//arsC//gpmA//hemL//murG//folE//purN//
ModE-MoO42-_pos	allE//garK//hyaB//glmS//polA//rutD//appA//ndh//nrfA//
MprA_neg	dhaK//chbF//glpA//
MqsA_neg	purM//aroF//
MraZ_neg	pgaD//paaF//allB//umuC//recF//nrdF//glgP//aceE//citD//srkA//
MurR_neg	glcE//ccp//fadM//
MurR_pos	
Nac_neg	pncB//carA//speG//
Nac_pos	hcaB//bacA//uvrC//nagB//gadA//glgA//puuB//argI//
NadR_neg	lyxK//nanM//codA//appA//
NagC_neg	pdeH//aldA//entD//dacC//galK//aceB//glpQ//bglB//cyoE//cysJ//moaA//gltB//ulaE//metF//cysG//aceB//murE//tyrB//
NagC_pos	entF//chbG//
NanR_neg	hycG//nrdA//tdcE//aceE//amn//leuC//
NanR_pos	
NarL-Phosphorylated_neg	moaE//tdcB//purF//carB//ftnA//ppc//mnmG//bioA//deoB//sodB//ilvC//metF//mtlD//hypF//gcvP//argG//fadD//tynA//leuA//tdcB//mpl//araD//ynfH//prpB//prs//ynfE//allA//uvrC//
NarL-Phosphorylated_pos	fadM//glnA//paaZ//galE//pdeL//allA//psd//idnK//lhgO//mpl//cysI//argD//rtcB//iscS//ascB//
NarP-Phosphorylated_neg	wecB//pgk//nanE//paaA//tam//
NarP-Phosphorylated_pos	paaF//mhpC//hycD//dacC//paaE//tdcB//luxS//gntK//hycB//kbaY//yeaE//uvrB//purA//rhaD//
NemR_neg	pdeL//ftsI//
NhaR-Na_pos	chbF//pepD//metK//mltF//ulaG//
NikR-Ni2_neg	rpiB//
NimR_neg	carB//
NorR_neg	
NorR_pos	hypF//
NrdR-Zn2_neg	fdhF//moaD//paaA//aroF//
NsrR_neg	fucU//recD//moeB//gabT//astD//rpiB//yqjH//pnp//mhpA//wecB//bacA//cysK//pnp//allE//nagB//alkA//rsmH//dapB//pgm//lpxD//dacC//fadH//pflB//rtcB//glpA//pdeL//hyi//tdcG//bioA//ulaE//murI//nagB//purA//fabI//malP//lacA//ulaG//dgcC//tdcG//lsrF//
NtrC-Phosphorylated_neg	speG//yeaE//
NtrC-Phosphorylated_pos	aroH//pgm//entA//pykF//pheS//srlD//uvrC//gapA//argD//glgP//murF//patD//malS//rtcB//cysG//narG//purA//pyrC//fabZ//phnH//aceB//
OmpR-Phosphorylated_neg	hyi//ung//dgkA//uxaA//argE//
OmpR-Phosphorylated_pos	citX//glcB//lpd//phr//
OxyR_neg	accD//acnB//trpE//nadB//hycC//
OxyR_pos	xylA//sdhD//glpD//allB//mhpB//tehB//accA//tnaA//entB//trpB//prs//dsdA//
PaaX_neg	mhpB//ulaD//ruvA//alsE//truB//ulaF//glsA//astA//frc//
PdeL_pos	astA//
PdhR_neg	fadH//purB//yeaG//sufS//cysJ//tynA//ynfH//sbcD//accA//aroF//nanM//fadE//sgbU//eda//lacA//astE//speG//ynfH//nagA//sdhA//speA//garK//nrfA//
PdhR_pos	phnO//carA//
PepA_neg	galE//pagP//
PgrR_neg	epd//napH//
PhoB-Phosphorylated_neg	ung//fabH//rtcA//betA//ampC//
PhoB-Phosphorylated_pos	fabA//ahpC//metL//idnK//argH//lldD//ycjG//accA//cysK//lpxC//ruvA//trpE//bacA//fucK//gutQ//allE//adhE//
PhoP-Phosphorylated_neg	argA//torC//ygeA//
PhoP-Phosphorylated_pos	fabI//dacC//folE//paaY//pgaC//pgaC//uxaC//atoD//yiaK//pgk//rutE//feaB//lpxC//ascB//sdhC//ubiA//glyA//waaZ//ldtB//allD//ynfE//metL//gcl//trpC//nanA//ynfH//metL//narG//tdcG//paaB//argB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	nanK//citX//wecE//ppsA//
PspF_neg	
PspF_pos	ulaF//
PurR-hypoxanthine_neg	galE//uxaB//bioD//napH//astD//alaC//feaB//mngB//ilvC//dhaL//arsC//ydcS//ldtB//fabH//gatY//nrfA//glk//rutB//bioD//nirB//phnN//ppc//fadM//argG//hemL//aceB//
PutA_neg	adiA//aceB//
PuuR_neg	fadH//rffH//fadA//paaC//wecC//glgC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	paaE//aceA//ttdB//puuC//relA//
RcdA_neg	
RcdA_pos	polB//
RclR_pos	
RcnR_neg	treC//
RcsAB_neg	katE//
RcsAB_pos	dmsA//prs//
RcsB-BglJ_pos	ulaG//sodB//
RcsB-Pasp56_neg	prpE//
RcsB-Pasp56_pos	speG//lsrK//glsA//
RelB-RelE_neg	ynfE//
RelB_neg	pyrC//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	lsrF//speG//ahpF//napG//
Rob_neg	
Rob_pos	ung//ubiA//aspC//pdeH//srkA//argA//mhpC//hemH//hycB//metK//fabZ//yeaE//lpxD//dhaK//phnH//wecC//nrdE//sgbH//caiD//
RstA-Phosphorylated_neg	aroG//folE//
RstA-Phosphorylated_pos	metA//
RtcR_pos	astA//metB//
RutR_neg	patD//astB//glcD//glgC//murG//galT//frdC//cysI//gabT//gpmA//
RutR_pos	fabB//
SdiA_neg	
SdiA_pos	
SgrR_neg	hypF//
SgrR_pos	paaE//chbG//
SlyA_neg	
SlyA_pos	malS//cysH//rhaD//caiD//cysD//dkgA//paaC//idnD//paaY//
SoxR_neg	
SoxR_pos	hypF//epd//garK//nrdB//sucD//paaG//
SoxS_neg	
SoxS_pos	allD//hyaB//glcF//hycD//ygeA//metE//malY//cdd//pdeL//nanA//moaD//glgP//purE//uxaC//fadE//puuB//chbG//leuB//alaC//dgkA//hcaC//recB//lysC//folE//moaA//gudD//phr//idnD//
SrlR_neg	fabI//rsmH//moaA//
StpA_neg	mhpA//entD//cysI//
SutR_neg	malZ//allD//
SutR_pos	
TdcA_pos	phnG//napB//purD//ogt//cueO//
TdcR_pos	hycD//glcF//mhpE//phr//dkgB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	gltD//dgcC//phnJ//mngB//
TorR-TorI_neg	dmsA//
TorR-TorI_pos	
TreR_neg	torC//fabA//
TrpR-tryptophan_neg	pdeR//ruvB//ulaF//paaZ//nfsB//pagP//ulaD//fruK//mhpF//
TyrR-phenylalanine_neg	purF//pyrC//
TyrR-phenylalanine_pos	aroG//
TyrR-tyrosine_neg	rutB//umpH//leuC//ubiC//dsdA//pflB//
TyrR-tyrosine_pos	purD//rhaD//
TyrR_neg	slt//
TyrR_pos	citG//
UhpA-Phosphorylated_pos	rffG//
UidR_neg	gnd//dgkA//
UlaR_neg	gntK//mhpC//asnA//fadM//fabI//
UvrY-Phosphorylated_pos	gcl//asnA//
UxuR_neg	moeB//ruvA//purE//rimK//trpA//
XapR-xanthosine_pos	pheT//carB//
XylR-xylose_neg	
XylR-xylose_pos	eda//psd//dapB//
YdeO_neg	
YdeO_pos	cysK//fabA//argG//
YefM-YoeB_neg	glmU//
YefM_neg	katE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	napA//puuE//ulaG//cysE//nemA//gcvP//
YjjQ_neg	glpC//asnA//
YpdB-Phosphorylated_pos	
YqhC_pos	mhpB//hmp//
YqjI_neg	leuD//
ZntR-Zn2_pos	hypF//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	entE//
