# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdD//gadA//
Ada_neg	rutA//sufS//
Ada_pos	fdhF//ulaG//glk//glpB//
AdiY_pos	moaC//pyrD//fadD//rffH//
AgaR_neg	tauD//
AidB_neg	narI//
AlaS-L-alanine_neg	citX//
AllR-allantoin_neg	cysH//malQ//leuB//allB//tdcB//dgcC//
AllS-allantoin_pos	malP//nadB//phr//
AlsR_neg	fabZ//atoB//sdhC//
AppY_pos	galT//citX//
AraC-arabinose_neg	frdB//nanA//deoB//napG//sucA//
AraC-arabinose_pos	atoB//napG//paaG//paaA//umpH//wzc//
AraC_neg	nanE//hmp//frc//
AraC_pos	pgpC//cysM//fadJ//
ArgP-arginine_neg	
ArgP-arginine_pos	rffC//
ArgP_pos	citE//leuD//hcp//glxK//lacA//fbaA//rbsD//purK//
ArgR-L-arginine_neg	iscS//araA//sdhD//glxR//adhE//argG//fadH//galK//hemL//glpA//purA//moaA//trpE//fabI//guaB//guaA//ynfG//nfsA//
ArgR-L-arginine_pos	serA//glgB//pck//allB//relA//
ArsR_neg	nrdD//tdcG//
AscG_neg	slt//dkgB//
AsnC_neg	glpA//
AsnC_pos	rnpB//
AtoC-Phosphorylated_pos	hcaB//lpxA//gpmM//
BCCP_neg	pdeH//
BaeR-Phosphorylated_pos	pdeH//alsE//
BasR-Phosphorylated_neg	mazG//
BasR-Phosphorylated_pos	hyaA//torA//
BetI_neg	murC//putA//trpC//
BirA-biotinyl-5-adenylate_neg	prpC//leuC//garL//tdcD//nrdF//
BluR_neg	
BolA_neg	gcl//pfkA//
BolA_pos	purM//lpxA//
BtsR-Phosphorylated_pos	nrdA//
CadC_pos	dgkA//yeaG//fucO//
CaiF-L-carnitine_pos	rutA//lhgO//purD//yeaE//metL//
