# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	idnK//uvrC//
Ada_neg	pgk//asnB//
Ada_pos	murQ//metH//rffC//uxaA//
AdiY_pos	mpl//ppc//ndh//ldtC//
AgaR_neg	lpxA//
AidB_neg	entA//
AlaS-L-alanine_neg	dgcN//
AllR-allantoin_neg	leuD//moaD//patD//chbF//fbaA//acnB//
AllS-allantoin_pos	nagA//ldtD//hcp//
AlsR_neg	lsrF//malY//polB//
AppY_pos	wecC//garD//
AraC-arabinose_neg	recF//pgi//accA//trpD//hyi//
AraC-arabinose_pos	phr//rhaA//frc//aroF//glpK//ulaG//
AraC_neg	rffT//puuC//hycE//
AraC_pos	speB//phnH//citF//
ArgP-arginine_neg	
ArgP-arginine_pos	murC//
ArgP_pos	uxuA//pyrC//dinB//deoC//iscS//hycC//aroL//nemA//
ArgR-L-arginine_neg	chbF//trpA//glcE//frc//gutQ//ppiA//alkB//pgpC//fadI//nanE//galM//aspA//murG//tdcE//tyrB//yfdE//murQ//glgX//
ArgR-L-arginine_pos	mhpA//aroH//ynfE//wrbA//accC//
ArsR_neg	umuC//cdd//
AscG_neg	puuD//rhaA//
AsnC_neg	gudD//
AsnC_pos	fucO//
AtoC-Phosphorylated_pos	entF//pgaC//uvrA//
BCCP_neg	paaE//
BaeR-Phosphorylated_pos	deoD//lpxA//
BasR-Phosphorylated_neg	citF//
BasR-Phosphorylated_pos	fabD//waaH//
BetI_neg	eda//murD//aceB//
BirA-biotinyl-5-adenylate_neg	hcaB//gcvP//hyaC//hycC//glcF//
BluR_neg	
BolA_neg	fadJ//ubiA//
BolA_pos	glmS//hyi//
BtsR-Phosphorylated_pos	frdC//
CadC_pos	fumC//rpiB//aroG//
CaiF-L-carnitine_pos	lysC//hycE//glpB//tktB//murC//
Cbl_pos	tyrA//uvrC//putA//aceE//sgbE//
CdaR_pos	dgcZ//citC//speA//pgaC//gloA//aroH//garR//xylA//cynT//
CecR_neg	sucD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	tyrB//dinB//ynfG//
ChbR-N-monoacetylchitobiose6-phosphate_pos	prpE//fumB//fadE//
ChbR_neg	ilvC//pncB//purA//
ChbR_pos	prpD//mpaA//fadD//
ComR_neg	
CpxR-Phosphorylated_neg	glgB//phnH//cysH//
CpxR-Phosphorylated_pos	rhaA//hcaF//ulaD//argG//dkgA//pepD//uxuB//feaB//malS//phnO//argI//dgcC//mltF//gadB//sufS//fes//tauD//paaY//
Cra_neg	napA//ppsA//nrfC//fucK//gatZ//purL//glgA//speG//leuC//slt//fadM//prs//ybjG//pgaD//mpl//murG//nrdE//tadA//entE//fadM//argB//nagB//srkA//purL//nadA//trpA//sgbU//ftsI//gloA//ubiC//cysH//dgkA//yqjH//paaZ//galK//cdd//sgbE//lyxK//betB//pflB//ilvC//cysH//ynfF//gatZ//hycB//
Cra_pos	tnaA//tpiA//dmsA//psd//allE//narH//recB//alkA//pgi//ynfE//entD//ldtD//asnB//fadA//malS//fucO//katG//
CreB-Phosphorylated_neg	nanK//
CreB-Phosphorylated_pos	yeaG//
CsgD_neg	pykF//fucI//
CsgD_pos	argF//nrdA//pheS//
CsiR_neg	tyrA//rhaA//betB//phnH//
CspA_pos	gutQ//
CueR-Cu_neg	galT//paaC//lpd//
CueR-Cu_pos	ada//trpC//
CusR-Pasp_pos	xylA//frdB//ttdA//gltB//
CynR-cyanate_pos	uxaB//rutE//ycjG//
CynR_neg	
CysB-O-acetyl-L-serine_neg	kbaZ//cadA//glpK//
CysB-O-acetyl-L-serine_pos	zwf//aceE//nrdE//lysC//pepD//gudD//glpB//phnM//allB//nrdA//ftnA//mraY//
CysB_neg	
CysB_pos	purB//gor//
CytR_neg	dhaK//cynS//ddlB//nemA//argF//lldD//waaZ//moaD//nrdD//glgB//
Dan-L-tartrate_pos	ldtB//entH//
DcuR-Phosphorylated_pos	hcaF//hcaC//galM//pfkA//
DeoR_neg	polB//mpaA//dgcZ//phnP//guaB//pdeR//
DhaR_neg	
DhaR_pos	recB//
DicA_neg	
DinJ-YafQ_neg	sodA//
DnaA-ATP_neg	aceA//ftsI//sdhA//sodB//cysI//
DnaA-ATP_pos	mngB//ribA//thrS//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glk//entC//udp//entC//hyaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	aspC//prpC//
EbgR_neg	
EnvR_neg	gloA//fadE//
EnvY_pos	ddlB//rtcB//
EvgA-Phosphorylated_pos	frdA//dmsA//frdA//idnO//glsA//metB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	appA//moaC//cadA//tdcD//metB//ssuE//
FabR_neg	gnd//argF//eno//
FadR-acyl-CoA_pos	
FadR_neg	rffT//kbaY//ndh//napG//nirD//fdhF//rffM//dgcC//ttdB//
FadR_pos	mpaA//moaC//deoD//rffC//phnG//dapB//aroL//hcaD//allA//ascB//
FeaR_pos	murF//phnP//
FhlA-formate_pos	rbsK//mhpF//murG//asnA//metC//codA//atoA//rutE//
FlhDC_neg	talA//ycjG//
FlhDC_pos	hemL//fadA//dgcC//uvrA//appA//sgbE//ruvA//ychF//fdhF//acnA//paaF//metL//
FliZ_neg	mpl//dgcN//phr//araA//ynfH//
FucR-L-fuculose-1-P_pos	aceA//nrfD//oxc//ldtB//bioF//glcD//
Fur-Fe2_neg	tauD//uxuB//argI//ldtD//malQ//phoA//nanM//paaK//narI//hyaB//sbcD//guaB//sgbH//metA//pyrC//polB//hyaB//rutD//phnP//caiD//ssuE//paaA//lacZ//glcB//cysH//phnL//ldtC//glnA//uidA//cysE//rutA//wecE//rsmH//nfsB//dkgB//dhaM//nrdF//napH//moeA//tam//purN//talA//pspE//argE//alaS//puuD//dkgA//glcD//glgC//caiB//folE//hcaF//garR//
Fur-Fe2_pos	deoB//gudD//purK//acnB//murQ//astB//rnpB//lysA//chbF//gatY//lacA//alsE//rutC//slt//purN//slt//
GadE-RcsB_pos	ssuE//phr//glgX//lpxC//arsC//
GadE_pos	mhpE//edd//cadA//idnK//metK//mhpA//slt//xylB//gcl//citX//
GadW_neg	dacC//rbsK//deoC//
GadW_pos	bioC//waaH//galE//ascB//
GadX_neg	rffM//bacA//murE//
GadX_pos	malY//purL//dinB//aceE//narG//deoD//moaE//glgC//pgaD//metA//hemL//
GalR-beta-D-galactose_neg	malP//mdh//rimK//trpC//fucO//
GalR-beta-D-galactose_pos	hycE//rutC//purN//frdC//
GalR_neg	glpB//cysJ//asnB//glxR//mhpC//uvrA//
GalR_pos	glxK//bglB//galK//hypB//
GalS-beta-D-galactose_neg	fes//hyaB//sodB//gloA//deoC//
GalS-beta-D-galactose_pos	uxaA//glpD//sbcD//moaC//
GalS_neg	ftsI//feaB//moaA//glpD//fadB//feaB//
GalS_pos	mraY//pyrC//ygeA//glnA//
GatR_neg	hyaC//caiC//rbsD//
GcvA_neg	pheS//tpiA//uidA//
GcvA_pos	metK//pgk//tam//
GlcC-glycolate_neg	
GlcC-glycolate_pos	yeaE//pgk//moaD//
GlpR_neg	citF//glsA//mpl//astC//aroL//lpxC//trpB//
GlrR-Pasp56_pos	
GntR_neg	garD//ascB//talA//oxc//malQ//ada//dsdA//fumC//deoC//
GutM_pos	purK//rtcB//chbG//
HU_neg	betB//atoB//guaA//hycG//lysC//tyrA//hcaE//
HU_pos	
HcaR-HCA_pos	leuC//xapA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	cysN//
HigB-HigA_neg	nrfC//
HipAB_neg	gcvH//ubiX//
HipB_neg	dhaL//rutB//ppsA//
HprR-Phosphorylated_neg	wrbA//rhaD//
HprR-Phosphorylated_pos	napA//patD//
HyfR_pos	umuD//
HypT-Met-oxidized_neg	prpB//glmS//
HypT-Met-oxidized_pos	lysA//moeB//pheS//nadA//trpE//
IclR-pyruvate_neg	yqjH//purA//paaF//
IdnR-5-ketogluconate_neg	araB//ydcS//
IdnR-5-ketogluconate_pos	pheT//mraY//citE//
IlvY-2-acetolactate_pos	tdcE//
IlvY_neg	
IscR-2Fe-2S_neg	garL//kbaZ//
IscR_neg	alkA//umuD//ynfF//purD//
IscR_pos	metL//paaI//
KdgR_neg	lhgO//fabG//
KdpE-Phosphorylated_pos	acnB//
LacI_neg	nanE//paaJ//cynT//
LeuO_neg	
LeuO_pos	glpX//tdcE//talA//fadE//rimK//speB//
LexA_neg	nfsA//epd//cueO//glk//dhaL//slt//sucC//sucC//fabI//dhaM//ssuD//ynfE//trpC//allD//cysE//nirD//hemL//idnK//idnD//bioF//phoA//prpD//pyrC//
LldR-lactate_neg	rnpB//hypF//
LldR-lactate_pos	feaB//acnB//
LldR_neg	puuB//truB//
LldR_pos	acnA//dsdA//
LrhA_neg	
LrhA_pos	
LsrR_neg	nrfC//mpaA//pdeL//gatD//sucB//
LysR_neg	
LysR_pos	gcvP//
MalI_neg	gadA//sdhB//
MalT-maltotriose-ATP_pos	ugpQ//gdhA//allB//argD//lysA//hypB//
MarA_neg	folE//
MarA_pos	uvrB//puuE//bioC//fabZ//lacZ//dinB//purK//glpQ//fadJ//metH//hcaE//mhpB//alkB//dmsC//puuC//phnG//gdhA//rutE//glpC//ubiA//cysG//phnI//ynfF//
MarR_neg	
MatA_neg	sdhA//
MatA_pos	
MazE-MazF_neg	metK//
MazE_neg	ubiC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	fbaB//pspE//
MelR-melibiose_pos	pdeH//leuB//
MelR_neg	uxaB//asnA//
MelR_pos	fdhF//ahpC//
MetJ-adenosylmethionine_neg	lpd//pdeR//glpX//speG//mhpE//polA//lsrG//metE//napB//torA//
MetR-L-homocysteine_neg	atoD//
MetR-L-homocysteine_pos	fadI//idnD//
MetR_pos	glgA//rutD//
MhpR-3HPP_pos	dgcC//mhpB//cysG//sucC//pfkA//malZ//
Mlc_neg	prs//accC//deoB//thrS//
MlrA_pos	nanK//
MngR_neg	cyoE//leuB//
MntR-Mn2_neg	astD//
MntR-Mn2_pos	yfdE//
ModE-MoO42-_neg	pgk//glpA//grxA//sdhB//pheT//sbcC//glpX//atoD//
ModE-MoO42-_pos	aceF//glcB//cysI//glgB//cdd//ubiC//hcaB//ampC//aldA//
MprA_neg	leuA//sgbE//purL//
MqsA_neg	lsrG//nemA//
MraZ_neg	trpE//puuC//bioC//deoD//kbaZ//ulaE//pdeR//yiaK//lpxC//dhaK//
MurR_neg	gor//sucA//mltF//
MurR_pos	
Nac_neg	hemL//ygeA//entD//
Nac_pos	gdhA//ynfF//purD//fadE//glgA//mhpB//astB//puuD//
NadR_neg	malQ//ynfF//murI//argA//
NagC_neg	putA//lpxD//aroH//polA//glxR//gltB//cysE//tynA//chbF//ttdA//hypB//adiA//glmU//paaZ//paaY//carB//gntK//polA//
NagC_pos	xapA//galM//
NanR_neg	sufS//nirB//entA//rhaA//hemH//glmS//
NanR_pos	
