# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	rfe//deoD//
Ada_neg	sbcD//rtcB//
Ada_pos	fumC//allA//tdcG//bioB//
AdiY_pos	puuD//ascB//paaE//lsrF//
AgaR_neg	lyxK//
AidB_neg	umpH//
AlaS-L-alanine_neg	puuE//
AllR-allantoin_neg	lldD//mhpE//hyi//glpA//ogt//ung//
AllS-allantoin_pos	lysC//ubiC//ndh//
AlsR_neg	ulaG//pgaB//nanE//
AppY_pos	murC//umuD//
AraC-arabinose_neg	narI//nadA//murE//entC//glcE//
AraC-arabinose_pos	poxB//hcp//metC//gcl//hyaB//gadB//
AraC_neg	cyoE//phnI//rhaA//
AraC_pos	yfdE//uvrC//yqhD//
ArgP-arginine_neg	
ArgP-arginine_pos	leuD//
ArgP_pos	umuD//sodB//oxc//cysC//hcaC//glgA//mpl//glcE//
ArgR-L-arginine_neg	yedX//umuC//trpB//astE//uxaA//dhaK//nrdF//rffT//appA//tyrB//nanA//ssuD//lsrF//rtcB//lacZ//purB//araA//entA//
ArgR-L-arginine_pos	arsC//lacA//allE//fumC//paaB//
ArsR_neg	rtcA//wecB//
AscG_neg	mpaA//glk//
AsnC_neg	adhE//
AsnC_pos	nirB//
AtoC-Phosphorylated_pos	leuD//luxS//phnI//
BCCP_neg	dgkA//
BaeR-Phosphorylated_pos	cynS//sucA//
BasR-Phosphorylated_neg	nanM//
BasR-Phosphorylated_pos	purK//mhpF//
BetI_neg	trpB//ybjG//bioD//
BirA-biotinyl-5-adenylate_neg	trpC//lpxD//hycF//purE//purL//
BluR_neg	
BolA_neg	leuD//mhpE//
BolA_pos	waaH//mhpA//
BtsR-Phosphorylated_pos	argH//
CadC_pos	ynfH//tdcG//pepD//
CaiF-L-carnitine_pos	hycB//ynfH//cysG//hemL//purN//
Cbl_pos	lyxK//fadD//gcl//nfsA//sdhB//
CdaR_pos	leuB//astD//ubiA//entC//rsmH//cysC//fabZ//speG//hemL//
CecR_neg	ybjG//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ulaE//dinB//uidA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	glpQ//tyrB//leuD//
ChbR_neg	hycC//rfe//acnB//
ChbR_pos	murD//glgA//astA//
ComR_neg	
CpxR-Phosphorylated_neg	rhaB//phnH//mtlD//
CpxR-Phosphorylated_pos	fabD//idnD//sodB//cdd//garR//phr//phnP//fau//cysN//ubiA//pgaB//allA//torC//atoA//hyaA//pepD//napB//fabI//
Cra_neg	ubiA//sufS//nrfD//gabD//rfe//sgbE//tktB//betB//fabD//napG//paaH//hypF//malY//glgA//fumC//hypF//mltF//waaY//accD//paaG//rutC//cynT//ycjG//bacA//sucC//argE//gcl//entH//aceF//phr//deoA//dmsA//aspA//asnB//ulaG//prpE//argC//pgaC//dapD//gdhA//umuD//ruvB//torC//murI//rffM//
Cra_pos	gcl//tyrB//glgA//waaY//feaB//pnp//fbaB//rffC//rffC//napH//aceE//uvrB//fumB//rutB//rhaD//speG//oxc//
CreB-Phosphorylated_neg	luxS//
CreB-Phosphorylated_pos	mtlD//
CsgD_neg	glpX//fumC//
CsgD_pos	hycB//aroG//mhpB//
CsiR_neg	ung//pck//rffC//hyaC//
CspA_pos	cysE//
CueR-Cu_neg	gltB//hypB//galK//
CueR-Cu_pos	pgm//atoD//
CusR-Pasp_pos	accC//yqhD//allA//melA//
CynR-cyanate_pos	alkB//xylA//guaB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	eda//tyrB//accC//
CysB-O-acetyl-L-serine_pos	dgcN//nrfD//araD//xylB//mltF//fadM//sucD//bioD//iscS//galK//feaB//gltB//
CysB_neg	
CysB_pos	polA//leuD//
CytR_neg	bacA//guaB//nfsB//bacA//cynT//hcp//napA//pyrD//purH//glcE//
Dan-L-tartrate_pos	deoD//gatZ//
DcuR-Phosphorylated_pos	dkgA//srlD//cysN//galK//
DeoR_neg	xapA//pykF//gatZ//nemA//dmsB//mhpA//
DhaR_neg	
DhaR_pos	glcE//
DicA_neg	
DinJ-YafQ_neg	dmsB//
DnaA-ATP_neg	ycjG//wrbA//pgpC//glyA//yfdE//
DnaA-ATP_pos	hycD//sufS//sufS//
DpiA-Pasp_neg	
DpiA-Pasp_pos	aceE//adiA//paaY//pfkA//puuA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	rfe//purL//
EbgR_neg	
EnvR_neg	mhpB//ldtC//
EnvY_pos	mhpC//kbaY//
EvgA-Phosphorylated_pos	poxB//pgk//rffH//acnA//fadE//leuC//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	gadB//rimK//araD//nrdE//trpE//prpE//
FabR_neg	galK//uxuB//chbG//
FadR-acyl-CoA_pos	
FadR_neg	pncB//ulaE//rhaA//uxuB//tktB//pdeR//lpxD//trpC//hycG//
FadR_pos	ppsA//rutD//tdcG//ascB//purA//patD//rpiB//astE//gdhA//atoB//
FeaR_pos	trpA//phnG//
FhlA-formate_pos	glpC//malZ//cysD//purK//kbaY//tdcE//araD//tadA//
FlhDC_neg	leuA//gpmM//
FlhDC_pos	hyaC//cysC//hyaA//purF//umpH//accA//wzb//prpD//purB//dapB//leuB//sgbE//
FliZ_neg	paaG//tdcE//mhpB//gntK//gcvP//
FucR-L-fuculose-1-P_pos	metB//mngB//tpiA//uvrC//lsrG//srlD//
Fur-Fe2_neg	atoA//fabB//purB//torA//puuA//caiD//recB//rffG//dmsB//cynS//citF//patD//argB//aspA//pheS//trpA//citE//pck//atoB//argG//allB//hcaF//ulaE//guaB//puuA//polA//pepD//lacA//moaC//paaF//ulaG//ddlB//puuE//katG//accD//caiC//ulaE//mazG//rutD//ada//phnO//appA//rnpB//ldtD//prs//codA//purH//asnA//mpl//purN//hemH//fucU//dmsC//
Fur-Fe2_pos	polA//aldA//aceE//ahpC//glpA//garK//pdeR//ppc//napG//deoC//sgbH//puuD//garD//ugpQ//fbaA//araB//
