# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	wzc//ahpC//
Ada_neg	trpB//pgaD//
Ada_pos	lsrG//acnA//ssuD//ruvA//
AdiY_pos	rpiB//ulaD//paaJ//sgbE//
AgaR_neg	nanE//
AidB_neg	glpC//
AlaS-L-alanine_neg	astE//
AllR-allantoin_neg	frdD//slt//cysD//srkA//ftsI//ycjG//
AllS-allantoin_pos	sdhC//phnH//mngB//
AlsR_neg	fumB//pdeR//alkA//
AppY_pos	ubiX//ldtD//
AraC-arabinose_neg	fadJ//srkA//uvrB//tynA//ftsI//
AraC-arabinose_pos	deoB//caiB//dapD//accA//rbsD//hemH//
AraC_neg	fadD//glnA//patA//
AraC_pos	thrS//waaH//purH//
ArgP-arginine_neg	
ArgP-arginine_pos	kbaZ//
ArgP_pos	fabI//murQ//fadA//glcD//poxB//tehB//ahpC//hyaB//
ArgR-L-arginine_neg	bioD//nagA//pdeL//pspE//fucK//sdhD//yqjH//puuB//fbaA//torA//entD//rbsD//alsE//gcvH//hypB//astB//ilvC//paaF//
ArgR-L-arginine_pos	frdB//sgbU//uxaB//purL//iscS//
ArsR_neg	rhaD//paaJ//
AscG_neg	tdcD//pncB//
AsnC_neg	gatZ//
AsnC_pos	wrbA//
AtoC-Phosphorylated_pos	deoC//edd//sucB//
BCCP_neg	fumC//
BaeR-Phosphorylated_pos	arsC//entC//
BasR-Phosphorylated_neg	sdhC//
BasR-Phosphorylated_pos	rbsD//ddlB//
BetI_neg	hcaE//uvrA//gabT//
BirA-biotinyl-5-adenylate_neg	leuB//mhpF//nadA//umpH//fadE//
BluR_neg	
BolA_neg	dgcN//aceB//
BolA_pos	mnmG//phnJ//
BtsR-Phosphorylated_pos	uxaC//
CadC_pos	psd//galM//adhE//
CaiF-L-carnitine_pos	glmU//carA//rsmH//ppsA//nagA//
Cbl_pos	aroF//gabT//gabT//paaF//mhpC//
CdaR_pos	gabD//nemA//putA//nadA//pgi//xylB//ldtB//chbG//caiD//
CecR_neg	pyrC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	pgk//treC//dapB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	phnN//pgaC//mraY//
ChbR_neg	waaZ//fadM//hycG//
ChbR_pos	pgaB//galE//thrS//
ComR_neg	
CpxR-Phosphorylated_neg	dhaL//fdhF//ung//
CpxR-Phosphorylated_pos	nfsB//putA//bioF//rtcB//astE//sgbU//mhpD//hyaB//waaZ//ldtD//dapD//aspC//murF//speB//cyoE//glnA//allE//puuA//
Cra_neg	ubiX//napB//argH//ada//prpD//treC//ribA//argC//iscS//fabG//carB//ubiX//speB//ung//entE//tehB//phnJ//phoA//gatD//pnp//caiC//phnJ//caiC//tktB//bioC//cyoE//ugpQ//glnA//hyaC//gutQ//hemH//fabA//glpB//dhaM//idnK//napH//carB//bioF//phnO//uidA//sbcD//cueO//fucK//slt//paaH//
Cra_pos	paaB//narI//iscS//lyxK//rutA//amn//rffT//speA//edd//ahpC//luxS//ada//udp//murD//nanA//cynS//pgpC//
CreB-Phosphorylated_neg	galT//
CreB-Phosphorylated_pos	ynfF//
CsgD_neg	rpiB//aceA//
CsgD_pos	umuD//purB//fadD//
CsiR_neg	ulaG//ruvB//moaA//serA//
CspA_pos	pdeR//
CueR-Cu_neg	aroF//pgaB//yfdE//
CueR-Cu_pos	tynA//cueO//
CusR-Pasp_pos	rutB//gapA//hcaE//glgX//
CynR-cyanate_pos	adhE//entA//deoB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	wecE//leuB//hyaB//
CysB-O-acetyl-L-serine_pos	rffC//gatY//dgcZ//dkgB//ftnA//acnB//sbcC//bioB//fau//trpA//gpmM//phnP//
CysB_neg	
CysB_pos	trpE//gatZ//
CytR_neg	phnJ//paaE//rhaD//yqhD//fucA//katG//uxaA//dapD//ulaF//nanK//
Dan-L-tartrate_pos	murF//mpaA//
DcuR-Phosphorylated_pos	ynfF//napG//ruvA//ppsA//
DeoR_neg	allC//rnpB//hyaA//uvrB//ftnA//xapA//
DhaR_neg	
DhaR_pos	mhpC//
DicA_neg	
DinJ-YafQ_neg	prpC//
DnaA-ATP_neg	ttdA//citF//dgcZ//pgaC//leuC//
DnaA-ATP_pos	araB//prpC//mpaA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	poxB//yqhD//bioD//paaA//waaY//
DsdC-D-serine_neg	
DsdC-D-serine_pos	malY//glpD//
EbgR_neg	
EnvR_neg	hycB//pgaB//
EnvY_pos	zwf//glmU//
EvgA-Phosphorylated_pos	napG//oxc//metB//narH//fbaA//nfsB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	lsrK//dhaK//rffH//leuB//metL//argA//
FabR_neg	nirB//cynT//ynfH//
FadR-acyl-CoA_pos	
FadR_neg	astE//sucC//malY//lacZ//umuC//fabI//argD//rutB//umuD//
FadR_pos	gutQ//cysJ//ascB//hmp//pdeL//murG//lpd//glpD//rhaD//ldtC//
FeaR_pos	sbcC//pspE//
FhlA-formate_pos	ldtC//garL//rbsD//fadJ//moeA//sucB//gatD//rpiB//
FlhDC_neg	lacZ//bioF//
FlhDC_pos	purA//gntK//mhpF//accD//ttdA//cysD//ppsA//ubiA//amn//glpX//yiaK//glpD//
FliZ_neg	rbsK//ddlB//ampC//araB//fadH//
FucR-L-fuculose-1-P_pos	hyaA//gadA//hcaB//xapA//ulaF//fabA//
