# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	entC//sbcD//
Ada_neg	purH//fabD//
Ada_pos	dapB//phnJ//ygeA//rffC//
AdiY_pos	ulaE//pnp//umuD//nrfA//
AgaR_neg	tadA//
AidB_neg	cysH//
AlaS-L-alanine_neg	nrfD//
AllR-allantoin_neg	uxuB//phnN//astC//fucK//pepD//leuD//
AllS-allantoin_pos	fucI//cueO//pgi//
AlsR_neg	fumC//araD//folA//
AppY_pos	entD//ubiA//
AraC-arabinose_neg	gadB//rutB//hyaA//argE//ftnA//
AraC-arabinose_pos	psd//ahpC//entF//betA//narI//mltF//
AraC_neg	cysN//alkB//narG//
AraC_pos	uxaC//umuC//uxaA//
ArgP-arginine_neg	
ArgP-arginine_pos	argE//
ArgP_pos	amn//trpB//rbsD//kbaZ//tam//frc//rbsK//entH//
ArgR-L-arginine_neg	waaH//hycG//polA//edd//puuE//dkgA//appA//fau//metE//glgP//malQ//pepD//pgaC//aspC//gor//paaA//hcaC//cdd//
ArgR-L-arginine_pos	uvrA//udp//lpxC//eda//tehB//
ArsR_neg	garR//kbaZ//
AscG_neg	sdhB//rffH//
AsnC_neg	cdd//
AsnC_pos	fadI//
AtoC-Phosphorylated_pos	rffM//pheS//glmS//
BCCP_neg	cysH//
BaeR-Phosphorylated_pos	nagA//purA//
BasR-Phosphorylated_neg	astD//
BasR-Phosphorylated_pos	slt//yedX//
BetI_neg	recD//nirB//puuD//
BirA-biotinyl-5-adenylate_neg	tynA//lyxK//dinB//tynA//pflB//
BluR_neg	
BolA_neg	purN//cynS//
BolA_pos	mpaA//allB//
BtsR-Phosphorylated_pos	lsrG//
CadC_pos	dgcN//ynfG//cysJ//
CaiF-L-carnitine_pos	rpiB//pagP//purH//dacC//ampC//
Cbl_pos	rimK//murF//hcaD//purD//allD//
CdaR_pos	sodA//fucA//wecC//aceE//citE//idnO//glgA//moaD//caiC//
CecR_neg	fumB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	paaC//sbcD//ygeA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	alaC//arsC//mpaA//
ChbR_neg	waaY//gpmM//fabA//
ChbR_pos	malY//fruK//entC//
ComR_neg	
CpxR-Phosphorylated_neg	mtlD//wecB//umpH//
CpxR-Phosphorylated_pos	ribA//lpxC//alaC//prpE//napG//aceA//umpH//purF//fadH//nadA//leuC//sucC//phnI//garL//zwf//ugpQ//metA//napG//
Cra_neg	wecC//pncB//leuD//aroF//ycjG//tynA//dmsB//tynA//purL//sucB//umpH//glpD//recB//purC//fucA//leuC//dmsC//ynfE//gltD//rutB//nrdD//puuC//sbcD//puuD//paaB//mpl//deoD//fadE//paaE//dapD//hycF//napB//dkgB//pgaD//malQ//mazG//phnM//arsC//ychF//fruK//garD//murF//citE//mngB//malY//
Cra_pos	paaA//metA//yedX//sucD//glgX//puuA//appA//citF//allE//pgpC//trpE//glpD//eda//paaH//paaB//tyrA//lpxD//
CreB-Phosphorylated_neg	bioB//
CreB-Phosphorylated_pos	leuD//
CsgD_neg	dsdA//rutC//
CsgD_pos	thrS//aroG//phnJ//
CsiR_neg	frc//nanE//purD//umuD//
CspA_pos	purE//
CueR-Cu_neg	phnO//rbsD//cyoE//
CueR-Cu_pos	dinB//gnd//
CusR-Pasp_pos	nrdE//pgpC//sbcC//phnH//
CynR-cyanate_pos	argI//napH//waaZ//
CynR_neg	
CysB-O-acetyl-L-serine_neg	hcp//ascB//gudD//
CysB-O-acetyl-L-serine_pos	ynfH//tehB//fabI//phnM//talA//ychF//prs//cysJ//lldD//gntK//citD//ada//
CysB_neg	
CysB_pos	dapB//ung//
CytR_neg	ruvA//leuB//rnpB//purK//hyaC//citC//dhaK//pdeR//prpB//ilvC//
Dan-L-tartrate_pos	carB//napA//
DcuR-Phosphorylated_pos	lyxK//pagP//trpD//phnG//
DeoR_neg	ulaE//ampC//tadA//rfe//asnB//polB//
DhaR_neg	
DhaR_pos	argF//
DicA_neg	
DinJ-YafQ_neg	argE//
DnaA-ATP_neg	phr//fabD//argE//caiD//glgA//
DnaA-ATP_pos	glgA//frdD//purN//
DpiA-Pasp_neg	
DpiA-Pasp_pos	epd//phnO//gcl//trpA//hypB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	aspA//pagP//
EbgR_neg	
EnvR_neg	rffM//bacA//
EnvY_pos	slt//citX//
EvgA-Phosphorylated_pos	torC//frdB//rfe//poxB//feaB//tyrB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	purB//adhE//uxuB//fadM//fau//rffG//
FabR_neg	citX//nemA//ubiA//
FadR-acyl-CoA_pos	
FadR_neg	cysD//sucC//mhpD//mdh//mazG//dsdA//argC//fabZ//nrdB//
FadR_pos	iscS//prpE//caiA//chbG//nrdF//cysM//nfsB//napH//zwf//waaY//
FeaR_pos	metK//fumB//
FhlA-formate_pos	sgbE//nrfA//rutB//argB//ssuE//ung//cysJ//frdB//
FlhDC_neg	uxaC//dhaL//
FlhDC_pos	ada//chbG//recB//epd//metK//glcB//dgcZ//puuB//rffC//xapA//glpB//dsdA//
FliZ_neg	glgB//ldtD//pgaB//alkA//trpE//
FucR-L-fuculose-1-P_pos	gcvP//dmsA//adiA//dkgA//yqhD//fadA//
Fur-Fe2_neg	hycG//psd//purA//nagA//uvrC//codA//nrfC//grxA//deoA//acnA//gudD//dmsA//rutC//hcaE//pgaB//accA//dhaL//dkgB//patA//garR//caiA//hmp//leuA//narH//entF//sgbH//rbsD//metE//ycjG//ulaD//sbcC//argF//chbF//gdhA//ybjG//acnA//paaB//sbcD//glcE//narG//argG//tyrA//napG//rhaA//hypF//codA//feaB//rbsD//rutB//aroH//ycjG//trpE//fabZ//
Fur-Fe2_pos	bioC//pnp//feaB//cysD//ynfG//paaC//srlD//ppiA//pdeR//glgB//gcvH//amn//hyaC//ruvA//frdC//glyA//
GadE-RcsB_pos	speG//aspA//cysG//glxK//fadE//
GadE_pos	acnB//pck//betB//frdA//tadA//polA//wzb//tam//gnd//gnd//
GadW_neg	acnA//paaC//cysJ//
GadW_pos	garD//fucI//fabB//rffC//
GadX_neg	gutQ//paaF//speB//
GadX_pos	sgbE//xylA//ssuE//treC//malY//entC//aceB//cueO//glcB//gcvH//yiaK//
GalR-beta-D-galactose_neg	hycD//nagA//wecB//icd//ynfG//
GalR-beta-D-galactose_pos	pncB//pheT//trpE//rffC//
GalR_neg	dapD//deoD//nrfD//argD//serA//fadH//
GalR_pos	fabB//entD//glcB//gntK//
GalS-beta-D-galactose_neg	rbsD//aroF//pdeL//entA//argB//
GalS-beta-D-galactose_pos	sufS//nadB//nrdF//pgm//
GalS_neg	cysC//hypB//nanA//cysN//waaZ//yfdE//
GalS_pos	phnN//treC//murF//hyi//
GatR_neg	patD//phnO//glpA//
GcvA_neg	astB//nadA//nirB//
GcvA_pos	citG//glpB//ubiA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	lhgO//fbaA//pgpC//
GlpR_neg	mhpB//gdhA//glmS//sdhC//lpd//puuA//ppc//
GlrR-Pasp56_pos	
GntR_neg	ugpQ//phnO//hycE//fadA//edd//caiB//ahpC//purN//alkB//
GutM_pos	trpB//metF//fumB//
HU_neg	mtlD//ynfH//caiB//paaA//rutC//deoA//hycF//
HU_pos	
HcaR-HCA_pos	alkA//ynfE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pykF//
HigB-HigA_neg	aroG//
HipAB_neg	glxK//purC//
HipB_neg	moeA//patA//astB//
HprR-Phosphorylated_neg	moeB//ldtD//
HprR-Phosphorylated_pos	dgcC//ynfH//
HyfR_pos	folE//
HypT-Met-oxidized_neg	gadB//argF//
HypT-Met-oxidized_pos	gcvT//argF//purB//lpd//adhE//
IclR-pyruvate_neg	prs//accD//ftsI//
IdnR-5-ketogluconate_neg	hypF//sbcD//
IdnR-5-ketogluconate_pos	rutD//sdhA//glmU//
IlvY-2-acetolactate_pos	glgB//
IlvY_neg	
IscR-2Fe-2S_neg	dapD//nfsB//
IscR_neg	bioF//gatY//caiD//astA//
IscR_pos	ruvB//allB//
KdgR_neg	rutD//folE//
KdpE-Phosphorylated_pos	nfsB//
LacI_neg	ddlB//hcaB//ldtB//
LeuO_neg	
LeuO_pos	glcB//rffG//glcE//mtlD//cysI//ynfF//
LexA_neg	gapA//mtlD//rutD//cdd//betB//citF//carB//glcE//tehB//relA//entC//hcaE//cysC//ftnA//hycC//galM//leuB//murC//hycC//ftsI//aceE//wecB//chbG//
LldR-lactate_neg	rfe//narH//
LldR-lactate_pos	nanK//metB//
LldR_neg	yedX//lpxA//
LldR_pos	araB//ulaG//
LrhA_neg	
LrhA_pos	
LsrR_neg	nfsA//ubiC//metC//tyrA//ampC//
LysR_neg	
LysR_pos	puuD//
MalI_neg	wecB//ubiX//
MalT-maltotriose-ATP_pos	hycB//lhgO//citX//kbaY//sgbH//phr//
MarA_neg	polB//
MarA_pos	rffM//araB//purC//pdeL//cueO//cysD//nirD//glpC//carB//glgB//xapA//astA//citE//rsmH//paaC//fumC//slt//wzc//glcF//wecC//entA//sgbU//fabB//
MarR_neg	
MatA_neg	deoB//
MatA_pos	
MazE-MazF_neg	metK//
MazE_neg	uvrB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	sdhB//metL//
MelR-melibiose_pos	sbcC//yiaK//
MelR_neg	argA//zwf//
MelR_pos	glxK//rffC//
MetJ-adenosylmethionine_neg	rutB//hypF//uidA//glpX//fucK//mhpD//sucD//atoA//glpA//betA//
MetR-L-homocysteine_neg	pgk//
MetR-L-homocysteine_pos	arsC//purK//
MetR_pos	guaB//glcD//
MhpR-3HPP_pos	atoA//dkgA//alkB//idnD//serA//gcvH//
Mlc_neg	xylB//ldtD//purD//aroL//
MlrA_pos	ubiX//
MngR_neg	dmsC//glmS//
MntR-Mn2_neg	garR//
MntR-Mn2_pos	yqjH//
ModE-MoO42-_neg	ssuE//pdeR//ynfG//citF//phr//leuC//yedX//edd//
ModE-MoO42-_pos	bioD//ssuD//grxA//betA//rfe//glxK//fadB//rffT//glnA//
MprA_neg	guaA//cynS//malZ//
MqsA_neg	aroG//glpQ//
MraZ_neg	epd//wecC//argF//napA//oxc//ahpF//uxaC//aroL//ampC//ribA//
MurR_neg	oxc//pgm//atoD//
MurR_pos	
Nac_neg	talA//moeA//fucU//
Nac_pos	putA//ldtD//alkB//atoB//rutE//phnO//waaZ//appA//
NadR_neg	murD//lsrK//lysA//nrfD//
NagC_neg	napG//kbaZ//hycF//aspC//gadA//paaZ//fucA//galE//paaB//asnB//tdcB//murE//murD//metK//chbG//fucK//citD//hypB//
NagC_pos	rffC//lysC//
NanR_neg	idnD//bioC//citG//fumC//glgB//lsrK//
NanR_pos	
NarL-Phosphorylated_neg	umuC//glpC//sdhB//hcp//sbcD//deoB//pdeL//pyrC//ssuE//uxaA//astD//astC//prpC//betB//puuC//purC//galK//pgk//paaB//ppsA//pgpC//rffT//moaA//citE//dgcN//glpK//dhaM//lyxK//
NarL-Phosphorylated_pos	hemH//hyaC//ilvC//trpA//pflB//waaH//ftnA//carB//ygeA//bglB//hcaE//sgbE//rutE//bioA//nanA//
NarP-Phosphorylated_neg	metB//gatZ//psd//tauD//glpB//
NarP-Phosphorylated_pos	rpiB//tyrA//gatD//uxuB//prpB//pdeR//ychF//frdA//metB//phoA//fadE//glpX//nanM//cysK//
NemR_neg	argG//thrS//
NhaR-Na_pos	dgcZ//hyaA//ahpF//argA//argF//
NikR-Ni2_neg	cysE//
NimR_neg	relA//
NorR_neg	
NorR_pos	ynfF//
NrdR-Zn2_neg	torA//cynT//cynS//gcvP//
