# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	sucD//waaH//
Ada_neg	murE//pgi//
Ada_pos	srlD//sgbH//atoB//pyrC//
AdiY_pos	pflB//glpK//rffC//uvrB//
AgaR_neg	puuA//
AidB_neg	phnJ//
AlaS-L-alanine_neg	aroL//
AllR-allantoin_neg	prpE//malP//acnA//hyaA//pdeR//relA//
AllS-allantoin_pos	paaI//ynfE//glsA//
AlsR_neg	ilvC//patA//pgaB//
AppY_pos	napG//sgbE//
AraC-arabinose_neg	pyrC//cdd//purK//tynA//lpxA//
AraC-arabinose_pos	mhpB//mpaA//garR//dapD//sucC//uxuA//
AraC_neg	caiD//lpd//glk//
AraC_pos	glmS//lsrK//guaB//
ArgP-arginine_neg	
ArgP-arginine_pos	nirD//
ArgP_pos	arsC//ychF//purN//argD//treC//ada//lpxC//cysC//
ArgR-L-arginine_neg	ttdA//murE//argD//tdcE//gudD//xylA//pagP//fdhF//mhpD//lacZ//tdcE//rutE//ppiA//garK//gabD//speG//paaB//moeB//
ArgR-L-arginine_pos	prpB//phnP//bioD//bioA//fabB//
ArsR_neg	carA//lsrG//
AscG_neg	asnA//nrdA//
AsnC_neg	mnmG//
AsnC_pos	yfdE//
AtoC-Phosphorylated_pos	rffC//sdhD//adiA//
BCCP_neg	paaH//
BaeR-Phosphorylated_pos	argD//gadB//
BasR-Phosphorylated_neg	dmsC//
BasR-Phosphorylated_pos	alaC//torA//
BetI_neg	metE//ubiX//uvrB//
BirA-biotinyl-5-adenylate_neg	kbaZ//ubiA//rfe//glcD//yeaG//
BluR_neg	
BolA_neg	ppsA//fadI//
BolA_pos	ydcS//lysA//
BtsR-Phosphorylated_pos	glgP//
CadC_pos	cysI//nadB//cueO//
CaiF-L-carnitine_pos	wrbA//codA//thrS//eno//phnI//
Cbl_pos	uxuB//sdhC//sdhA//cysI//wecE//
CdaR_pos	gatY//tdcD//fruK//tyrB//ppsA//malZ//glsA//srkA//fes//
CecR_neg	phr//
ChbR-N-monoacetylchitobiose6-phosphate_neg	mltF//glcF//galE//
ChbR-N-monoacetylchitobiose6-phosphate_pos	atoD//atoB//metF//
ChbR_neg	fumC//citF//alkA//
ChbR_pos	pgaC//caiC//hyaC//
ComR_neg	
CpxR-Phosphorylated_neg	chbF//gcl//rutD//
CpxR-Phosphorylated_pos	feaB//lacZ//bioC//treC//dgcC//pdeH//phnP//nadB//mhpB//rsmH//cysG//hycC//mhpB//sufS//ulaD//yiaK//idnO//idnD//
Cra_neg	ppsA//uxaA//wecC//argF//zwf//tnaA//dmsB//araB//nanM//katG//polB//ldtB//ddlB//nagB//waaZ//lpd//frdC//fabD//dgcC//alkA//purE//citC//murG//lpxC//dgcN//ahpF//folA//dhaK//paaJ//rutE//lyxK//nanA//glgB//fucK//accA//fucK//glgC//ssuE//gor//rutC//nfsA//phnM//fabG//ulaE//udp//
Cra_pos	purK//lsrK//srkA//pykF//carB//wrbA//asnB//ygeA//hycG//gatZ//rutE//rutB//phnG//gadB//rutB//lpxD//citX//
CreB-Phosphorylated_neg	purD//
CreB-Phosphorylated_pos	garR//
CsgD_neg	citF//nagB//
CsgD_pos	dkgA//gltD//nrfD//
CsiR_neg	paaH//gloA//paaF//fdhF//
CspA_pos	bioD//
CueR-Cu_neg	citC//malZ//adiA//
CueR-Cu_pos	bioB//trpB//
CusR-Pasp_pos	ubiA//ogt//alkB//trpD//
CynR-cyanate_pos	hcaB//ulaE//dacC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	purH//pagP//citG//
CysB-O-acetyl-L-serine_pos	puuB//leuC//rffM//guaB//pheS//yqjH//glcD//pck//gatY//yqjH//prpE//argE//
CysB_neg	
CysB_pos	allA//alsE//
CytR_neg	fabG//sbcD//glpQ//moeB//mhpE//pgaD//prpB//sdhC//chbG//glpK//
Dan-L-tartrate_pos	glsA//caiA//
DcuR-Phosphorylated_pos	recB//thrS//murQ//cysN//
DeoR_neg	pfkA//ahpC//lpxA//pdeR//fadA//phr//
DhaR_neg	
DhaR_pos	ada//
DicA_neg	
DinJ-YafQ_neg	glpB//
DnaA-ATP_neg	murF//citG//argI//araB//bioB//
DnaA-ATP_pos	nagA//fabA//yqjH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	metL//pflB//fadJ//rbsK//lpxD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	fabD//astD//
EbgR_neg	
EnvR_neg	mhpD//pdeL//
EnvY_pos	dapD//phnJ//
EvgA-Phosphorylated_pos	argI//prpD//tdcE//ynfF//paaC//entE//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	mhpB//ahpC//uxaA//asnA//ogt//nagB//
FabR_neg	waaH//pykF//citE//
FadR-acyl-CoA_pos	
FadR_neg	murI//lldD//glnA//mltF//wzc//nanK//carB//sgbE//ynfE//
FadR_pos	gatZ//oxc//idnD//purM//glpD//mpl//phnO//polB//ada//mhpE//
FeaR_pos	argA//prs//
FhlA-formate_pos	pgi//araA//glgC//purM//relA//bacA//narH//pheT//
FlhDC_neg	galM//nrdB//
FlhDC_pos	gnd//pspE//ynfG//leuC//sbcD//wecB//pgm//phnL//sgbU//moaC//garD//lpd//
FliZ_neg	fabI//prpC//fabB//prpB//trpD//
FucR-L-fuculose-1-P_pos	mpaA//hcaD//prpD//cdd//mdh//chbF//
Fur-Fe2_neg	pagP//pdeL//nrfC//cysK//cysN//entF//pncB//rutA//dkgA//recB//prpE//gabT//nrdE//umuD//narI//caiA//fruK//fadE//trpC//gor//allE//fau//mhpC//citG//caiC//argA//wzb//metL//glpC//tdcE//dmsB//murC//malQ//allD//sdhB//hcaB//bacA//glk//fes//nanK//oxc//pdeL//pheS//katE//aldA//gabD//galT//fucK//pck//pykF//puuE//glgP//tdcG//
Fur-Fe2_pos	argG//hcaE//rffH//hcaB//phnM//tdcB//pck//metA//lacZ//alkB//folA//argC//uxaA//purL//araB//purK//
GadE-RcsB_pos	sodB//alsE//gadA//moaD//lacA//
GadE_pos	uxaC//mhpD//sucB//hyaC//lpxA//aldA//dgcN//hycB//sdhA//ssuE//
GadW_neg	cysG//aldA//sodB//
GadW_pos	rffC//lsrF//frdA//pyrD//
GadX_neg	wecE//frdB//katG//
GadX_pos	eno//ychF//hcaD//tktB//ruvB//cyoE//argB//ulaF//bioA//ubiA//astA//
GalR-beta-D-galactose_neg	entB//umuC//tyrB//paaI//appA//
GalR-beta-D-galactose_pos	folA//hypF//appA//allE//
GalR_neg	gltB//ddlB//paaG//aceA//chbF//glpX//
GalR_pos	glpA//oxc//murC//astD//
GalS-beta-D-galactose_neg	glxK//bioA//galE//prpB//fadA//
GalS-beta-D-galactose_pos	ndh//rutB//fbaA//ynfG//
GalS_neg	cysN//idnD//metF//ruvB//murD//fbaB//
GalS_pos	xapA//fucU//alaS//gatD//
GatR_neg	purA//glcE//relA//
GcvA_neg	nrdE//carB//glxR//
GcvA_pos	talA//hcaE//nirD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	paaG//astB//speB//
GlpR_neg	ugpQ//purL//argA//metC//lpxA//hypB//asnA//
GlrR-Pasp56_pos	
GntR_neg	araB//dgcZ//pncB//eno//prs//lpd//guaA//purE//nagA//
GutM_pos	hycD//pgaC//hyaC//
HU_neg	cynT//hycC//torA//gntK//eda//hycF//entD//
HU_pos	
HcaR-HCA_pos	mtlD//puuC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	phnP//
HigB-HigA_neg	pgpC//
HipAB_neg	icd//aroF//
HipB_neg	pyrD//ulaE//murD//
HprR-Phosphorylated_neg	mnmG//fucA//
HprR-Phosphorylated_pos	hypB//nagA//
HyfR_pos	cysG//
HypT-Met-oxidized_neg	gltB//glgC//
HypT-Met-oxidized_pos	dgcC//mhpE//purH//rutD//phnJ//
IclR-pyruvate_neg	nrfC//umpH//pykF//
IdnR-5-ketogluconate_neg	mpaA//rnpB//
IdnR-5-ketogluconate_pos	caiB//glxK//ybjG//
IlvY-2-acetolactate_pos	frdA//
IlvY_neg	
IscR-2Fe-2S_neg	fumC//nrdB//
IscR_neg	dapB//sufS//malZ//tdcD//
IscR_pos	dgkA//allD//
KdgR_neg	pdeH//allA//
KdpE-Phosphorylated_pos	lysC//
LacI_neg	patA//sdhB//ssuE//
LeuO_neg	
LeuO_pos	grxA//caiC//malQ//leuC//murG//waaH//
LexA_neg	argD//bioF//citD//lsrF//dgcN//sdhA//alkA//citC//aldA//katE//grxA//ubiA//citF//entA//ydcS//alaS//phnO//tadA//lsrK//rpiB//ubiX//melA//ahpC//
LldR-lactate_neg	hmp//nagA//
LldR-lactate_pos	appA//frdA//
LldR_neg	astB//ynfF//
LldR_pos	aroL//dgcZ//
LrhA_neg	
LrhA_pos	
LsrR_neg	cysC//paaY//caiD//ampC//wecB//
LysR_neg	
LysR_pos	paaH//
MalI_neg	puuD//glyA//
MalT-maltotriose-ATP_pos	serA//dhaM//moeB//allB//talA//hemL//
MarA_neg	gcvT//
MarA_pos	mdh//phnO//metE//bioB//argA//nrfD//bioA//ynfG//pgk//frc//ygeA//ppsA//ygeA//gor//hycE//ynfG//astE//waaZ//paaE//gdhA//paaZ//alaS//entA//
MarR_neg	
MatA_neg	alsE//
MatA_pos	
MazE-MazF_neg	betA//
MazE_neg	dkgA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	yedX//galK//
MelR-melibiose_pos	citC//gnd//
MelR_neg	folE//hcaD//
MelR_pos	gatY//rsmH//
MetJ-adenosylmethionine_neg	lyxK//pgaD//allA//iscS//accD//pdeR//rffC//gor//phnJ//chbG//
MetR-L-homocysteine_neg	ilvC//
MetR-L-homocysteine_pos	aceF//tdcB//
MetR_pos	fadJ//fabH//
MhpR-3HPP_pos	astE//hycD//ppsA//puuA//lacZ//metK//
Mlc_neg	gltB//luxS//glpX//lldD//
MlrA_pos	gloA//
MngR_neg	cysD//deoC//
MntR-Mn2_neg	sgbE//
MntR-Mn2_pos	betB//
ModE-MoO42-_neg	umuD//prpE//sdhA//murF//adhE//xapA//entE//lsrF//
ModE-MoO42-_pos	citG//hycC//recD//metF//argE//glpX//pgi//fdhF//glgB//
MprA_neg	kbaZ//ung//idnK//
MqsA_neg	polB//dsdA//
MraZ_neg	glxK//gudD//eno//ampC//frdA//nfsB//mhpA//frdD//lldD//metC//
MurR_neg	wzc//moaC//fadB//
MurR_pos	
Nac_neg	puuA//rtcB//aroH//
Nac_pos	uxaB//wrbA//purH//tyrB//gloA//yiaK//fbaA//puuD//
NadR_neg	lpd//nagB//appA//ssuE//
NagC_neg	gltB//gcvP//paaH//pepD//lyxK//tauD//fucU//speA//gloA//pdeL//galE//deoD//glcF//ppiA//gcvP//trpB//yeaG//paaY//
NagC_pos	rutC//gutQ//
NanR_neg	ilvC//bacA//gpmA//phnJ//glpC//frdC//
NanR_pos	
NarL-Phosphorylated_neg	rffC//araD//rimK//ubiX//gabD//ubiX//ppsA//paaY//truB//rimK//paaJ//umuD//katG//deoD//carB//ubiC//paaZ//cysM//deoC//dacC//dmsB//nrfD//rutD//nagB//nrdE//rsmH//waaY//rimK//
NarL-Phosphorylated_pos	uxuB//aceA//gpmM//paaK//gdhA//puuB//puuB//rutE//phnJ//ribA//nadB//hmp//frdD//sodA//pncB//
NarP-Phosphorylated_neg	ldtD//yeaE//adhE//yiaK//glpQ//
NarP-Phosphorylated_pos	cysI//katE//fes//caiC//gpmM//ascB//ogt//purF//xylA//lyxK//trpC//cdd//yedX//purF//
NemR_neg	ada//rffT//
NhaR-Na_pos	yeaG//purA//glyA//fbaA//aldA//
NikR-Ni2_neg	ulaF//
NimR_neg	srkA//
NorR_neg	
NorR_pos	ogt//
NrdR-Zn2_neg	glxK//dmsC//nadB//dgcN//
NsrR_neg	prpC//entF//galM//fdhF//icd//truB//pgpC//bioD//polA//fadE//uvrA//mhpD//nirB//caiB//deoA//sbcD//frc//galT//entC//nadB//lyxK//lldD//rtcA//phnH//idnK//hycE//uvrC//frdB//hypF//nanA//codA//glpD//nadB//poxB//rffM//paaI//argD//phnM//ldtD//entF//
NtrC-Phosphorylated_neg	patD//lpxC//
NtrC-Phosphorylated_pos	fucA//glgX//rffC//carA//hypB//ycjG//idnK//lhgO//glmU//psd//paaB//mpaA//metH//thrS//fucA//paaJ//alaC//polB//nrfC//patD//epd//
OmpR-Phosphorylated_neg	lldD//ubiC//metB//alkB//paaG//
OmpR-Phosphorylated_pos	glpB//galM//poxB//paaK//
OxyR_neg	glcF//lpxC//nanK//ssuE//rtcA//
OxyR_pos	glpD//leuA//tdcE//ppiA//malZ//argF//phnG//poxB//purL//ascB//mpaA//napB//
PaaX_neg	gcl//torC//uvrA//chbF//uidA//poxB//mltF//paaE//hyaB//
PdeL_pos	rbsK//
PdhR_neg	caiA//hemH//lhgO//umuC//yeaE//aspC//fabZ//pheS//puuA//pdeR//rbsD//cyoE//psd//fadI//sbcC//poxB//lacA//ybjG//nirD//sucA//wecB//asnA//rhaD//
PdhR_pos	fadJ//lpd//
PepA_neg	fabD//uxaA//
PgrR_neg	rsmH//pgm//
PhoB-Phosphorylated_neg	ldtD//cysK//nanE//ulaD//adiA//
PhoB-Phosphorylated_pos	hcaD//gabT//ygeA//narG//caiB//ung//betA//dkgA//mdh//moaA//accD//metA//lldD//aspA//uxaA//trpA//bioB//
PhoP-Phosphorylated_neg	garR//hycF//phnI//
PhoP-Phosphorylated_pos	prpC//pgm//icd//rimK//glxK//mhpA//bioC//metE//ahpF//pgm//narG//argH//asnA//araD//ddlB//nemA//atoA//pnp//cysJ//deoD//cysK//rutD//gpmA//accC//lyxK//nanM//tdcG//dkgB//frdC//psd//phnH//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	yeaG//pgaD//rffT//cynT//
PspF_neg	
PspF_pos	fadD//
PurR-hypoxanthine_neg	frdB//glcB//cysG//rpiB//argI//caiB//prs//cyoE//aceB//uxuA//ruvB//nfsB//glgC//gpmA//sdhD//caiB//purE//dacC//citD//sufS//hycE//mpaA//sdhD//ung//phr//garK//
PutA_neg	fucO//grxA//
PuuR_neg	feaB//ulaE//metC//alkA//fumB//rsmH//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	patA//sucA//rpiB//dhaM//ulaE//
RcdA_neg	
RcdA_pos	tdcD//
RclR_pos	
RcnR_neg	hycF//
RcsAB_neg	entB//
RcsAB_pos	ynfG//astA//
RcsB-BglJ_pos	recD//gdhA//
RcsB-Pasp56_neg	hyi//
RcsB-Pasp56_pos	gatY//oxc//bioB//
RelB-RelE_neg	araB//
RelB_neg	kbaZ//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ruvA//cysJ//nanK//narH//
Rob_neg	
