# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	purA//rtcB//
Ada_neg	acnA//nrdF//
Ada_pos	epd//ftsI//nagB//napH//
AdiY_pos	iscS//tdcG//mhpD//idnK//
AgaR_neg	fadJ//
AidB_neg	metK//
AlaS-L-alanine_neg	metC//
AllR-allantoin_neg	nanM//betA//dgkA//rutC//metL//glgP//
AllS-allantoin_pos	galK//hypB//caiC//
AlsR_neg	nanE//malQ//pheT//
AppY_pos	speG//argD//
AraC-arabinose_neg	waaH//cynS//cysD//napA//dinB//
AraC-arabinose_pos	sodB//glpC//lacZ//nrdB//fucO//purD//
AraC_neg	ppsA//pepD//argF//
AraC_pos	sbcC//argG//rutE//
ArgP-arginine_neg	
ArgP-arginine_pos	fucK//
ArgP_pos	umuD//fadE//kbaY//fadH//speA//treC//pspE//ruvB//
ArgR-L-arginine_neg	ftnA//aspC//hemH//garD//lhgO//folE//grxA//dhaL//trpC//umpH//rsmH//accA//ascB//sodB//fucU//mpl//rutA//napA//
ArgR-L-arginine_pos	nanA//uxuA//dgkA//yeaG//garR//
ArsR_neg	gatY//allA//
AscG_neg	napH//tktB//
AsnC_neg	malY//
AsnC_pos	ung//
AtoC-Phosphorylated_pos	murD//purM//paaJ//
BCCP_neg	pheS//
BaeR-Phosphorylated_pos	rutA//nrdD//
BasR-Phosphorylated_neg	caiA//
BasR-Phosphorylated_pos	puuC//fabI//
BetI_neg	tam//pheT//garR//
BirA-biotinyl-5-adenylate_neg	moeA//dhaK//betB//fadM//pdeR//
BluR_neg	
BolA_neg	xylB//glpX//
BolA_pos	mazG//paaH//
BtsR-Phosphorylated_pos	tadA//
CadC_pos	recF//chbG//fadJ//
CaiF-L-carnitine_pos	napH//prpD//sgbU//frc//sufS//
Cbl_pos	ogt//recB//yqhD//pfkA//cynS//
CdaR_pos	gnd//paaI//aceB//hycB//pheT//idnO//gcvT//idnD//luxS//
CecR_neg	hycG//
ChbR-N-monoacetylchitobiose6-phosphate_neg	nanE//hycF//waaZ//
ChbR-N-monoacetylchitobiose6-phosphate_pos	eno//entD//ttdA//
ChbR_neg	murG//poxB//ttdB//
ChbR_pos	murQ//glyA//melA//
ComR_neg	
CpxR-Phosphorylated_neg	mpaA//narG//pgm//
