# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	patD//nadB//
Ada_neg	purF//mhpC//
Ada_pos	pnp//astB//wecE//gpmM//
AdiY_pos	napA//purA//prpC//lpd//
AgaR_neg	nrdA//
AidB_neg	wzc//
AlaS-L-alanine_neg	prpC//
AllR-allantoin_neg	glpB//entE//pgi//atoD//lysA//glpC//
AllS-allantoin_pos	murI//deoB//caiA//
AlsR_neg	dgcZ//purM//glpK//
AppY_pos	nirB//phnN//
AraC-arabinose_neg	gutQ//aceF//dgcC//codA//dapD//
AraC-arabinose_pos	mnmG//uidA//entF//pyrD//yedX//mtlD//
AraC_neg	dmsC//pnp//gor//
AraC_pos	glpC//leuA//ahpC//
ArgP-arginine_neg	
ArgP-arginine_pos	tehB//
ArgP_pos	dhaK//araD//wecC//fadH//gcl//asnB//ulaG//icd//
ArgR-L-arginine_neg	nanA//lldD//nanA//dinB//gpmA//allA//mhpF//paaG//uxuB//prpD//ubiX//hyaA//pgk//yeaE//aceF//ftsI//nrdE//gutQ//
ArgR-L-arginine_pos	argH//talA//entB//sdhD//fadI//
ArsR_neg	glyA//hyi//
AscG_neg	tdcE//pdeL//
AsnC_neg	citD//
AsnC_pos	hcaE//
AtoC-Phosphorylated_pos	bioD//ahpF//mnmG//
BCCP_neg	amn//
BaeR-Phosphorylated_pos	epd//tnaA//
BasR-Phosphorylated_neg	fadE//
BasR-Phosphorylated_pos	pykF//araA//
BetI_neg	arsC//bioD//rnpB//
BirA-biotinyl-5-adenylate_neg	ribA//lpxA//phnG//hypB//dkgB//
BluR_neg	
BolA_neg	tadA//icd//
BolA_pos	cysJ//cueO//
BtsR-Phosphorylated_pos	lyxK//
CadC_pos	mdh//pgpC//ogt//
CaiF-L-carnitine_pos	glcE//ygeA//moeB//moaD//citF//
Cbl_pos	appA//tktB//nanE//carA//garD//
CdaR_pos	tauD//hcaB//pgaD//dmsB//fadB//gnd//fucK//fadE//mnmG//
CecR_neg	lysC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ogt//malQ//gor//
ChbR-N-monoacetylchitobiose6-phosphate_pos	cysC//lysC//uvrC//
ChbR_neg	gabT//rtcB//accA//
ChbR_pos	cysD//paaB//glpK//
ComR_neg	
CpxR-Phosphorylated_neg	adhE//fabI//ascB//
CpxR-Phosphorylated_pos	ruvB//allC//astD//glgX//glpD//alkB//paaZ//hyaA//entH//narG//glsA//paaY//rutA//metA//nrdA//moaC//metB//paaK//
Cra_neg	aroG//fabZ//gudD//ldtB//narG//gcvP//bioA//hcaD//paaB//dhaL//polA//hyaC//pdeR//aceB//cysK//lhgO//tehB//citC//yeaG//adiA//ssuD//trpD//gntK//pgm//mhpE//frdB//torA//yiaK//gudD//rffH//cysN//folE//entD//luxS//dapB//feaB//nfsB//asnA//glpQ//iscS//polA//hypF//feaB//glsA//nanA//
