# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	lysC//cysC//
Ada_neg	atoA//uxuA//
Ada_pos	eda//chbF//aroL//gudD//
AdiY_pos	fucA//sgbU//ppsA//pyrD//
AgaR_neg	hyaA//
AidB_neg	entE//
AlaS-L-alanine_neg	argC//
AllR-allantoin_neg	purK//araA//speB//mnmG//mnmG//mhpA//
AllS-allantoin_pos	ogt//bioD//xylA//
AlsR_neg	uxaC//entE//mdh//
AppY_pos	alaS//mpl//
AraC-arabinose_neg	fadE//idnO//mhpC//alaC//narI//
AraC-arabinose_pos	gnd//garK//murI//carB//metL//bacA//
AraC_neg	argH//metC//yiaK//
AraC_pos	entD//sdhB//prs//
ArgP-arginine_neg	
ArgP-arginine_pos	hyaB//
ArgP_pos	astA//hycF//truB//nanA//tyrA//puuE//fes//allE//
ArgR-L-arginine_neg	leuD//purB//paaC//fadA//sdhA//gudD//metL//pspE//paaF//putA//rimK//ynfE//ybjG//glmS//ftsI//astE//rbsD//fruK//
ArgR-L-arginine_pos	paaJ//prpB//trpC//argB//phnG//
ArsR_neg	murI//metC//
AscG_neg	fabD//moaA//
AsnC_neg	alsE//
AsnC_pos	dgcZ//
AtoC-Phosphorylated_pos	mpl//gdhA//paaG//
BCCP_neg	fadE//
BaeR-Phosphorylated_pos	glyA//glpK//
BasR-Phosphorylated_neg	fadB//
BasR-Phosphorylated_pos	eda//ygeA//
BetI_neg	aspC//relA//guaA//
BirA-biotinyl-5-adenylate_neg	glcD//eda//accA//fdhF//nanA//
BluR_neg	
BolA_neg	alkA//rhaD//
BolA_pos	yqhD//fucK//
BtsR-Phosphorylated_pos	talA//
CadC_pos	glgP//citF//sucB//
CaiF-L-carnitine_pos	ycjG//pgaB//dgcC//ogt//murE//
Cbl_pos	gnd//ynfH//caiB//fabI//trpE//
CdaR_pos	aceB//wecB//argF//dapD//torC//pflB//guaB//moaC//ppiA//
CecR_neg	dhaL//
