# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	patD//hcaB//
Ada_neg	purD//lacZ//
Ada_pos	pgaC//ahpC//phoA//malP//
AdiY_pos	araA//metE//sgbE//yeaE//
AgaR_neg	murF//
AidB_neg	metE//
AlaS-L-alanine_neg	entD//
AllR-allantoin_neg	speG//yfdE//wecC//murD//astB//glmS//
AllS-allantoin_pos	mngB//glgC//cysK//
AlsR_neg	moeB//argB//murC//
AppY_pos	mpaA//ydcS//
AraC-arabinose_neg	trpA//sgbU//hemL//lpxA//speB//
AraC-arabinose_pos	treC//atoA//rbsK//serA//codA//sgbU//
AraC_neg	rpiB//entH//alaS//
AraC_pos	citE//accD//bioD//
ArgP-arginine_neg	
ArgP-arginine_pos	ruvB//
ArgP_pos	purN//alaS//idnO//citF//malQ//rfe//fucA//bioA//
ArgR-L-arginine_neg	leuD//hycB//argI//tnaA//gntK//argI//kbaZ//rutA//fabH//metB//recD//ulaG//ruvB//ftnA//caiC//ppc//tktB//rffH//
ArgR-L-arginine_pos	astD//ppiA//dapB//fadD//pncB//
ArsR_neg	dapB//poxB//
AscG_neg	ilvC//fucO//
AsnC_neg	hycB//
AsnC_pos	citD//
AtoC-Phosphorylated_pos	lhgO//frdB//trpB//
BCCP_neg	oxc//
BaeR-Phosphorylated_pos	glcE//ccp//
BasR-Phosphorylated_neg	wecE//
BasR-Phosphorylated_pos	icd//caiD//
BetI_neg	hyaB//epd//cysM//
BirA-biotinyl-5-adenylate_neg	ulaG//gabD//araB//cysM//gdhA//
BluR_neg	
BolA_neg	edd//dsdA//
BolA_pos	purH//hcaE//
BtsR-Phosphorylated_pos	srlD//
CadC_pos	cdd//uxaC//nadA//
CaiF-L-carnitine_pos	acnA//argE//uidA//yeaE//paaI//
Cbl_pos	carA//leuC//rfe//pck//grxA//
CdaR_pos	pflB//truB//rtcA//cysN//metB//napG//gntK//tnaA//pdeL//
CecR_neg	ahpF//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ahpC//fadB//aspC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	gudD//ftsI//nfsB//
ChbR_neg	carB//mpaA//aroG//
ChbR_pos	aroF//citC//lyxK//
ComR_neg	
CpxR-Phosphorylated_neg	purL//nanA//wecE//
CpxR-Phosphorylated_pos	rtcA//cysE//glgP//nanM//paaZ//fadH//dapB//phr//dhaL//nirD//purF//glpQ//rffH//ycjG//deoB//nadA//fumC//argG//
