# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	tynA//cueO//
Ada_neg	appA//psd//
Ada_pos	hypF//ynfH//tyrB//tpiA//
AdiY_pos	dapD//garK//argC//poxB//
AgaR_neg	purB//
AidB_neg	frdC//
AlaS-L-alanine_neg	udp//
AllR-allantoin_neg	yedX//sbcC//tauD//umuD//pspE//puuD//
AllS-allantoin_pos	nrdE//paaJ//sufS//
AlsR_neg	dkgB//nagB//purM//
AppY_pos	icd//mhpB//
AraC-arabinose_neg	uxaA//gadA//allE//fumB//leuA//
AraC-arabinose_pos	asnA//aceF//betB//carA//murG//purN//
AraC_neg	entF//pgm//uxuA//
AraC_pos	purH//gcvP//ubiC//
ArgP-arginine_neg	
ArgP-arginine_pos	pgpC//
ArgP_pos	galM//pgpC//paaJ//talA//folE//entD//citC//gabT//
ArgR-L-arginine_neg	citC//araB//ubiC//glsA//murC//glk//cysJ//garL//gatZ//truB//tauD//galE//dmsB//mhpD//astE//tktB//paaA//mhpF//
ArgR-L-arginine_pos	bioB//deoB//rffM//ccp//frc//
ArsR_neg	lpd//hycG//
AscG_neg	epd//mngB//
AsnC_neg	paaZ//
AsnC_pos	purK//
AtoC-Phosphorylated_pos	garD//frdA//gatZ//
BCCP_neg	mltF//
BaeR-Phosphorylated_pos	puuB//napH//
BasR-Phosphorylated_neg	dapB//
BasR-Phosphorylated_pos	bioB//malZ//
BetI_neg	lsrF//fabG//metC//
BirA-biotinyl-5-adenylate_neg	purA//gcvP//moeA//leuB//sufS//
BluR_neg	
BolA_neg	ubiX//mhpC//
BolA_pos	torC//phnN//
BtsR-Phosphorylated_pos	yeaG//
CadC_pos	aroL//prs//mraY//
CaiF-L-carnitine_pos	bioB//trpB//malZ//fabD//allE//
Cbl_pos	pyrD//nirB//idnO//mazG//fes//
CdaR_pos	argB//murG//rutE//galK//gapA//fadM//deoD//ruvA//pck//
CecR_neg	polB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ynfG//gnd//cysM//
ChbR-N-monoacetylchitobiose6-phosphate_pos	pgi//lyxK//bioB//
ChbR_neg	murD//recB//nanK//
ChbR_pos	metC//tynA//ilvC//
ComR_neg	
CpxR-Phosphorylated_neg	gltD//pepD//gutQ//
CpxR-Phosphorylated_pos	glsA//sucD//paaK//alkA//alaC//cdd//glcE//aspA//fau//glpK//xylA//phnH//sbcC//tauD//uvrC//sodA//uxuA//tktB//
Cra_neg	dinB//yeaE//pgaC//nrdF//aceA//alkB//purE//aceB//metF//purN//mhpF//glsA//truB//gltB//leuC//glyA//argI//iscS//sodB//murI//malY//astD//recB//pheS//glcE//hycB//patA//ahpC//sdhD//prpE//fabA//dgcZ//argD//ttdB//fumC//ychF//mltF//aceB//lacZ//polB//glpK//nfsA//asnB//eda//idnO//
Cra_pos	uvrB//fadA//dgcN//fruK//glmS//rtcA//hcp//metC//paaC//araA//gatY//betB//ccp//frdB//puuA//mnmG//ahpC//
CreB-Phosphorylated_neg	mhpA//
CreB-Phosphorylated_pos	paaK//
CsgD_neg	dkgB//torA//
CsgD_pos	glcF//rhaB//phoA//
CsiR_neg	nanK//tadA//argH//rbsD//
CspA_pos	mpl//
CueR-Cu_neg	deoA//tdcG//folE//
CueR-Cu_pos	torA//fucO//
CusR-Pasp_pos	yqhD//malP//cdd//pck//
CynR-cyanate_pos	rutB//ascB//kbaZ//
CynR_neg	
CysB-O-acetyl-L-serine_neg	puuC//rffT//bioA//
CysB-O-acetyl-L-serine_pos	asnA//kbaY//entC//puuE//ssuE//betA//hemL//gatD//ruvA//rutB//atoD//nadA//
CysB_neg	
CysB_pos	cynS//alaC//
CytR_neg	rffT//metK//malZ//recF//uxuB//araA//slt//ahpF//ybjG//leuA//
Dan-L-tartrate_pos	hcaC//hcp//
DcuR-Phosphorylated_pos	cysD//mngB//idnD//umuC//
DeoR_neg	leuB//garR//tdcG//dgcC//gabT//fabB//
DhaR_neg	
DhaR_pos	zwf//
DicA_neg	
DinJ-YafQ_neg	prpB//
DnaA-ATP_neg	allC//uxaA//trpE//cueO//ygeA//
DnaA-ATP_pos	acnA//cyoE//tdcB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nadA//phnN//lysC//citX//fbaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hypF//gadA//
EbgR_neg	
EnvR_neg	yiaK//sodB//
EnvY_pos	glgX//fes//
EvgA-Phosphorylated_pos	frc//prpD//prpD//moaC//aspA//polB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	glgC//astA//ribA//hcaB//galE//nfsA//
FabR_neg	ulaF//dmsA//umuC//
FadR-acyl-CoA_pos	
FadR_neg	acnB//argA//sdhB//glyA//pgm//pepD//thrS//phr//argF//
FadR_pos	garL//cysG//wzb//astE//rffT//hyi//paaA//metA//puuC//yeaE//
FeaR_pos	mhpE//atoA//
FhlA-formate_pos	dgcC//cynT//fadJ//treC//hcaF//tdcE//uxaB//nrdB//
FlhDC_neg	tam//deoC//
FlhDC_pos	fucU//wecE//bioB//gcvT//ascB//uvrA//ahpC//udp//glgX//lsrK//argH//gadA//
FliZ_neg	nrdD//moaC//hycD//sdhD//astD//
FucR-L-fuculose-1-P_pos	fabH//ubiA//ndh//recD//alsE//thrS//
Fur-Fe2_neg	fabH//pck//leuD//dgcZ//aroH//sgbE//dapD//sgbH//pdeH//appA//adhE//ahpC//ilvC//galT//sodA//idnD//fabB//narI//astC//galE//ssuD//rutE//ynfE//waaY//rutC//rsmH//ynfG//garR//sodA//deoD//metH//argF//nemA//accC//paaB//lyxK//fabH//uvrC//nirD//rffH//ydcS//citC//pdeR//fabI//paaG//hcp//araB//moaC//tdcE//ccp//epd//murF//xapA//
Fur-Fe2_pos	garK//tadA//srlD//dinB//hcaD//ccp//allC//aroL//paaE//ahpC//paaZ//narH//pdeH//dgcC//rimK//prpC//
GadE-RcsB_pos	malQ//bioF//tdcG//phnG//cysC//
GadE_pos	fadD//malS//metH//pgm//tyrA//murI//lsrF//lysA//umuD//fadH//
GadW_neg	frdC//murE//fbaB//
GadW_pos	ttdB//acnB//aroF//wzc//
GadX_neg	yqhD//mhpB//glpB//
GadX_pos	asnA//nrdE//pheS//moeA//talA//phnJ//moaD//allC//ruvA//lpxA//rtcB//
GalR-beta-D-galactose_neg	phnN//frdC//cadA//gatZ//fabB//
GalR-beta-D-galactose_pos	nrdF//hyaB//mpaA//patA//
GalR_neg	srkA//purD//cysD//atoD//ttdA//ttdB//
GalR_pos	ubiC//mhpB//waaZ//pagP//
GalS-beta-D-galactose_neg	prpD//pncB//tktB//paaE//patD//
GalS-beta-D-galactose_pos	accA//puuE//pagP//aceA//
GalS_neg	sdhB//leuD//guaA//deoB//malZ//pyrC//
GalS_pos	cysJ//purF//puuB//hycD//
GatR_neg	dapD//paaG//xapA//
GcvA_neg	rutA//aldA//glpK//
GcvA_pos	polB//mngB//dgcN//
GlcC-glycolate_neg	
GlcC-glycolate_pos	trpA//truB//pgaC//
GlpR_neg	araB//argF//nanM//ubiX//luxS//prpE//araD//
GlrR-Pasp56_pos	
GntR_neg	paaK//nanM//ribA//lacA//puuA//aldA//pgpC//dapB//fabG//
GutM_pos	argG//lsrG//dapD//
HU_neg	phnI//moeB//umuC//alkB//fucI//prpB//wecE//
HU_pos	
HcaR-HCA_pos	nrfD//puuE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sucB//
HigB-HigA_neg	guaA//
HipAB_neg	hycG//ddlB//
HipB_neg	murI//paaY//mhpA//
HprR-Phosphorylated_neg	xapA//yiaK//
HprR-Phosphorylated_pos	pnp//ydcS//
HyfR_pos	yqjH//
HypT-Met-oxidized_neg	rbsK//dgkA//
HypT-Met-oxidized_pos	citX//eno//sdhA//ogt//hyaB//
IclR-pyruvate_neg	rffH//gapA//paaG//
IdnR-5-ketogluconate_neg	nrdB//allE//
IdnR-5-ketogluconate_pos	argC//aspA//pspE//
IlvY-2-acetolactate_pos	iscS//
IlvY_neg	
IscR-2Fe-2S_neg	rpiB//nemA//
IscR_neg	pgk//entE//nadA//paaZ//
IscR_pos	glpB//bioB//
KdgR_neg	nadB//ampC//
KdpE-Phosphorylated_pos	hyi//
LacI_neg	aceB//tam//nagB//
LeuO_neg	
LeuO_pos	rffG//accA//wrbA//moaD//aceA//mpaA//
LexA_neg	gapA//prpE//entA//ribA//umuC//sufS//metF//leuA//deoB//uxaB//dgcZ//slt//cysH//paaE//tyrB//nrdE//lsrF//rffH//glyA//pheS//pykF//glgC//nfsA//
LldR-lactate_neg	bioC//hypB//
LldR-lactate_pos	glsA//aldA//
LldR_neg	glmS//glpQ//
LldR_pos	tnaA//aspA//
LrhA_neg	
LrhA_pos	
LsrR_neg	fau//ttdA//glgB//tyrA//purN//
LysR_neg	
LysR_pos	accC//
MalI_neg	cysM//uxaC//
MalT-maltotriose-ATP_pos	pgaC//wecB//cysH//ppc//wzb//atoB//
MarA_neg	kbaY//
MarA_pos	melA//waaH//patA//lpd//fabG//ogt//rbsK//melA//fucI//poxB//cysN//codA//nfsA//lpxA//sucB//aroL//mngB//fucI//caiD//murF//paaZ//prpE//entB//
MarR_neg	
MatA_neg	dgcZ//
MatA_pos	
MazE-MazF_neg	metC//
MazE_neg	mngB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ruvA//ycjG//
MelR-melibiose_pos	phr//uidA//
MelR_neg	tdcB//pheS//
MelR_pos	deoC//polA//
MetJ-adenosylmethionine_neg	cysI//cysN//metH//fabI//allD//bioB//gutQ//araA//gadA//paaH//
MetR-L-homocysteine_neg	frdA//
MetR-L-homocysteine_pos	fucA//ppsA//
MetR_pos	lldD//ruvA//
MhpR-3HPP_pos	xylB//mhpC//kbaY//fucU//nadA//nanA//
Mlc_neg	alaS//moaC//speB//recD//
MlrA_pos	iscS//
MngR_neg	sdhC//yqjH//
MntR-Mn2_neg	yiaK//
MntR-Mn2_pos	fucO//
ModE-MoO42-_neg	dgcC//phnM//hycG//katE//glcB//bioB//hypF//malQ//
ModE-MoO42-_pos	rffH//gcvP//paaK//fabB//aroL//puuE//metH//phr//mltF//
MprA_neg	leuC//tynA//sucD//
MqsA_neg	gor//cyoE//
MraZ_neg	sdhC//lpxD//pflB//gltB//guaB//ubiX//murE//glpK//nirB//ndh//
MurR_neg	fadE//murC//adhE//
MurR_pos	
Nac_neg	torA//sgbH//purL//
Nac_pos	metB//paaK//rffG//tadA//nagA//argH//waaZ//fdhF//
NadR_neg	nanE//waaY//nadB//gloA//
NagC_neg	frdB//glxR//lyxK//speG//hyaC//nrdB//entA//nemA//argF//malS//pgpC//leuD//nrdB//gabT//fadA//wecC//leuD//gcvH//
NagC_pos	cysN//fruK//
NanR_neg	pgk//pncB//garD//citE//dgcC//fucA//
NanR_pos	
NarL-Phosphorylated_neg	oxc//ppiA//glpA//polB//prpB//rutC//bacA//dacC//ybjG//hypB//mhpF//pspE//icd//mdh//nanM//glpB//hycC//aroG//moaE//hyaC//hyaC//malS//entH//citG//speG//paaJ//tyrB//tnaA//
NarL-Phosphorylated_pos	dapD//lhgO//gatZ//ulaG//paaB//fes//gapA//narH//murD//astC//citG//lysC//entF//ada//hycD//
NarP-Phosphorylated_neg	atoB//sdhB//alkB//dgcC//waaZ//
NarP-Phosphorylated_pos	phnG//fadJ//puuD//sgbE//umuD//atoD//tdcE//fes//tauD//arsC//trpE//ribA//betA//ygeA//
NemR_neg	tnaA//phnP//
NhaR-Na_pos	hemL//cadA//accA//psd//gltD//
NikR-Ni2_neg	mpaA//
NimR_neg	lhgO//
NorR_neg	
NorR_pos	uidA//
NrdR-Zn2_neg	recF//uxuB//allE//hcaF//
NsrR_neg	sucB//moaC//galT//nirD//hcaF//bioD//fadM//nrfC//fadE//gadB//betB//accC//ahpC//mhpD//metA//grxA//glgA//gnd//garR//cysE//araB//allD//ahpC//gpmA//paaC//rpiB//gutQ//cysJ//srlD//fabH//fadD//ychF//glpQ//treC//phnJ//hycD//slt//napB//fabA//citF//
NtrC-Phosphorylated_neg	caiC//fabH//
NtrC-Phosphorylated_pos	cysG//idnO//ftnA//ahpF//malZ//idnO//psd//malS//argF//malZ//mdh//moaC//galE//ppc//rnpB//ruvA//ldtB//deoD//ddlB//phnI//dmsA//
OmpR-Phosphorylated_neg	dhaK//moaC//ssuE//fabG//cynS//
OmpR-Phosphorylated_pos	garK//murE//speG//deoB//
OxyR_neg	glcB//acnB//rsmH//uxaC//rffH//
OxyR_pos	entE//glmU//adiA//garL//betA//ddlB//glcD//yfdE//dkgA//ogt//sgbE//tdcD//
PaaX_neg	glcE//aroF//rtcB//glgA//betA//guaB//relA//dacC//ulaE//
PdeL_pos	ada//
PdhR_neg	rbsK//fadM//fucI//cysD//rbsD//atoA//ynfG//polB//ycjG//speG//ampC//gltB//sufS//hycG//allB//gudD//rpiB//hyaC//glxK//gcl//lpxA//aspC//aceA//
PdhR_pos	napH//garD//
PepA_neg	wzc//hycD//
PgrR_neg	galK//pyrD//
PhoB-Phosphorylated_neg	ychF//nfsB//pspE//dacC//fau//
PhoB-Phosphorylated_pos	kbaZ//fucA//ubiX//tktB//fabD//hemL//fes//glgA//rhaA//lpd//dgcZ//bioF//gcvT//zwf//caiA//pgk//ftnA//
PhoP-Phosphorylated_neg	idnO//paaJ//sdhD//
PhoP-Phosphorylated_pos	argF//lhgO//glk//edd//tehB//atoD//nrdB//tdcE//thrS//dgcC//allC//umpH//bacA//trpB//mpl//mraY//uidA//deoC//bioB//cysJ//sgbE//idnO//malY//amn//oxc//waaZ//cysN//cdd//speG//fadA//pgi//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ampC//ppc//sbcC//galT//
PspF_neg	
PspF_pos	sdhA//
PurR-hypoxanthine_neg	cysI//deoB//umuC//ruvB//leuB//nanM//chbF//acnB//lpd//bacA//ldtC//glgC//ppsA//nanK//galM//tam//glcF//napB//lpd//fdhF//nanK//xapA//luxS//fdhF//pdeH//hycE//
PutA_neg	phr//metE//
PuuR_neg	yqhD//gatD//paaA//fumC//lpxD//katG//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	aceA//sucD//allB//glpK//garR//
RcdA_neg	
RcdA_pos	nirB//
RclR_pos	
RcnR_neg	wzc//
RcsAB_neg	aspC//
RcsAB_pos	galE//glcF//
RcsB-BglJ_pos	fes//fadJ//
RcsB-Pasp56_neg	astD//
RcsB-Pasp56_pos	allA//gudD//gnd//
RelB-RelE_neg	citG//
RelB_neg	aroL//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glnA//argB//tyrA//carB//
Rob_neg	
Rob_pos	paaI//ppiA//lpxC//talA//napB//recF//garR//atoD//glpK//metE//tdcE//ttdB//gltD//rnpB//glmS//hycE//grxA//astA//purH//
RstA-Phosphorylated_neg	rhaD//malQ//
RstA-Phosphorylated_pos	nemA//
RtcR_pos	aroG//sgbH//
RutR_neg	cynS//bioC//ynfH//astB//purM//prpE//mazG//ldtD//nrdE//nadB//
RutR_pos	treC//
SdiA_neg	
SdiA_pos	
SgrR_neg	atoB//
SgrR_pos	allA//ychF//
SlyA_neg	
SlyA_pos	napG//bioD//aroH//rtcA//yedX//lysC//entA//fabA//ada//
SoxR_neg	
SoxR_pos	ycjG//mhpE//prpC//feaB//mltF//alsE//
SoxS_neg	
SoxS_pos	gnd//tdcG//pck//argH//rsmH//oxc//hyaA//aceF//metA//ybjG//sodB//yedX//fadM//cysD//deoB//nrfC//talA//polA//ugpQ//glk//speA//hycD//glpC//sucA//aroL//putA//argC//narI//
SrlR_neg	leuB//astE//mnmG//
StpA_neg	purA//wecC//uxaC//
SutR_neg	fadH//hycC//
SutR_pos	
TdcA_pos	guaB//glpC//rffT//trpE//aspC//
TdcR_pos	nrdB//oxc//eno//ubiC//murE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadM//frc//uxaB//astA//
TorR-TorI_neg	kbaY//
TorR-TorI_pos	
TreR_neg	phnH//puuD//
TrpR-tryptophan_neg	atoB//frdA//lyxK//pagP//frdD//hcaB//hypB//aceE//tyrB//
TyrR-phenylalanine_neg	feaB//frdA//
TyrR-phenylalanine_pos	pgaD//
TyrR-tyrosine_neg	ynfE//murG//leuD//pncB//cysN//waaY//
TyrR-tyrosine_pos	alaC//ulaG//
TyrR_neg	dgcN//
TyrR_pos	astC//
UhpA-Phosphorylated_pos	aspC//
UidR_neg	frdA//paaA//
UlaR_neg	ulaG//nanM//murQ//ygeA//sgbU//
UvrY-Phosphorylated_pos	katG//ascB//
UxuR_neg	pheT//caiC//phnG//uvrC//lsrF//
XapR-xanthosine_pos	caiB//luxS//
XylR-xylose_neg	
XylR-xylose_pos	leuC//gcvH//fadI//
YdeO_neg	
YdeO_pos	paaA//purD//dmsB//
YefM-YoeB_neg	phnH//
YefM_neg	phr//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	argB//pyrD//pdeR//paaA//lsrF//hcaF//
YjjQ_neg	pdeH//fadH//
YpdB-Phosphorylated_pos	
YqhC_pos	umuC//pyrC//
YqjI_neg	ahpC//
ZntR-Zn2_pos	hycC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	hypB//
