# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	yedX//paaH//
Ada_neg	dapD//caiB//
Ada_pos	pfkA//nrdD//ung//puuC//
AdiY_pos	aceE//betA//aspA//dinB//
AgaR_neg	glpQ//
AidB_neg	wecB//
AlaS-L-alanine_neg	glgP//
AllR-allantoin_neg	nrfA//prpE//phnO//rnpB//purF//paaJ//
AllS-allantoin_pos	nrfD//adhE//uxuB//
AlsR_neg	phnN//rutE//sdhA//
AppY_pos	mltF//mhpF//
AraC-arabinose_neg	recF//moeB//phnI//ftnA//hycE//
AraC-arabinose_pos	mhpB//dhaM//fabI//narH//fabD//dacC//
AraC_neg	guaA//cysJ//sodB//
AraC_pos	leuA//ubiC//iscS//
ArgP-arginine_neg	
ArgP-arginine_pos	tktB//
ArgP_pos	sbcC//mhpA//aceA//glcE//sbcC//fadE//bacA//ppiA//
ArgR-L-arginine_neg	glcF//dmsB//cysG//ttdB//aceA//uxuB//carA//rfe//ydcS//atoD//metF//garL//nanM//pgaB//murE//argB//fau//fadA//
ArgR-L-arginine_pos	aroF//hycG//lhgO//zwf//hycD//
ArsR_neg	nagA//pgm//
AscG_neg	allB//tyrB//
AsnC_neg	betA//
AsnC_pos	napH//
AtoC-Phosphorylated_pos	cdd//treC//trpA//
BCCP_neg	speG//
BaeR-Phosphorylated_pos	paaC//purK//
BasR-Phosphorylated_neg	frdB//
BasR-Phosphorylated_pos	ttdA//cadA//
BetI_neg	dsdA//mhpA//hycF//
BirA-biotinyl-5-adenylate_neg	alkA//hypF//lsrK//rffH//garK//
BluR_neg	
BolA_neg	adhE//ldtC//
BolA_pos	sdhD//luxS//
BtsR-Phosphorylated_pos	glpC//
CadC_pos	accD//allA//citG//
CaiF-L-carnitine_pos	sdhD//bacA//ppiA//prpB//fruK//
Cbl_pos	rffT//cyoE//atoA//nrdE//rutA//
CdaR_pos	ynfG//chbG//pck//gor//nadA//tktB//glgP//lsrG//lldD//
CecR_neg	astA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	zwf//rffH//entH//
ChbR-N-monoacetylchitobiose6-phosphate_pos	ahpC//ttdB//wzb//
ChbR_neg	pnp//purA//torC//
ChbR_pos	putA//leuC//cysD//
ComR_neg	
CpxR-Phosphorylated_neg	fabB//aroL//gdhA//
CpxR-Phosphorylated_pos	garL//purL//atoD//puuD//gatZ//ruvA//gutQ//xapA//uxuA//cueO//glgA//hcaD//glmU//fadD//trpC//fabD//galM//umuC//
Cra_neg	glnA//ulaF//ampC//glgP//thrS//paaE//yedX//ftsI//lsrF//lacZ//napH//umuC//malZ//pyrD//rutB//argA//nadB//nagA//narI//entE//entA//glgP//argH//lacA//aceA//glpX//metB//metE//nemA//gloA//codA//melA//ascB//paaF//aspA//ung//purD//nrfD//glpQ//paaH//napG//trpD//ftsI//ahpC//galE//
Cra_pos	uvrA//yiaK//eno//dmsB//garR//wecE//paaG//gcvH//phr//cysK//paaK//glgB//ccp//phr//tyrB//rffC//trpB//
CreB-Phosphorylated_neg	ppc//
CreB-Phosphorylated_pos	moeA//
CsgD_neg	paaE//malS//
CsgD_pos	frdD//rffG//adhE//
CsiR_neg	serA//edd//astB//pykF//
CspA_pos	luxS//
CueR-Cu_neg	citD//speB//rbsD//
CueR-Cu_pos	glxK//relA//
CusR-Pasp_pos	putA//rhaD//dgkA//trpC//
CynR-cyanate_pos	entE//polB//lpxC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	gcl//sufS//ribA//
CysB-O-acetyl-L-serine_pos	sucB//tktB//argG//umuD//yqhD//tam//rhaD//argC//nrfD//puuB//ybjG//frdA//
CysB_neg	
CysB_pos	patD//fabB//
CytR_neg	ybjG//mraY//sbcC//ahpF//mngB//mhpE//ubiC//tyrA//folA//galT//
Dan-L-tartrate_pos	umuD//fabH//
DcuR-Phosphorylated_pos	rhaB//lacA//murQ//sucB//
DeoR_neg	sdhC//metL//hycG//mhpC//gdhA//recF//
DhaR_neg	
DhaR_pos	glyA//
DicA_neg	
DinJ-YafQ_neg	fbaA//
DnaA-ATP_neg	napA//glcF//nirD//paaG//pspE//
DnaA-ATP_pos	amn//hcaD//dmsA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fadI//astD//dgcZ//nirB//rbsK//
DsdC-D-serine_neg	
DsdC-D-serine_pos	glpA//chbF//
EbgR_neg	
EnvR_neg	uxaC//gabT//
EnvY_pos	hemH//argF//
EvgA-Phosphorylated_pos	puuD//glmU//lysC//paaA//gor//nrdB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgpC//napA//hcaF//pheT//purC//mltF//
FabR_neg	puuE//speG//pdeR//
FadR-acyl-CoA_pos	
FadR_neg	recB//araA//pfkA//ygeA//hycD//accD//slt//citC//bioF//
FadR_pos	paaH//fruK//tktB//ssuD//umuD//umuD//kbaY//yeaG//alkA//malY//
FeaR_pos	nemA//fes//
FhlA-formate_pos	arsC//rffT//tdcE//nagA//mpaA//glpK//dgcN//nadA//
FlhDC_neg	dgcC//fucK//
FlhDC_pos	entD//aceA//glcE//nadB//glnA//ubiX//nrdF//rtcA//wecC//caiD//ppiA//uvrC//
FliZ_neg	gor//wecE//yqhD//treC//poxB//
FucR-L-fuculose-1-P_pos	waaY//recD//hyaC//astD//dapB//pepD//
Fur-Fe2_neg	cysH//entF//aceA//ugpQ//ahpF//fabB//cadA//alkB//argC//serA//leuA//glpB//aspC//frc//cdd//gabD//araD//slt//codA//purC//accD//yqjH//deoC//rhaB//ynfG//citF//entD//adiA//dhaK//cadA//umuC//glyA//phnL//ascB//garD//glcD//cysJ//grxA//paaA//leuC//fbaB//glpB//bioD//deoA//mpaA//yqhD//dapD//recD//deoA//arsC//alkA//accD//lpd//
Fur-Fe2_pos	glxK//glgB//ulaE//uvrB//zwf//wzb//fucI//poxB//gcvH//melA//dhaK//dacC//ugpQ//tynA//dkgB//tdcD//
GadE-RcsB_pos	dkgA//pgi//guaB//gpmA//lhgO//
GadE_pos	codA//citE//ynfH//uxaC//deoA//aroH//tynA//fadH//malQ//fabB//
GadW_neg	allB//pheS//yiaK//
GadW_pos	moaD//dmsA//nrfA//napG//
GadX_neg	pck//galK//fadJ//
GadX_pos	hyaB//accA//ssuD//caiA//caiA//kbaY//epd//fucI//rutE//nrdF//waaY//
GalR-beta-D-galactose_neg	allD//ada//sdhB//rutA//citF//
GalR-beta-D-galactose_pos	cynT//srlD//talA//garK//
GalR_neg	chbG//malZ//hmp//gcl//garL//ygeA//
GalR_pos	waaZ//treC//purD//paaH//
GalS-beta-D-galactose_neg	allD//umuC//fadI//lpxC//hypB//
GalS-beta-D-galactose_pos	metF//pdeR//accD//citF//
GalS_neg	galM//paaB//ppsA//rffT//kbaY//nrfA//
GalS_pos	lpd//uxaC//mtlD//rtcA//
GatR_neg	entE//pgi//rffT//
GcvA_neg	fdhF//phnL//cysG//
GcvA_pos	gudD//gadB//malY//
GlcC-glycolate_neg	
GlcC-glycolate_pos	purE//aceF//chbG//
GlpR_neg	araA//hcaE//lysC//araA//ulaG//pyrC//acnA//
GlrR-Pasp56_pos	
GntR_neg	speB//aceE//puuB//fes//tadA//entC//recD//entA//hyaA//
GutM_pos	hcp//nirB//prs//
HU_neg	waaY//accD//cysH//thrS//entD//purN//lyxK//
HU_pos	
HcaR-HCA_pos	moaD//napB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	hycB//
HigB-HigA_neg	phnH//
HipAB_neg	astD//accD//
HipB_neg	sbcC//murD//mngB//
HprR-Phosphorylated_neg	glgB//allB//
HprR-Phosphorylated_pos	polB//atoB//
HyfR_pos	bioA//
HypT-Met-oxidized_neg	ribA//argA//
HypT-Met-oxidized_pos	katG//dkgB//malY//metA//murI//
IclR-pyruvate_neg	narI//ppc//sdhA//
IdnR-5-ketogluconate_neg	pyrD//napG//
IdnR-5-ketogluconate_pos	pgi//hycC//puuB//
IlvY-2-acetolactate_pos	torA//
IlvY_neg	
IscR-2Fe-2S_neg	cadA//nrfA//
IscR_neg	wzc//glcD//leuA//rhaD//
IscR_pos	rutE//glgA//
KdgR_neg	phnI//betA//
KdpE-Phosphorylated_pos	ygeA//
LacI_neg	mnmG//aldA//gcl//
LeuO_neg	
LeuO_pos	dgcN//fadD//ndh//ndh//glgC//fdhF//
LexA_neg	rffT//phnO//yiaK//mhpF//fadD//narI//tynA//metK//metL//iscS//folE//hcaF//idnD//galE//murQ//malZ//ssuE//ftsI//speA//pnp//wzc//ddlB//lacA//
LldR-lactate_neg	cysM//purB//
LldR-lactate_pos	garD//moaA//
LldR_neg	atoA//sgbH//
LldR_pos	speB//feaB//
LrhA_neg	
LrhA_pos	
LsrR_neg	sdhB//rhaA//ppc//metC//pyrD//
LysR_neg	
LysR_pos	fabZ//
MalI_neg	cysG//kbaZ//
MalT-maltotriose-ATP_pos	hycB//hycD//glcF//hyi//codA//guaB//
MarA_neg	fumC//
MarA_pos	narI//malQ//cysI//paaZ//oxc//cyoE//rnpB//glcE//speA//puuB//glpD//pgk//dkgB//phnL//glcE//phnI//mraY//glgB//gadB//rffT//gcvT//astC//thrS//
MarR_neg	
MatA_neg	deoC//
MatA_pos	
MazE-MazF_neg	hyi//
MazE_neg	rnpB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	nanA//gabD//
MelR-melibiose_pos	pyrD//paaB//
MelR_neg	deoC//sdhC//
MelR_pos	paaG//ssuD//
MetJ-adenosylmethionine_neg	rutA//uidA//cysC//xylB//rutB//rtcB//waaH//gabD//aceA//hycE//
MetR-L-homocysteine_neg	phnP//
MetR-L-homocysteine_pos	napH//argD//
MetR_pos	glpC//deoA//
MhpR-3HPP_pos	sucD//srkA//napH//betB//sodA//fadJ//
Mlc_neg	ppiA//trpE//prpB//speA//
MlrA_pos	glpB//
MngR_neg	metH//recD//
MntR-Mn2_neg	phnH//
MntR-Mn2_pos	hycE//
ModE-MoO42-_neg	treC//gdhA//umpH//trpB//allC//zwf//nrfA//napH//
ModE-MoO42-_pos	fabH//waaZ//cueO//cdd//zwf//malS//mhpA//sodA//moaD//
MprA_neg	lpxC//gadA//mngB//
MqsA_neg	argG//mltF//
MraZ_neg	hyaC//ppc//frc//caiA//paaI//codA//eno//guaA//hcp//glpX//
MurR_neg	moeB//sucB//aspC//
MurR_pos	
Nac_neg	sodA//dinB//wrbA//
Nac_pos	sgbU//mltF//recF//aceE//rbsD//sbcD//araB//citE//
NadR_neg	cadA//accC//recF//napB//
NagC_neg	purE//ssuE//mraY//glcB//fabI//phnN//wecB//atoB//argC//lsrF//araD//leuB//mltF//dinB//katE//treC//argA//katE//
NagC_pos	dacC//allD//
NanR_neg	trpC//nrdB//asnA//mazG//rimK//betB//
NanR_pos	
NarL-Phosphorylated_neg	pgk//fadE//fadD//tam//fbaB//ogt//hcp//caiB//argH//fes//pspE//tdcB//pheT//glmS//napH//bglB//lsrF//yqhD//oxc//grxA//waaY//citG//ascB//umpH//idnD//rtcA//gatZ//uxuA//
NarL-Phosphorylated_pos	ogt//fes//cysG//purL//citD//torA//fbaB//ndh//cysJ//purL//fumB//hycC//prpE//hyaA//gcvH//
NarP-Phosphorylated_neg	uvrA//truB//hycC//frdC//guaB//
NarP-Phosphorylated_pos	bioD//paaK//lacA//phr//caiA//moeA//fumB//mhpC//lpxA//aspA//phnH//glpX//pyrD//astD//
NemR_neg	arsC//sgbE//
NhaR-Na_pos	alsE//udp//dhaK//folA//galK//
NikR-Ni2_neg	metH//
NimR_neg	rutA//
NorR_neg	
NorR_pos	garL//
NrdR-Zn2_neg	ttdB//allC//hcp//gltB//
NsrR_neg	ybjG//ybjG//pyrD//hemL//allD//ruvB//relA//idnK//moaE//lpxD//metE//leuC//metH//purB//fau//entF//ribA//hyi//dgcC//mhpB//gadB//pnp//hyi//umuD//moeB//gatY//adhE//glnA//gcvT//gpmA//rhaB//fadM//leuC//ampC//alaS//glpX//caiA//paaA//purB//ulaG//
NtrC-Phosphorylated_neg	fucA//mtlD//
