# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	acnB//moaD//
Ada_neg	metA//trpA//
Ada_pos	umuD//pgaD//pheT//wzb//
AdiY_pos	moaA//udp//metB//accA//
AgaR_neg	astB//
AidB_neg	hycB//
AlaS-L-alanine_neg	mhpA//
AllR-allantoin_neg	rutA//paaI//garK//phnN//entH//sucD//
AllS-allantoin_pos	mdh//nirD//phr//
AlsR_neg	caiC//murG//gadB//
AppY_pos	hycC//kbaY//
AraC-arabinose_neg	eda//serA//rffG//cysG//ynfH//
AraC-arabinose_pos	tdcG//rfe//metB//aroF//fadH//glpC//
AraC_neg	fabI//mhpA//astA//
AraC_pos	napG//araA//uxaC//
ArgP-arginine_neg	
ArgP-arginine_pos	murI//
ArgP_pos	paaG//ruvA//mpaA//phnI//araA//fabB//pepD//hcaB//
ArgR-L-arginine_neg	dgkA//ppc//lysC//bioC//talA//glxK//mhpF//rutB//recD//serA//argA//eno//murC//ynfG//murG//fumC//lpxA//caiC//
ArgR-L-arginine_pos	xylA//lhgO//cysN//folE//yqhD//
ArsR_neg	atoA//glcE//
AscG_neg	wrbA//kbaZ//
AsnC_neg	citE//
AsnC_pos	galM//
AtoC-Phosphorylated_pos	gcvH//sodA//glmS//
BCCP_neg	carA//
BaeR-Phosphorylated_pos	aceB//nadB//
BasR-Phosphorylated_neg	fadJ//
BasR-Phosphorylated_pos	trpC//ung//
BetI_neg	yedX//nfsA//alaC//
BirA-biotinyl-5-adenylate_neg	srkA//glpK//hcaB//paaI//napB//
BluR_neg	
BolA_neg	araD//purL//
BolA_pos	luxS//hcaF//
BtsR-Phosphorylated_pos	talA//
CadC_pos	entD//carA//gatY//
CaiF-L-carnitine_pos	ycjG//ulaE//sdhD//nrdD//dsdA//
Cbl_pos	garR//pgaD//mhpA//nagA//sucD//
CdaR_pos	bacA//deoD//aspC//pyrC//mraY//idnO//dsdA//wecC//atoB//
CecR_neg	deoB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ulaE//metC//tehB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	mpl//phnM//ruvB//
ChbR_neg	metC//dkgA//gadB//
ChbR_pos	caiC//phnO//bioF//
ComR_neg	
CpxR-Phosphorylated_neg	argG//lldD//hcaF//
CpxR-Phosphorylated_pos	gatZ//hycE//wecB//citC//ada//dmsC//argA//ppsA//phnG//phnG//thrS//fadA//asnA//ogt//ppiA//astC//ynfF//ygeA//
Cra_neg	aspA//recF//pncB//pgpC//dmsA//pgm//putA//glyA//thrS//cysK//glyA//hcaD//sgbH//purB//ulaF//nanM//deoA//pncB//purN//leuD//napB//chbF//dkgB//pdeL//dacC//pdeH//dkgB//pgm//bioB//ampC//mpl//gntK//idnK//nrdD//relA//ynfG//pdeL//bioF//nrdD//fucI//tdcE//rffG//ascB//ccp//allA//
Cra_pos	pheT//fadH//ydcS//purN//pgi//rffC//yfdE//ung//dapB//dgcN//pflB//allA//tadA//argG//speB//nrfD//purH//
CreB-Phosphorylated_neg	tyrA//
CreB-Phosphorylated_pos	fucA//
CsgD_neg	paaG//fbaB//
CsgD_pos	purE//allE//pgpC//
CsiR_neg	uvrA//dsdA//patA//cadA//
CspA_pos	napG//
CueR-Cu_neg	hycC//hcaD//glsA//
CueR-Cu_pos	garL//hycC//
CusR-Pasp_pos	purE//sbcD//ahpC//allB//
CynR-cyanate_pos	atoB//sgbE//ttdA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	nfsB//malS//caiC//
CysB-O-acetyl-L-serine_pos	phoA//cueO//allD//accD//tam//lpxC//fadM//ugpQ//gabD//glcE//glnA//grxA//
CysB_neg	
CysB_pos	glgX//pdeL//
CytR_neg	pgk//accD//rpiB//galE//gudD//araB//bioD//bioB//cysM//wrbA//
Dan-L-tartrate_pos	moaE//atoB//
DcuR-Phosphorylated_pos	lhgO//hycD//hyaB//ynfG//
DeoR_neg	allA//murQ//sdhA//cynS//guaB//gcl//
DhaR_neg	
DhaR_pos	paaB//
DicA_neg	
DinJ-YafQ_neg	ynfE//
DnaA-ATP_neg	asnA//tehB//aspC//mhpB//fadI//
DnaA-ATP_pos	nanM//puuA//tktB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	epd//srkA//entC//gcl//mraY//
DsdC-D-serine_neg	
DsdC-D-serine_pos	gudD//gatZ//
EbgR_neg	
EnvR_neg	phnN//srkA//
EnvY_pos	sgbH//fbaA//
EvgA-Phosphorylated_pos	uxaC//asnA//malZ//fadH//betA//metA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	lhgO//sgbU//ruvB//leuC//yqhD//rnpB//
FabR_neg	polB//psd//katE//
FadR-acyl-CoA_pos	
FadR_neg	sucD//phnN//uvrC//nanM//entA//alaS//arsC//sucB//rhaA//
FadR_pos	rtcB//ldtC//ogt//lsrG//argD//srkA//bioF//xylB//trpB//phnO//
FeaR_pos	gutQ//polB//
FhlA-formate_pos	dmsB//ssuD//tdcD//leuD//ribA//talA//dapB//entH//
FlhDC_neg	phnN//ycjG//
FlhDC_pos	citX//ppsA//fabZ//puuE//mngB//uxaC//nanA//argE//ycjG//ruvB//murQ//pgaC//
FliZ_neg	glpD//dhaM//yeaE//entB//adhE//
FucR-L-fuculose-1-P_pos	malZ//dacC//oxc//tyrA//wzc//nfsA//
Fur-Fe2_neg	nrdA//paaI//accA//mhpA//ychF//gdhA//ynfH//pnp//waaZ//tynA//gdhA//fdhF//fbaB//adhE//galK//deoC//leuB//gcl//gabD//nfsB//citD//fumB//yqhD//pdeR//ldtD//uxaC//sdhC//thrS//fruK//ygeA//dgcC//slt//rtcB//hcp//ulaG//fadB//astE//argE//sodA//alaC//argA//ddlB//citX//fadB//ubiC//argC//lhgO//lysC//uxuB//dsdA//entD//nrdF//ftsI//
Fur-Fe2_pos	aroF//paaZ//purA//hycG//bioA//ssuD//luxS//puuC//allC//gatY//guaB//poxB//putA//pgpC//dgkA//astD//
GadE-RcsB_pos	yfdE//glpX//gutQ//gatY//accC//
GadE_pos	fadM//glpQ//metC//gadB//patA//sucA//uxaC//tpiA//ahpF//mhpD//
GadW_neg	gltD//napG//nirB//
GadW_pos	purK//fucO//paaB//trpE//
GadX_neg	purE//hycF//xapA//
GadX_pos	nanE//dmsC//fumC//accA//uxuB//argE//frdB//lpxA//paaK//citG//ugpQ//
GalR-beta-D-galactose_neg	serA//entH//hemH//recF//araD//
GalR-beta-D-galactose_pos	metK//glgC//metA//caiA//
