# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	patA//ubiC//
Ada_neg	hcaC//phnO//
Ada_pos	glpX//galT//chbG//murE//
AdiY_pos	tdcB//ftnA//leuB//mraY//
AgaR_neg	deoC//
AidB_neg	hyaA//
AlaS-L-alanine_neg	astE//
AllR-allantoin_neg	dsdA//hcaD//wzb//pgm//wecC//lpxC//
AllS-allantoin_pos	atoD//cueO//xylB//
AlsR_neg	pgaB//ulaE//murQ//
AppY_pos	nanE//wrbA//
AraC-arabinose_neg	glcE//glnA//ndh//fumC//leuA//
AraC-arabinose_pos	hycD//wecC//mraY//fabZ//torA//bioB//
AraC_neg	polB//sdhD//metH//
AraC_pos	napB//cysC//hypB//
ArgP-arginine_neg	
ArgP-arginine_pos	frdA//
ArgP_pos	adhE//fucO//pheT//yiaK//paaK//uvrA//hyaC//fadI//
ArgR-L-arginine_neg	sdhD//ahpC//alkA//purL//hyaB//cynS//napH//gcvH//atoD//sgbU//chbF//rutD//ubiX//sbcD//metK//putA//gor//pyrD//
ArgR-L-arginine_pos	dhaM//malS//purF//metF//nirB//
ArsR_neg	ttdB//gor//
AscG_neg	grxA//hyaA//
AsnC_neg	wecC//
AsnC_pos	pgaD//
AtoC-Phosphorylated_pos	cysG//rtcA//yeaG//
BCCP_neg	bioD//
BaeR-Phosphorylated_pos	ychF//purK//
BasR-Phosphorylated_neg	cyoE//
BasR-Phosphorylated_pos	malS//purA//
BetI_neg	murI//cysE//alsE//
BirA-biotinyl-5-adenylate_neg	purH//lpd//purE//galM//ndh//
BluR_neg	
BolA_neg	entA//tpiA//
BolA_pos	mhpE//deoB//
BtsR-Phosphorylated_pos	aroF//
CadC_pos	alsE//thrS//gdhA//
CaiF-L-carnitine_pos	bglB//prs//ulaD//wzb//wecE//
Cbl_pos	rhaB//gor//paaI//wzb//uidA//
CdaR_pos	uxaB//sucB//lldD//metK//moaE//ldtC//ttdB//astB//paaI//
CecR_neg	trpB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	fucI//gnd//galK//
ChbR-N-monoacetylchitobiose6-phosphate_pos	ogt//dmsC//uxaC//
ChbR_neg	aroL//ubiC//glgP//
ChbR_pos	rffC//truB//hycE//
ComR_neg	
CpxR-Phosphorylated_neg	recB//pgaD//frdA//
CpxR-Phosphorylated_pos	aroG//tdcG//eno//fruK//narH//fucK//tyrB//rutD//cadA//asnB//accC//lpxA//prpD//cysJ//lsrG//sufS//asnA//alaC//
Cra_neg	lysC//lysC//aroF//idnO//mhpB//frc//nadA//zwf//argD//argC//murF//pgpC//puuE//tadA//adhE//entD//adhE//mhpB//caiC//hcaE//gadB//accD//puuE//argI//moaD//mltF//glyA//pgaC//cynS//citC//phnL//glcE//cynT//prpE//nanM//yqhD//idnO//ogt//epd//epd//argI//hycD//luxS//phnI//tdcB//
Cra_pos	thrS//leuD//psd//phnG//luxS//lysA//folE//tdcE//nrdF//nrfD//glk//ygeA//rhaB//mraY//pdeL//pdeL//caiD//
CreB-Phosphorylated_neg	nanE//
CreB-Phosphorylated_pos	oxc//
CsgD_neg	pdeH//hcp//
CsgD_pos	alsE//citX//sbcD//
CsiR_neg	aceA//carB//glnA//ychF//
CspA_pos	trpE//
CueR-Cu_neg	sbcC//aspC//astE//
CueR-Cu_pos	icd//pykF//
CusR-Pasp_pos	fabI//torA//chbG//paaY//
CynR-cyanate_pos	relA//napG//hcaD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	hcaB//sucB//nrfD//
CysB-O-acetyl-L-serine_pos	acnA//hycC//gatZ//alkA//cysM//fucI//chbF//hycD//tdcD//galM//aspA//glsA//
CysB_neg	
CysB_pos	phnH//dkgA//
