# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ahpC//cysH//
Ada_neg	phoA//dapD//
Ada_pos	rutC//citD//ung//tadA//
AdiY_pos	pdeR//ribA//astB//alaC//
AgaR_neg	ndh//
AidB_neg	mhpA//
AlaS-L-alanine_neg	glgP//
AllR-allantoin_neg	tyrA//phnL//codA//hycD//puuC//uxuA//
AllS-allantoin_pos	frdD//lyxK//allE//
AlsR_neg	gabT//rimK//bioA//
AppY_pos	cysK//sucA//
AraC-arabinose_neg	ubiC//yfdE//fdhF//lsrF//ilvC//
AraC-arabinose_pos	pdeL//gcvH//moaA//ldtB//purB//chbG//
AraC_neg	glpC//yedX//gcl//
AraC_pos	idnK//moaC//nrdF//
ArgP-arginine_neg	
ArgP-arginine_pos	cdd//
ArgP_pos	phnI//patA//metK//prpD//lacZ//yeaG//purF//torA//
ArgR-L-arginine_neg	moaE//gor//ftsI//malQ//garD//umuC//gpmM//rfe//metL//hypB//ydcS//ubiC//caiA//leuC//glpC//ycjG//ynfF//araA//
ArgR-L-arginine_pos	glgA//fumC//malP//feaB//allE//
ArsR_neg	pdeL//rtcB//
AscG_neg	sbcC//argA//
AsnC_neg	fucU//
AsnC_pos	accD//
AtoC-Phosphorylated_pos	phnN//galE//sgbU//
BCCP_neg	araB//
BaeR-Phosphorylated_pos	nanE//ttdA//
BasR-Phosphorylated_neg	udp//
BasR-Phosphorylated_pos	asnB//purH//
BetI_neg	wzb//astA//ydcS//
BirA-biotinyl-5-adenylate_neg	tauD//prpD//iscS//accA//lsrG//
BluR_neg	
BolA_neg	rhaD//guaA//
BolA_pos	narG//astC//
BtsR-Phosphorylated_pos	gor//
CadC_pos	pncB//bacA//ydcS//
CaiF-L-carnitine_pos	galT//lsrF//rffM//ddlB//ccp//
Cbl_pos	betB//entH//tnaA//accA//glpB//
CdaR_pos	fabD//waaH//glyA//frdB//argI//moaA//ahpC//rffC//moeB//
CecR_neg	mhpC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	relA//cysM//eno//
ChbR-N-monoacetylchitobiose6-phosphate_pos	galM//metL//wecC//
ChbR_neg	deoA//pykF//fumC//
ChbR_pos	nrfD//gabT//pgaC//
ComR_neg	
CpxR-Phosphorylated_neg	lpxA//glgC//cysJ//
CpxR-Phosphorylated_pos	dkgA//idnD//aroL//nrfC//dacC//glpK//rnpB//araD//ulaD//cyoE//ddlB//trpC//tpiA//wzc//srlD//dacC//rffH//pepD//
Cra_neg	garL//argA//serA//bioD//poxB//sucA//leuB//galE//phnN//dhaL//napH//pdeH//sgbE//recD//aldA//uxaB//hemH//hypF//ulaD//cysK//allE//citX//asnA//malP//lysA//deoA//aroH//mhpD//fabH//metC//sdhC//trpA//citX//hycG//feaB//astA//ynfH//fabH//moaC//aroF//fadD//mraY//hycD//ttdA//malZ//
Cra_pos	glpK//hyaA//paaC//argI//fabD//lacZ//allC//pfkA//phnJ//lysA//ulaF//srkA//fadH//nemA//carB//tadA//tdcD//
CreB-Phosphorylated_neg	caiD//
CreB-Phosphorylated_pos	tyrA//
CsgD_neg	araD//malP//
CsgD_pos	fadI//fadD//murE//
CsiR_neg	ubiA//astA//recD//cysM//
CspA_pos	ulaG//
CueR-Cu_neg	aroG//cysJ//paaY//
CueR-Cu_pos	pgaB//wecC//
CusR-Pasp_pos	nrdE//tnaA//trpB//phnJ//
CynR-cyanate_pos	aceA//rpiB//bioB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	sodA//argE//poxB//
CysB-O-acetyl-L-serine_pos	glpK//lpxA//trpE//aspC//dapB//ilvC//pgm//fes//garL//gcvP//ulaE//prs//
CysB_neg	
CysB_pos	cadA//purB//
CytR_neg	speA//waaY//glk//carB//gudD//phnJ//cysG//luxS//mraY//fabH//
Dan-L-tartrate_pos	aroG//cynS//
DcuR-Phosphorylated_pos	fadA//garK//torA//dgcC//
DeoR_neg	ahpF//mnmG//tpiA//hycE//uxaB//pyrC//
DhaR_neg	
DhaR_pos	paaK//
DicA_neg	
DinJ-YafQ_neg	araA//
DnaA-ATP_neg	citX//glyA//uvrB//torA//relA//
DnaA-ATP_pos	metH//argI//fadJ//
DpiA-Pasp_neg	
DpiA-Pasp_pos	rtcB//relA//gor//paaK//lpxA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	malZ//sodB//
EbgR_neg	
EnvR_neg	ahpC//araA//
EnvY_pos	glxK//psd//
EvgA-Phosphorylated_pos	glpD//hcp//nrdF//nrdF//rutB//purH//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	luxS//ascB//nrfD//phnN//dkgB//treC//
FabR_neg	udp//hemL//entD//
FadR-acyl-CoA_pos	
FadR_neg	citX//paaC//prpB//glcF//nfsB//dgcZ//bglB//rfe//fucO//
FadR_pos	caiB//gntK//mhpF//tktB//hycF//dacC//dmsC//lsrG//ldtB//epd//
FeaR_pos	pspE//mazG//
FhlA-formate_pos	lpxD//sodB//malP//ugpQ//pck//lpxA//folE//citG//
FlhDC_neg	aldA//aceF//
FlhDC_pos	pnp//melA//ydcS//kbaZ//mtlD//hcaB//tdcG//phnO//purC//puuA//pck//metH//
FliZ_neg	hcaB//accD//prpC//pgi//deoC//
FucR-L-fuculose-1-P_pos	nanK//umuD//pncB//gcvH//puuE//tdcG//
