# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	moaE//nrfA//
Ada_neg	mdh//allA//
Ada_pos	metC//lyxK//carA//lpxC//
AdiY_pos	cysG//pdeH//fucK//wecC//
AgaR_neg	guaB//
AidB_neg	tam//
AlaS-L-alanine_neg	nrdD//
AllR-allantoin_neg	puuC//napA//paaI//malQ//pdeL//accA//
AllS-allantoin_pos	lyxK//dsdA//mltF//
AlsR_neg	pncB//dapD//hypF//
AppY_pos	deoB//ydcS//
AraC-arabinose_neg	sdhC//garL//hypF//ogt//hcp//
AraC-arabinose_pos	glgB//cysE//uidA//ygeA//cysJ//serA//
AraC_neg	ulaE//pdeH//aceB//
AraC_pos	galE//fbaA//napB//
ArgP-arginine_neg	
ArgP-arginine_pos	puuE//
ArgP_pos	pgi//glcD//pykF//speB//wzc//nrdA//sucB//allA//
ArgR-L-arginine_neg	feaB//murF//uxaA//ynfG//fruK//lpxA//aroL//gdhA//nrdB//trpD//phnP//citF//dhaL//mhpA//prs//puuB//citX//narH//
ArgR-L-arginine_pos	aceF//wecE//malP//ssuE//pncB//
ArsR_neg	rhaB//napB//
AscG_neg	lsrK//ndh//
AsnC_neg	galT//
AsnC_pos	torA//
AtoC-Phosphorylated_pos	waaH//dinB//truB//
BCCP_neg	tauD//
BaeR-Phosphorylated_pos	allC//pncB//
BasR-Phosphorylated_neg	fbaB//
BasR-Phosphorylated_pos	dkgB//ubiC//
BetI_neg	glpQ//caiD//purF//
BirA-biotinyl-5-adenylate_neg	dhaM//ssuD//napB//cysE//nrdD//
BluR_neg	
BolA_neg	fadE//uxaB//
BolA_pos	malP//phr//
BtsR-Phosphorylated_pos	entE//
CadC_pos	ssuD//mltF//gcvP//
CaiF-L-carnitine_pos	hcaF//gnd//galT//argF//rffC//
Cbl_pos	hycB//allE//eno//malZ//ruvA//
CdaR_pos	ychF//astB//nrdA//lacZ//paaG//fabZ//malY//puuD//fucO//
CecR_neg	bioC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	rbsD//mhpD//fabG//
ChbR-N-monoacetylchitobiose6-phosphate_pos	iscS//nagB//fdhF//
ChbR_neg	sufS//lacZ//lsrK//
ChbR_pos	dgcZ//hycE//fabI//
ComR_neg	
CpxR-Phosphorylated_neg	rutB//srkA//caiB//
CpxR-Phosphorylated_pos	glcB//acnA//sdhD//cysM//gpmM//phoA//argA//lpxA//uxaA//pgi//sdhC//dgcZ//torC//rtcB//uxuB//ddlB//dkgA//pdeH//
Cra_neg	dmsA//citE//wecB//metK//hcp//fadI//amn//ulaE//zwf//srkA//puuE//ydcS//rtcA//dhaK//bacA//citC//rtcB//phr//tyrB//rutB//aroH//sufS//lpxA//paaF//ftnA//ldtB//ddlB//paaF//ubiC//bioB//pgpC//fbaB//ubiA//argE//deoD//uxaB//alaC//gatD//cadA//ppc//nemA//moaC//tdcE//ubiX//epd//
Cra_pos	metF//nfsB//narH//ascB//hcaE//glxK//entF//aceE//dmsA//hycF//entD//moaE//alaC//torC//entF//xylB//tam//
CreB-Phosphorylated_neg	idnD//
CreB-Phosphorylated_pos	tam//
CsgD_neg	trpC//tdcG//
CsgD_pos	ychF//sgbH//malY//
CsiR_neg	pspE//zwf//aroG//umuD//
CspA_pos	eda//
CueR-Cu_neg	metH//slt//allC//
CueR-Cu_pos	napA//phnJ//
CusR-Pasp_pos	ahpF//ascB//hcaF//iscS//
CynR-cyanate_pos	allB//glpB//hmp//
CynR_neg	
CysB-O-acetyl-L-serine_neg	purB//entC//purK//
CysB-O-acetyl-L-serine_pos	rhaB//ttdA//lyxK//paaZ//serA//talA//ydcS//hcaC//gcvP//wzc//deoD//fucA//
CysB_neg	
CysB_pos	serA//fadA//
CytR_neg	dmsA//gatZ//gor//wzc//aroG//ydcS//purN//nrdA//grxA//nrdD//
Dan-L-tartrate_pos	thrS//citE//
DcuR-Phosphorylated_pos	purH//dgkA//puuB//ppc//
DeoR_neg	aroF//mtlD//uvrB//fbaA//rtcB//chbG//
DhaR_neg	
DhaR_pos	ugpQ//
DicA_neg	
DinJ-YafQ_neg	moaE//
DnaA-ATP_neg	idnO//metB//ugpQ//glpQ//aceF//
DnaA-ATP_pos	entC//phnM//patD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	kbaY//luxS//dmsB//ycjG//yfdE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	udp//narH//
EbgR_neg	
EnvR_neg	katG//ftnA//
EnvY_pos	entE//sbcD//
EvgA-Phosphorylated_pos	accD//dgcZ//waaZ//waaH//idnK//rtcA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	dgcC//gapA//rimK//torC//ulaG//hycD//
FabR_neg	glxR//dmsA//eda//
FadR-acyl-CoA_pos	
FadR_neg	alsE//glnA//trpB//speG//glpK//ampC//mhpC//relA//cyoE//
FadR_pos	cysJ//prpE//gatZ//glsA//bioA//trpE//mazG//fucA//rffM//pheS//
FeaR_pos	metL//srkA//
FhlA-formate_pos	nemA//srlD//nrfD//ycjG//nrfC//murD//nirD//cysG//
FlhDC_neg	aldA//gudD//
FlhDC_pos	ahpC//rfe//astE//citE//sdhA//pgaD//hyaC//glpX//rhaD//fumC//phnO//aceE//
FliZ_neg	pgpC//sdhB//lpxA//nrdF//argB//
