# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	pspE//entH//
Ada_neg	aroG//sgbH//
Ada_pos	ppsA//ynfE//frdA//ydcS//
AdiY_pos	aceF//mhpD//glk//malP//
AgaR_neg	trpE//
AidB_neg	bioD//
AlaS-L-alanine_neg	alkA//
AllR-allantoin_neg	ychF//fabB//cyoE//mhpF//sbcC//entC//
AllS-allantoin_pos	bioC//gutQ//argI//
AlsR_neg	dsdA//udp//lpxD//
AppY_pos	accA//fadD//
AraC-arabinose_neg	paaJ//frc//malQ//ttdA//glgC//
AraC-arabinose_pos	accA//argF//nagB//frdA//chbG//fumC//
AraC_neg	hyaC//hcaB//nanK//
AraC_pos	paaA//murQ//argB//
ArgP-arginine_neg	
ArgP-arginine_pos	citX//
ArgP_pos	cysD//napH//gpmM//cysE//fruK//purH//pgaD//hyaC//
ArgR-L-arginine_neg	purF//mdh//garL//fucI//treC//astA//pgaD//garD//ccp//purM//narI//puuD//uxaC//allE//ttdB//ttdA//argA//puuC//
ArgR-L-arginine_pos	tyrB//ftnA//hyaC//xylB//phr//
ArsR_neg	wzb//wecB//
AscG_neg	dsdA//fadA//
AsnC_neg	grxA//
AsnC_pos	sucB//
AtoC-Phosphorylated_pos	deoC//speG//aroL//
BCCP_neg	ybjG//
BaeR-Phosphorylated_pos	mhpB//hyaA//
BasR-Phosphorylated_neg	pdeL//
BasR-Phosphorylated_pos	phnG//murC//
BetI_neg	gltB//metF//tnaA//
BirA-biotinyl-5-adenylate_neg	tktB//sodB//gabD//metK//betA//
BluR_neg	
BolA_neg	asnB//ssuD//
BolA_pos	aldA//tam//
BtsR-Phosphorylated_pos	gltD//
CadC_pos	hycB//murC//deoB//
CaiF-L-carnitine_pos	murC//dgcN//appA//citG//dhaK//
Cbl_pos	mpaA//truB//pheS//fau//sodB//
CdaR_pos	glgX//argC//fadI//pyrC//nfsA//garL//murG//frc//murI//
CecR_neg	rutC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ndh//frc//glpA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	katE//phoA//ssuE//
ChbR_neg	argE//dhaK//mnmG//
ChbR_pos	dinB//rnpB//hypF//
ComR_neg	
CpxR-Phosphorylated_neg	gadB//fucO//galE//
CpxR-Phosphorylated_pos	dkgB//pncB//hemH//argA//purM//ubiX//alaC//phoA//ugpQ//hcaC//pdeH//galE//entD//hmp//glcE//aroG//pck//hyaC//
Cra_neg	nfsA//hycB//wecB//pdeL//entD//gor//rutB//fruK//rimK//truB//pdeR//dgcZ//gntK//recF//fabA//fumC//astE//rffH//napG//glpB//paaF//nrdB//lhgO//mhpE//argG//fadI//fadJ//fabH//codA//bioA//paaE//recB//phnN//aldA//hycC//gcvH//eda//pgaD//fbaB//mngB//gapA//frdD//rffT//sdhC//tnaA//
Cra_pos	carB//aspA//hcaB//murD//aldA//pspE//citX//dmsA//paaJ//prpE//phnG//ascB//uvrB//prpC//mhpE//fadB//ybjG//
CreB-Phosphorylated_neg	gpmA//
CreB-Phosphorylated_pos	deoC//
CsgD_neg	cysH//ilvC//
CsgD_pos	fbaA//araD//prs//
CsiR_neg	garK//gutQ//srkA//ubiA//
CspA_pos	prpE//
CueR-Cu_neg	pflB//ldtD//citC//
CueR-Cu_pos	zwf//tpiA//
CusR-Pasp_pos	mngB//fadI//allD//ldtD//
CynR-cyanate_pos	rutD//ribA//cysJ//
CynR_neg	
CysB-O-acetyl-L-serine_neg	nfsB//uvrC//phnO//
CysB-O-acetyl-L-serine_pos	purF//fruK//umpH//tdcG//fucA//fucO//entF//lpd//recD//fdhF//nagA//rhaA//
CysB_neg	
CysB_pos	epd//gltB//
CytR_neg	hyi//phnG//dsdA//dapD//lsrK//phnL//nfsB//pspE//purH//lpxC//
Dan-L-tartrate_pos	cysG//pgpC//
DcuR-Phosphorylated_pos	hycC//glpA//appA//tdcE//
DeoR_neg	allC//ftnA//lacA//rutB//sdhD//caiA//
DhaR_neg	
DhaR_pos	glmU//
DicA_neg	
DinJ-YafQ_neg	nanM//
DnaA-ATP_neg	sucC//fabZ//idnO//tynA//dgkA//
DnaA-ATP_pos	fbaA//talA//fumB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sodA//aspA//uvrC//asnA//lysC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	alsE//trpB//
EbgR_neg	
EnvR_neg	fdhF//sdhB//
EnvY_pos	glsA//ubiA//
EvgA-Phosphorylated_pos	nfsB//fadE//ttdB//phnI//fabZ//purE//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	cdd//rtcB//paaC//kbaY//slt//cadA//
FabR_neg	tynA//folA//ynfH//
FadR-acyl-CoA_pos	
FadR_neg	patA//hcaC//wecB//dinB//garD//dkgB//cysM//ccp//sucB//
FadR_pos	ruvA//argE//hemL//dmsB//aceF//fumB//dmsA//glmS//tauD//recB//
FeaR_pos	treC//trpC//
