# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	cyoE//rutA//
Ada_neg	betA//lhgO//
Ada_pos	glnA//tehB//uxaB//ascB//
AdiY_pos	uvrB//trpE//allB//torA//
AgaR_neg	fumC//
AidB_neg	garD//
AlaS-L-alanine_neg	fes//
AllR-allantoin_neg	fabB//mngB//galE//nfsB//idnO//entD//
AllS-allantoin_pos	ampC//relA//nagA//
AlsR_neg	gnd//sodB//phr//
AppY_pos	dkgA//lsrG//
AraC-arabinose_neg	fucA//aldA//zwf//gcl//fadD//
AraC-arabinose_pos	frc//atoD//ribA//narI//hcaB//dsdA//
AraC_neg	ddlB//cysI//mngB//
AraC_pos	glcE//pflB//lsrF//
ArgP-arginine_neg	
ArgP-arginine_pos	ynfG//
ArgP_pos	codA//umuC//bioD//dgkA//glmS//fbaB//rtcA//melA//
ArgR-L-arginine_neg	gadB//phnN//polA//ppiA//napB//galE//hypF//hmp//aceA//metE//accA//rutA//ulaE//pykF//dinB//paaY//glpX//eda//
ArgR-L-arginine_pos	tauD//kbaY//sgbH//garD//mnmG//
ArsR_neg	yqjH//udp//
AscG_neg	xapA//tnaA//
AsnC_neg	glcD//
AsnC_pos	poxB//
AtoC-Phosphorylated_pos	sdhD//uxaA//puuA//
BCCP_neg	paaB//
BaeR-Phosphorylated_pos	citX//phnN//
BasR-Phosphorylated_neg	pflB//
BasR-Phosphorylated_pos	glxR//ydcS//
BetI_neg	umuC//gabT//purD//
BirA-biotinyl-5-adenylate_neg	gloA//rutA//caiD//galM//galT//
BluR_neg	
BolA_neg	phnP//dgcZ//
BolA_pos	astD//dgcN//
BtsR-Phosphorylated_pos	nirD//
CadC_pos	glgX//galM//paaI//
CaiF-L-carnitine_pos	nrfA//entB//ruvB//torA//nadB//
Cbl_pos	psd//citE//moaC//fadB//recD//
CdaR_pos	nanK//cueO//entA//ydcS//codA//sdhC//ascB//dinB//narI//
CecR_neg	acnB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	prpD//ascB//hyi//
ChbR-N-monoacetylchitobiose6-phosphate_pos	gadA//glmS//pdeH//
ChbR_neg	moaA//napA//rfe//
ChbR_pos	hcaC//puuA//napA//
ComR_neg	
CpxR-Phosphorylated_neg	hyaC//paaF//ssuE//
CpxR-Phosphorylated_pos	asnB//argE//ribA//glpK//citE//mtlD//umuC//luxS//citF//nfsA//fruK//hcaD//sbcD//sdhA//glcD//guaB//murQ//udp//
Cra_neg	guaB//uxuA//mdh//allD//leuD//phnG//ydcS//ubiC//gutQ//murD//yqjH//murI//ulaE//gabD//purD//phnL//recB//idnK//wecC//allE//argB//glcD//eda//dapD//dkgB//paaF//moaA//cysK//metH//metH//tnaA//grxA//dgcC//pnp//amn//rhaD//nirD//glcE//wecC//dhaM//trpB//hcaC//gdhA//phoA//rtcB//
Cra_pos	entF//nadB//fabD//fbaB//gloA//icd//pyrC//xylB//eno//ttdA//pgaC//malY//metF//phoA//yqhD//adhE//phnG//
CreB-Phosphorylated_neg	allC//
CreB-Phosphorylated_pos	hcaF//
CsgD_neg	phnI//ruvA//
CsgD_pos	lacZ//phnM//poxB//
CsiR_neg	uidA//fumB//codA//speA//
CspA_pos	paaJ//
CueR-Cu_neg	patD//oxc//carB//
CueR-Cu_pos	rutC//appA//
CusR-Pasp_pos	cysI//fes//pdeL//dkgB//
CynR-cyanate_pos	fucO//entB//cynT//
CynR_neg	
CysB-O-acetyl-L-serine_neg	hcaB//garL//lsrG//
CysB-O-acetyl-L-serine_pos	caiD//garD//luxS//fes//rffM//rffM//araD//pheS//luxS//hycE//rimK//allC//
CysB_neg	
CysB_pos	mhpD//purL//
CytR_neg	cyoE//malZ//ldtD//guaB//nagA//tam//hycB//cysH//entB//dacC//
Dan-L-tartrate_pos	alkB//yeaE//
DcuR-Phosphorylated_pos	ldtC//ldtB//fadJ//umuD//
DeoR_neg	yeaE//nrdB//sbcD//cynS//accA//ubiA//
DhaR_neg	
DhaR_pos	nrdF//
DicA_neg	
DinJ-YafQ_neg	gcvP//
DnaA-ATP_neg	uvrA//argE//garK//ynfE//waaH//
DnaA-ATP_pos	xylB//citC//mdh//
DpiA-Pasp_neg	
DpiA-Pasp_pos	narG//argG//paaE//purN//fadM//
DsdC-D-serine_neg	
DsdC-D-serine_pos	purN//asnA//
EbgR_neg	
EnvR_neg	betA//fucA//
EnvY_pos	mtlD//amn//
EvgA-Phosphorylated_pos	metA//aroH//ldtB//katE//luxS//codA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	ada//uvrA//rbsD//pspE//amn//oxc//
FabR_neg	atoB//katG//gor//
FadR-acyl-CoA_pos	
FadR_neg	psd//tdcD//murG//dinB//moeB//dgcZ//prs//gdhA//paaG//
FadR_pos	ldtD//lpxA//lsrG//eno//ascB//truB//phnM//pdeH//glgX//lldD//
FeaR_pos	deoC//dsdA//
FhlA-formate_pos	srlD//treC//pgi//alaS//ynfF//dhaL//glnA//pfkA//
FlhDC_neg	purK//allD//
FlhDC_pos	napB//glpA//rimK//prpE//puuB//ccp//edd//ynfF//uxuA//nrfA//glcE//pdeL//
FliZ_neg	rhaD//lysC//phnG//slt//phoA//
FucR-L-fuculose-1-P_pos	pdeH//argG//lacZ//ynfF//uidA//astB//
Fur-Fe2_neg	argG//nadA//tauD//fabI//pheT//caiB//wecC//tpiA//dkgB//glcE//ydcS//narI//rffT//pgaB//hcaD//fumC//arsC//lhgO//fadD//gcvP//entE//fabI//tyrA//hycF//xylB//cysG//dmsC//tnaA//pdeH//eda//nrdF//astD//acnB//hcaE//puuE//gcvT//yiaK//speG//ubiA//ppc//aspA//phnM//ilvC//garL//pck//argG//nanK//sdhC//paaG//nanM//nirB//nrfA//astD//
Fur-Fe2_pos	pyrD//ycjG//fabB//bacA//metB//hcaE//tdcE//ada//ssuE//gpmA//wzc//hcaC//wzc//atoD//glmS//cysC//
GadE-RcsB_pos	deoC//garD//ldtD//prpB//gapA//
GadE_pos	cysH//atoA//fbaB//argA//fadB//pagP//sufS//caiC//mraY//nanK//
GadW_neg	murC//gudD//uxuA//
GadW_pos	paaG//cyoE//bioC//glnA//
GadX_neg	paaC//ynfE//glcF//
GadX_pos	ilvC//paaY//bioB//rtcA//gutQ//phr//atoB//idnD//uxaA//malY//ftsI//
GalR-beta-D-galactose_neg	metL//asnA//glpX//tehB//xylB//
GalR-beta-D-galactose_pos	argG//ruvB//lysC//kbaY//
GalR_neg	hcaC//mpl//astB//uvrC//yqjH//allE//
GalR_pos	umuC//rsmH//narI//lldD//
GalS-beta-D-galactose_neg	ribA//leuB//hcp//argD//argG//
GalS-beta-D-galactose_pos	moaA//phnN//alaC//cysI//
GalS_neg	frdB//ldtD//xylA//paaH//citD//atoB//
GalS_pos	gatY//phnG//pepD//entC//
GatR_neg	patD//cadA//sufS//
GcvA_neg	nrfA//rutA//mnmG//
GcvA_pos	cysN//betA//phnL//
GlcC-glycolate_neg	
GlcC-glycolate_pos	gcvT//astE//phnL//
GlpR_neg	malY//rhaA//ldtB//nrdA//purA//sufS//murD//
GlrR-Pasp56_pos	
GntR_neg	rutD//pfkA//glpX//lysC//glgX//relA//purF//entC//murG//
GutM_pos	ulaE//ulaG//gcvT//
HU_neg	murE//trpC//chbF//argI//lysC//edd//cysI//
HU_pos	
HcaR-HCA_pos	ttdA//fbaB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	nrfD//
HigB-HigA_neg	hycD//
HipAB_neg	betA//dgcC//
