# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	glgA//ampC//
Ada_neg	nanK//fucU//
Ada_pos	ahpC//melA//serA//uxaC//
AdiY_pos	lpxD//garD//lyxK//hemH//
AgaR_neg	lacZ//
AidB_neg	paaY//
AlaS-L-alanine_neg	talA//
AllR-allantoin_neg	acnA//glcF//fucK//lsrK//rtcA//entH//
AllS-allantoin_pos	dgcC//fadE//nanK//
AlsR_neg	melA//citG//fucI//
AppY_pos	betB//alaS//
AraC-arabinose_neg	argG//lysA//sodB//ygeA//astE//
AraC-arabinose_pos	pgi//arsC//narG//lysC//argE//hycD//
AraC_neg	oxc//atoA//tdcB//
AraC_pos	garR//puuE//mnmG//
ArgP-arginine_neg	
ArgP-arginine_pos	cysM//
ArgP_pos	xapA//sodB//yfdE//entC//glpQ//metB//dapD//pdeL//
ArgR-L-arginine_neg	hcp//ybjG//galM//mazG//fucA//purM//aceE//araA//ttdA//entB//alkB//ppsA//thrS//sucA//argF//astD//glgA//sdhD//
ArgR-L-arginine_pos	pck//sucC//ung//phnM//citC//
ArsR_neg	wzb//mdh//
AscG_neg	xylB//hcaF//
AsnC_neg	umuD//
AsnC_pos	glcE//
AtoC-Phosphorylated_pos	entC//prs//sufS//
BCCP_neg	glpC//
BaeR-Phosphorylated_pos	cysK//metH//
BasR-Phosphorylated_neg	gdhA//
BasR-Phosphorylated_pos	gadB//rhaB//
BetI_neg	allD//allA//paaH//
BirA-biotinyl-5-adenylate_neg	puuB//garL//garL//aceA//paaA//
BluR_neg	
BolA_neg	cysM//mtlD//
BolA_pos	cysI//sgbU//
BtsR-Phosphorylated_pos	gcvT//
CadC_pos	phnP//ilvC//glpC//
CaiF-L-carnitine_pos	nrfA//deoC//mhpE//yqhD//metC//
Cbl_pos	rffT//phnO//pagP//ahpC//murQ//
CdaR_pos	paaY//uidA//ulaD//araA//ftsI//poxB//mpl//lyxK//phnM//
CecR_neg	gntK//
ChbR-N-monoacetylchitobiose6-phosphate_neg	puuE//mraY//tnaA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	galE//mraY//moaE//
ChbR_neg	alkB//paaE//pyrC//
ChbR_pos	tynA//mraY//nrdD//
ComR_neg	
CpxR-Phosphorylated_neg	uxaA//rutE//tadA//
CpxR-Phosphorylated_pos	glgX//glcF//asnB//paaY//mraY//sucD//cysJ//mhpE//nfsB//pyrD//uvrB//ugpQ//hycG//purL//deoD//fabI//fau//tdcG//
Cra_neg	betB//hycG//cysE//wecB//deoD//yeaE//glpX//folA//gadA//nrdD//ndh//moaE//nemA//udp//nrdA//murC//malZ//mpaA//fabD//pdeR//leuC//hypF//ubiC//ampC//glpK//mtlD//gnd//dsdA//arsC//dgcN//fadJ//fabD//garL//tdcD//ygeA//hcaE//ttdA//mhpD//moaA//leuB//cysN//metK//speB//paaG//ynfH//
Cra_pos	gltD//gloA//ulaF//malP//argE//betB//gcvT//entA//frdC//ubiX//wecB//citF//glgA//recD//hycF//accC//araD//
CreB-Phosphorylated_neg	ndh//
CreB-Phosphorylated_pos	caiB//
CsgD_neg	uxaC//gdhA//
CsgD_pos	treC//acnB//hemL//
CsiR_neg	cysK//purM//purK//uxuA//
CspA_pos	galE//
CueR-Cu_neg	ascB//aroG//rffT//
CueR-Cu_pos	rsmH//aroG//
