# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	leuD//glgP//
Ada_neg	nagB//glgX//
Ada_pos	umuC//katE//puuB//glk//
AdiY_pos	mhpB//gcl//fadH//rtcA//
AgaR_neg	pflB//
AidB_neg	speB//
AlaS-L-alanine_neg	tyrB//
AllR-allantoin_neg	udp//mtlD//lysC//mhpF//leuD//rutE//
AllS-allantoin_pos	fumC//phr//relA//
AlsR_neg	paaB//atoD//lpxC//
AppY_pos	glcE//glpB//
AraC-arabinose_neg	cysE//slt//malY//moeA//malZ//
AraC-arabinose_pos	ccp//prpB//argB//frdC//poxB//hcaE//
AraC_neg	wrbA//wzc//argB//
AraC_pos	fucU//phnG//recB//
ArgP-arginine_neg	
ArgP-arginine_pos	yqjH//
ArgP_pos	lysC//galK//torC//tnaA//rutC//ada//betA//nirD//
ArgR-L-arginine_neg	amn//entF//fruK//pgaB//dgcN//nrdD//hyaC//uvrB//aceE//puuB//allA//ftsI//xylA//alsE//allC//wecC//pgpC//ung//
ArgR-L-arginine_pos	glmS//hycD//udp//galM//metK//
ArsR_neg	malZ//cadA//
AscG_neg	lpxA//alsE//
AsnC_neg	aroG//
AsnC_pos	pnp//
AtoC-Phosphorylated_pos	waaZ//glgB//napA//
BCCP_neg	mraY//
BaeR-Phosphorylated_pos	bioC//sucA//
BasR-Phosphorylated_neg	tktB//
BasR-Phosphorylated_pos	uvrA//polA//
BetI_neg	paaG//entF//pykF//
BirA-biotinyl-5-adenylate_neg	ldtD//hyaB//hemL//rffH//nrdA//
BluR_neg	
BolA_neg	rbsK//pepD//
BolA_pos	leuC//fadD//
BtsR-Phosphorylated_pos	yqjH//
CadC_pos	yfdE//tnaA//relA//
CaiF-L-carnitine_pos	pflB//fumB//mazG//mnmG//fucA//
Cbl_pos	gor//tehB//glgP//paaB//citF//
CdaR_pos	cynT//pgpC//kbaZ//rimK//tdcG//polB//aldA//rutE//glpX//
CecR_neg	galT//
ChbR-N-monoacetylchitobiose6-phosphate_neg	waaZ//glpQ//hyaC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	astB//guaA//metH//
ChbR_neg	galK//glpK//entH//
ChbR_pos	araA//gpmA//ndh//
ComR_neg	
CpxR-Phosphorylated_neg	pflB//rbsD//fucK//
CpxR-Phosphorylated_pos	puuA//phnG//cysJ//udp//astE//lacZ//aceF//dmsC//xylB//glpK//zwf//paaZ//entH//entA//dgcZ//argG//fucA//chbG//
Cra_neg	araB//glpC//gudD//tyrA//glcF//bioC//galM//entD//feaB//uxaC//nagA//chbG//nfsA//astD//icd//fabD//lpxC//adiA//hcaF//yqhD//narI//ruvB//codA//alaC//gcvP//hcaB//folA//deoA//ubiA//nfsA//thrS//purD//rutC//hypB//fabB//lpxC//ldtD//mhpC//rimK//citX//aspA//tadA//deoC//guaB//metA//
Cra_pos	ccp//purM//aspC//appA//metF//moaE//lpd//glxK//ldtC//phnM//rffH//wzc//entF//katE//gltB//citG//glpB//
CreB-Phosphorylated_neg	puuB//
CreB-Phosphorylated_pos	patA//
CsgD_neg	cynS//hycB//
CsgD_pos	rffT//cysH//argD//
CsiR_neg	metK//puuD//phnL//betB//
CspA_pos	nirD//
CueR-Cu_neg	frc//atoD//talA//
CueR-Cu_pos	gatZ//ulaF//
CusR-Pasp_pos	sucC//atoA//garL//hemL//
CynR-cyanate_pos	argH//glpB//rbsD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	leuC//gcvP//alaC//
