# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	purB//speA//
Ada_neg	pgk//argE//
Ada_pos	gatY//xapA//mpaA//entC//
AdiY_pos	gpmM//fadE//dmsA//purB//
AgaR_neg	fumB//
AidB_neg	ampC//
AlaS-L-alanine_neg	sodB//
AllR-allantoin_neg	moaD//metB//adhE//glk//narH//trpA//
AllS-allantoin_pos	fadA//caiB//paaJ//
AlsR_neg	metF//glcE//ppiA//
AppY_pos	asnA//napH//
AraC-arabinose_neg	caiA//murI//rhaB//araA//gltD//
AraC-arabinose_pos	fadH//gcl//atoA//nanA//gpmA//acnA//
AraC_neg	glmU//dhaK//frdD//
AraC_pos	lacZ//relA//nrdE//
ArgP-arginine_neg	
ArgP-arginine_pos	hyaC//
ArgP_pos	frdD//gcl//grxA//prpD//mhpE//nirB//phoA//hmp//
ArgR-L-arginine_neg	melA//pyrC//mhpC//rpiB//mhpC//pheS//prpE//murG//sucD//citE//fadD//tauD//argD//rnpB//cysH//carA//lsrF//ribA//
ArgR-L-arginine_pos	nrdF//dapD//ruvB//metC//hcaD//
ArsR_neg	fabB//folA//
AscG_neg	glxK//fucU//
AsnC_neg	aspA//
AsnC_pos	ubiA//
AtoC-Phosphorylated_pos	gabD//fadD//fadM//
BCCP_neg	lyxK//
BaeR-Phosphorylated_pos	deoA//ssuE//
BasR-Phosphorylated_neg	hcaD//
BasR-Phosphorylated_pos	asnA//aceF//
BetI_neg	fes//metB//sucC//
BirA-biotinyl-5-adenylate_neg	astB//hcp//aroL//glmU//caiC//
BluR_neg	
BolA_neg	gcvT//pflB//
BolA_pos	napA//ppc//
BtsR-Phosphorylated_pos	grxA//
CadC_pos	argA//amn//dgcC//
CaiF-L-carnitine_pos	ribA//ung//pagP//pfkA//pepD//
Cbl_pos	nrdA//ulaD//hycD//moaD//malQ//
CdaR_pos	cynT//prs//sbcC//rffT//fadI//moeA//gcvH//fadI//rhaD//
