# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	rtcA//aroL//
Ada_neg	fabZ//ribA//
Ada_pos	argA//glmU//dmsA//tam//
AdiY_pos	idnD//srlD//sucD//fau//
AgaR_neg	dmsB//
AidB_neg	glk//
AlaS-L-alanine_neg	torC//
AllR-allantoin_neg	ubiC//pck//ahpF//moaC//slt//leuD//
AllS-allantoin_pos	glgX//gcvP//moaC//
AlsR_neg	galK//cysN//tyrB//
AppY_pos	fabA//paaE//
AraC-arabinose_neg	tnaA//tyrA//gntK//napA//ampC//
AraC-arabinose_pos	deoA//cadA//dgcN//paaI//dkgA//xapA//
AraC_neg	rutA//trpD//wecC//
AraC_pos	guaA//mhpF//lpd//
ArgP-arginine_neg	
ArgP-arginine_pos	gloA//
ArgP_pos	lsrG//narG//purF//lsrG//wecE//uxuA//fabD//mpl//
ArgR-L-arginine_neg	hypB//mpaA//fes//pgi//dhaM//ldtC//mltF//napB//aroG//pncB//folE//hmp//rtcA//gnd//glgA//ynfE//pncB//glpQ//
ArgR-L-arginine_pos	ldtC//acnA//lpd//prpC//metB//
ArsR_neg	dhaK//rhaB//
AscG_neg	leuD//hcaF//
AsnC_neg	hmp//
AsnC_pos	ldtD//
AtoC-Phosphorylated_pos	nrdB//carA//fdhF//
BCCP_neg	deoB//
BaeR-Phosphorylated_pos	paaE//chbG//
BasR-Phosphorylated_neg	tdcB//
BasR-Phosphorylated_pos	galT//mhpA//
BetI_neg	ada//mpl//fucO//
BirA-biotinyl-5-adenylate_neg	galT//sgbE//lsrK//atoD//citF//
BluR_neg	
BolA_neg	ygeA//yeaE//
BolA_pos	pgaD//rpiB//
BtsR-Phosphorylated_pos	kbaZ//
CadC_pos	purM//phoA//lsrG//
CaiF-L-carnitine_pos	lsrG//dgcZ//leuA//citX//srkA//
Cbl_pos	bioB//hycE//uxuA//aroG//pykF//
CdaR_pos	ldtD//adiA//trpE//uxaC//gcvT//phnI//tehB//hyi//pepD//
CecR_neg	trpD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ilvC//uxuB//gpmA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	alaS//katG//fruK//
ChbR_neg	paaG//citE//argE//
ChbR_pos	aceA//mpl//treC//
ComR_neg	
CpxR-Phosphorylated_neg	allE//nagA//fdhF//
CpxR-Phosphorylated_pos	kbaY//udp//cysJ//prpE//phr//accC//zwf//pagP//paaK//accA//glgP//feaB//hyaA//ascB//codA//ybjG//fruK//tauD//
