# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	astE//iscS//
Ada_neg	prs//ruvA//
Ada_pos	deoA//pncB//ruvA//cysN//
AdiY_pos	paaJ//gcvH//fadA//adiA//
AgaR_neg	metE//
AidB_neg	fadM//
AlaS-L-alanine_neg	wecC//
AllR-allantoin_neg	nadA//napG//cysH//hmp//truB//glpB//
AllS-allantoin_pos	galM//allA//chbG//
AlsR_neg	tauD//fucI//ulaD//
AppY_pos	napA//paaA//
AraC-arabinose_neg	ruvA//atoD//eno//pnp//rhaD//
AraC-arabinose_pos	acnA//dinB//psd//yedX//nemA//trpB//
AraC_neg	ydcS//gatZ//rbsK//
AraC_pos	sdhB//moaA//tnaA//
ArgP-arginine_neg	
ArgP-arginine_pos	nrdB//
ArgP_pos	grxA//gnd//nemA//asnA//aspC//prpB//fabH//aroF//
ArgR-L-arginine_neg	amn//nagB//metC//frc//cadA//araB//nrdB//murC//tdcB//napA//sdhD//glxR//sbcC//mnmG//ynfG//trpC//paaK//leuB//
ArgR-L-arginine_pos	phnG//tdcE//garL//astA//entB//
ArsR_neg	dkgA//chbG//
AscG_neg	glpQ//alsE//
AsnC_neg	wecB//
AsnC_pos	rutA//
AtoC-Phosphorylated_pos	moeA//mhpF//argH//
BCCP_neg	sufS//
BaeR-Phosphorylated_pos	guaB//sodB//
BasR-Phosphorylated_neg	glcE//
BasR-Phosphorylated_pos	paaC//fdhF//
BetI_neg	garR//glcB//allD//
BirA-biotinyl-5-adenylate_neg	napB//dgcZ//bglB//appA//dgcN//
BluR_neg	
BolA_neg	sodA//uxaA//
BolA_pos	alkB//nfsB//
BtsR-Phosphorylated_pos	bioB//
CadC_pos	ychF//uidA//astB//
CaiF-L-carnitine_pos	fadE//rutE//pdeR//frdA//puuA//
Cbl_pos	dgkA//moaC//ynfF//gor//citD//
CdaR_pos	sdhB//tdcE//moeB//nrfA//acnA//puuD//sgbE//puuE//trpA//
CecR_neg	pyrD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	metL//aspA//glpK//
ChbR-N-monoacetylchitobiose6-phosphate_pos	puuD//fadD//gadA//
ChbR_neg	fumC//fbaB//ulaE//
ChbR_pos	dgcN//alkA//asnA//
ComR_neg	
CpxR-Phosphorylated_neg	ttdA//tynA//pfkA//
CpxR-Phosphorylated_pos	ftsI//hcaC//rffC//glpD//yedX//xylB//gutQ//paaF//frdD//fucU//purN//ttdA//sgbU//yqjH//pdeL//fucU//rutE//glcB//
Cra_neg	leuA//fadH//dmsB//uxuB//prpE//puuB//srlD//glsA//frdC//purL//frdA//paaE//purD//cueO//pgaB//gatY//malS//phnG//dgkA//tehB//putA//gatY//chbF//hycF//bioF//cysK//gatY//uxuB//leuD//alkA//xylA//hemH//prpB//accD//bioC//citD//argG//ruvA//yiaK//rhaD//bioB//mhpC//grxA//nrdA//murI//
Cra_pos	codA//phoA//umuC//ubiA//nrdD//aspC//gnd//pnp//pncB//icd//nirB//glyA//tdcG//ubiX//astA//tnaA//fucO//
CreB-Phosphorylated_neg	entH//
CreB-Phosphorylated_pos	wecB//
CsgD_neg	gatD//fabD//
CsgD_pos	arsC//mdh//dapB//
CsiR_neg	relA//yqhD//purL//glpB//
CspA_pos	phnP//
CueR-Cu_neg	appA//rimK//guaB//
CueR-Cu_pos	pagP//lacA//
CusR-Pasp_pos	napH//ynfE//lpd//mhpF//
CynR-cyanate_pos	sucA//ychF//purB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	yqhD//paaY//katG//
CysB-O-acetyl-L-serine_pos	rutD//puuE//purN//bacA//tnaA//mtlD//entA//alkB//icd//appA//idnD//astC//
CysB_neg	
CysB_pos	tktB//yeaE//
CytR_neg	ogt//sbcC//alsE//polB//moaC//edd//ubiA//moaE//arsC//nfsB//
Dan-L-tartrate_pos	sucD//phnI//
DcuR-Phosphorylated_pos	cysH//ldtC//hcp//ychF//
DeoR_neg	cysN//guaB//mhpD//torC//mazG//cysI//
DhaR_neg	
DhaR_pos	rpiB//
DicA_neg	
DinJ-YafQ_neg	glgB//
DnaA-ATP_neg	rutA//glgC//xylB//recF//sodB//
DnaA-ATP_pos	phnN//ygeA//tehB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	entC//eno//ynfE//lacA//tam//
DsdC-D-serine_neg	
DsdC-D-serine_pos	gcl//adiA//
EbgR_neg	
EnvR_neg	puuA//tktB//
EnvY_pos	speA//allA//
EvgA-Phosphorylated_pos	fucU//tpiA//ftsI//galM//trpA//lacA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	mhpC//fumC//fucK//codA//argB//sdhC//
FabR_neg	gntK//nadB//pgi//
FadR-acyl-CoA_pos	
FadR_neg	fadB//araA//paaC//fabZ//astD//ampC//glk//ogt//fau//
FadR_pos	dgcZ//ppc//nrdE//phnI//pgpC//pgi//prpE//rtcA//uvrA//uxaC//
FeaR_pos	phnM//dkgA//
FhlA-formate_pos	dapD//patD//kbaZ//pncB//purB//lpd//dapB//gpmM//
FlhDC_neg	udp//ascB//
FlhDC_pos	appA//citF//zwf//trpD//mraY//paaG//ubiA//gor//ppsA//glpK//rsmH//ttdB//
FliZ_neg	cynT//rbsD//rffM//glpK//uxaC//
FucR-L-fuculose-1-P_pos	oxc//guaB//wzc//glyA//luxS//cysJ//
Fur-Fe2_neg	tktB//umuD//dsdA//lysA//torC//ribA//entA//lpd//murG//hcaC//purA//gnd//citG//nagA//bioF//purF//pheS//allC//fes//glgA//ilvC//carB//rutD//galM//relA//ugpQ//fdhF//ydcS//alaC//lyxK//xapA//gntK//ybjG//dkgB//umpH//argE//gatY//hycF//wzb//yqhD//hcaD//narH//gltD//aroF//paaK//entC//pck//asnA//nrfA//ldtD//dkgA//pgm//asnA//
Fur-Fe2_pos	mngB//astA//mltF//recF//citC//fucI//phnH//gltB//pyrD//hemL//fbaB//speG//garL//nanM//alsE//recF//
GadE-RcsB_pos	purD//murC//betB//puuA//metB//
GadE_pos	recD//wecE//allC//nemA//ribA//sdhC//phnP//idnO//ogt//dgcN//
GadW_neg	rutD//fadM//glpC//
GadW_pos	paaB//dacC//argF//recB//
GadX_neg	lldD//rfe//ulaD//
GadX_pos	accD//dgcC//ynfF//entH//lsrK//hycD//fdhF//hemL//phnO//eno//mdh//
GalR-beta-D-galactose_neg	paaC//galT//hypF//cysG//sucA//
GalR-beta-D-galactose_pos	glcD//rffG//mhpE//nrfD//
GalR_neg	aceA//yeaG//mhpC//tyrA//fumB//cysG//
GalR_pos	guaB//metA//glmS//speA//
GalS-beta-D-galactose_neg	garK//sucB//ttdA//astB//cyoE//
GalS-beta-D-galactose_pos	wecC//dgcN//gatD//hcaE//
GalS_neg	phnN//sgbU//pdeL//allE//folA//deoA//
GalS_pos	sucB//caiB//paaF//gcl//
GatR_neg	fadD//narH//zwf//
GcvA_neg	rffH//ahpC//lacZ//
GcvA_pos	ubiX//narI//lacZ//
GlcC-glycolate_neg	
GlcC-glycolate_pos	purL//prpD//entE//
GlpR_neg	yeaE//hmp//uxaB//sdhB//gabT//glmS//murQ//
GlrR-Pasp56_pos	
GntR_neg	relA//tdcG//tdcB//ldtD//cadA//lpxD//phnI//ldtC//rpiB//
GutM_pos	allB//tadA//rffC//
HU_neg	ugpQ//alkA//rutC//zwf//rutE//leuD//gadB//
HU_pos	
HcaR-HCA_pos	nagB//rbsK//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sucD//
HigB-HigA_neg	rhaD//
HipAB_neg	murC//ppsA//
HipB_neg	nagB//ppc//tyrA//
HprR-Phosphorylated_neg	gnd//glpQ//
HprR-Phosphorylated_pos	narI//uxaB//
HyfR_pos	rtcA//
HypT-Met-oxidized_neg	cysE//zwf//
HypT-Met-oxidized_pos	murD//sgbU//leuD//argG//xapA//
IclR-pyruvate_neg	glpB//ulaE//tpiA//
IdnR-5-ketogluconate_neg	waaZ//waaH//
IdnR-5-ketogluconate_pos	citC//pgpC//gcvH//
IlvY-2-acetolactate_pos	bglB//
IlvY_neg	
IscR-2Fe-2S_neg	aspC//uvrC//
IscR_neg	mpaA//uxaA//garL//acnB//
IscR_pos	purA//puuE//
KdgR_neg	purC//bioD//
KdpE-Phosphorylated_pos	xapA//
LacI_neg	cysI//eno//entH//
LeuO_neg	
LeuO_pos	yeaG//astE//udp//aroL//fabZ//fadA//
LexA_neg	phnH//hycD//ruvA//argB//pgaD//metC//hycG//rutB//hyaC//sgbU//pgpC//uxuA//phoA//bacA//glcF//ldtD//hyaB//mhpE//ychF//polB//pheT//nrdD//rbsK//
LldR-lactate_neg	hemH//ldtD//
LldR-lactate_pos	glgP//rtcA//
LldR_neg	tdcD//tpiA//
LldR_pos	moeB//ppsA//
LrhA_neg	
LrhA_pos	
LsrR_neg	atoB//pepD//allB//napH//astA//
LysR_neg	
LysR_pos	hcaC//
MalI_neg	astD//ftnA//
MalT-maltotriose-ATP_pos	argB//speB//glpD//gudD//phnH//galM//
MarA_neg	lsrF//
MarA_pos	nirB//sdhC//fucI//sdhC//paaB//fabG//prs//malS//aroG//pfkA//pyrC//recB//gntK//fau//cysG//aspC//paaF//icd//argA//aceB//glmS//rimK//pnp//
MarR_neg	
MatA_neg	phnG//
MatA_pos	
MazE-MazF_neg	gatZ//
MazE_neg	gor//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	gadB//entB//
MelR-melibiose_pos	nrdF//gatD//
MelR_neg	patD//mhpB//
MelR_pos	glmS//hycG//
MetJ-adenosylmethionine_neg	cysJ//wzb//cdd//hycC//glpA//purC//garL//metL//fabI//paaA//
MetR-L-homocysteine_neg	pykF//
MetR-L-homocysteine_pos	frdB//pgpC//
MetR_pos	tam//purB//
MhpR-3HPP_pos	citG//dhaL//srkA//tdcD//aceE//waaZ//
Mlc_neg	lsrG//adiA//glxR//paaB//
MlrA_pos	ynfH//
MngR_neg	paaJ//pagP//
MntR-Mn2_neg	arsC//
MntR-Mn2_pos	accD//
ModE-MoO42-_neg	lhgO//pdeR//gatD//ldtC//ubiX//gadB//deoA//yqhD//
ModE-MoO42-_pos	ldtD//entA//glcF//prs//dhaK//carB//rfe//puuA//purC//
