# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	yqjH//wzc//
Ada_neg	rffC//rffG//
Ada_pos	cysD//wecE//bioF//murF//
AdiY_pos	recF//glxK//ppc//pgpC//
AgaR_neg	mtlD//
AidB_neg	argE//
AlaS-L-alanine_neg	galT//
AllR-allantoin_neg	oxc//gapA//astC//cysC//adiA//moaC//
AllS-allantoin_pos	deoB//purA//caiC//
AlsR_neg	sdhA//sucC//rsmH//
AppY_pos	rhaB//sgbE//
AraC-arabinose_neg	pdeH//fumC//nfsB//asnA//lsrG//
AraC-arabinose_pos	dkgB//hyaA//paaJ//mpl//dgcZ//mnmG//
AraC_neg	sgbU//malP//ndh//
AraC_pos	uvrC//cynT//mhpA//
ArgP-arginine_neg	
ArgP-arginine_pos	pck//
ArgP_pos	nagB//purA//rutE//gcvT//rpiB//ybjG//trpD//paaI//
ArgR-L-arginine_neg	paaK//hemH//metE//dacC//acnA//dgcC//relA//kbaY//deoC//xapA//nrfC//cysD//cynS//purH//sgbE//icd//purE//lpxA//
ArgR-L-arginine_pos	phnM//ogt//nadA//hycB//mraY//
ArsR_neg	argH//ulaF//
AscG_neg	lacZ//codA//
AsnC_neg	betB//
AsnC_pos	hycG//
AtoC-Phosphorylated_pos	katE//ppc//betA//
BCCP_neg	gntK//
BaeR-Phosphorylated_pos	mdh//katE//
BasR-Phosphorylated_neg	purK//
BasR-Phosphorylated_pos	glgX//ubiC//
BetI_neg	ampC//dmsB//guaB//
BirA-biotinyl-5-adenylate_neg	tynA//umpH//rffT//mhpE//wrbA//
BluR_neg	
BolA_neg	caiA//fbaA//
BolA_pos	glgC//nagA//
BtsR-Phosphorylated_pos	aceA//
CadC_pos	allA//eda//bioB//
CaiF-L-carnitine_pos	mhpD//fadI//lacZ//codA//narI//
Cbl_pos	frdA//dhaL//phr//araD//ttdB//
CdaR_pos	wzc//relA//entB//ubiC//glgC//paaJ//murF//frdC//aroF//
CecR_neg	lhgO//
ChbR-N-monoacetylchitobiose6-phosphate_neg	gatZ//fadI//gudD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	dapD//rhaB//dmsA//
ChbR_neg	tdcG//purD//phnG//
ChbR_pos	umuC//leuD//astB//
ComR_neg	
CpxR-Phosphorylated_neg	cysI//araD//phnG//
CpxR-Phosphorylated_pos	deoD//gdhA//purE//xapA//purA//mhpB//paaB//fabH//moaA//ydcS//ttdA//rimK//ulaD//uxaA//luxS//rbsK//lacA//fabH//
Cra_neg	gatZ//yqhD//purH//astB//nrfD//malY//fabA//metE//polA//paaF//waaY//fadA//aceB//alsE//gloA//glcE//lpxC//astC//lldD//ung//paaY//patD//aroF//mhpF//talA//sucA//ppiA//rffT//puuD//allC//hcaC//cysK//paaJ//hycG//cysK//gcvT//hycB//lpxD//fruK//citD//chbF//phnJ//oxc//speA//napB//
Cra_pos	metB//citG//cyoE//astD//puuE//gltB//dapD//ascB//glxK//ppsA//deoB//pagP//ulaF//narI//puuD//guaB//hycF//
CreB-Phosphorylated_neg	tdcG//
CreB-Phosphorylated_pos	idnK//
CsgD_neg	argG//kbaY//
CsgD_pos	fucI//sdhC//pnp//
CsiR_neg	purE//metA//mhpA//poxB//
CspA_pos	wecC//
CueR-Cu_neg	gdhA//mdh//fucI//
CueR-Cu_pos	argC//purA//
CusR-Pasp_pos	lysA//dgcZ//puuE//fucK//
CynR-cyanate_pos	purE//gabD//dhaK//
CynR_neg	
CysB-O-acetyl-L-serine_neg	fadA//wzc//nrdD//
CysB-O-acetyl-L-serine_pos	narG//garD//umuD//umuC//folA//recB//phnM//murC//pdeR//purH//yiaK//trpB//
CysB_neg	
CysB_pos	relA//purD//
CytR_neg	aroG//ldtC//hcaC//yfdE//cysJ//gltD//alaS//fabI//cysM//fumB//
Dan-L-tartrate_pos	cysE//frdC//
DcuR-Phosphorylated_pos	trpD//asnB//sucC//araD//
DeoR_neg	glmS//ilvC//fabG//fucA//citE//tdcB//
DhaR_neg	
DhaR_pos	nfsA//
DicA_neg	
DinJ-YafQ_neg	metA//
DnaA-ATP_neg	tehB//srkA//dmsB//ychF//bioF//
DnaA-ATP_pos	ttdB//relA//paaK//
DpiA-Pasp_neg	
DpiA-Pasp_pos	talA//ulaE//trpA//gdhA//hemL//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pgk//fucO//
EbgR_neg	
EnvR_neg	rnpB//guaB//
EnvY_pos	truB//rutC//
EvgA-Phosphorylated_pos	pheT//metC//trpD//fabA//fadE//hyaB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pyrD//fadJ//codA//poxB//rtcB//sgbH//
FabR_neg	purD//atoB//phnN//
FadR-acyl-CoA_pos	
FadR_neg	sucB//ubiA//adiA//kbaZ//prpD//nirB//asnB//murG//carB//
FadR_pos	rpiB//cysH//caiB//sbcD//wecC//leuD//caiA//metL//arsC//sdhA//
FeaR_pos	glpB//betA//
FhlA-formate_pos	ugpQ//nirD//aroF//fadD//tnaA//nrdE//pgpC//cysI//
FlhDC_neg	prpE//pgm//
FlhDC_pos	hemL//wecE//allA//purL//allD//nfsB//araD//pepD//iscS//glpA//trpD//deoB//
FliZ_neg	aroL//umuD//hycE//sdhD//tyrB//
FucR-L-fuculose-1-P_pos	ampC//pheT//nirB//ttdB//dgcC//srkA//
Fur-Fe2_neg	lpxC//fadA//cadA//uvrB//rbsK//lhgO//yfdE//phnG//rutD//uvrA//paaH//dgcN//dkgA//chbF//deoC//pnp//paaB//tauD//malP//codA//nrdF//glk//pheT//allE//aceA//phr//narG//gadB//pfkA//slt//hycB//entB//lpxC//pepD//ulaF//glmU//metA//astE//cynT//glpQ//ssuE//ynfH//mhpA//entF//fadM//nrfD//garD//argC//patA//entF//moaE//nadB//aceF//
Fur-Fe2_pos	metL//mtlD//torA//metK//srlD//lpd//hypB//ubiX//psd//glgX//nfsB//glcD//galT//leuB//citG//allC//
GadE-RcsB_pos	citG//lysC//nrdF//gatZ//fadA//
GadE_pos	gatD//patA//ydcS//phnL//gor//entB//allA//fadB//ldtD//cysM//
GadW_neg	rutD//epd//ada//
GadW_pos	fadD//gatD//glxR//ppiA//
GadX_neg	bioA//fabA//fau//
GadX_pos	pgaB//sdhD//alaS//phnL//nagA//fabA//tyrA//amn//sgbU//fbaB//nrdB//
GalR-beta-D-galactose_neg	aceA//metK//paaE//mhpE//purA//
GalR-beta-D-galactose_pos	metE//hemL//phr//nanM//
GalR_neg	ppc//nrfD//cysI//yeaE//hycB//galT//
GalR_pos	dhaK//tauD//fumC//gatY//
GalS-beta-D-galactose_neg	gcvT//hcaE//sdhA//mhpB//rimK//
GalS-beta-D-galactose_pos	entC//nanA//moaE//trpD//
GalS_neg	pheS//ada//hyaB//rbsK//nfsB//glpK//
GalS_pos	alkB//argE//dacC//paaJ//
GatR_neg	astD//pagP//pyrD//
