# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	trpA//nanK//
Ada_neg	ruvA//cysE//
Ada_pos	hycB//acnB//ung//appA//
AdiY_pos	ubiA//rffC//srkA//citG//
AgaR_neg	paaF//
AidB_neg	ampC//
AlaS-L-alanine_neg	hycD//
AllR-allantoin_neg	moeA//allB//alaC//feaB//rffC//napG//
AllS-allantoin_pos	rimK//sucB//atoB//
AlsR_neg	ychF//tdcG//glcB//
AppY_pos	lyxK//citE//
AraC-arabinose_neg	nanE//dkgA//fes//hemH//nadA//
AraC-arabinose_pos	lysA//ulaD//pdeL//moaA//nagB//glpC//
AraC_neg	murI//gntK//pgaB//
AraC_pos	aroH//nagB//dgcZ//
ArgP-arginine_neg	
ArgP-arginine_pos	lpd//
ArgP_pos	lldD//aldA//leuC//araB//glcE//galE//entA//ascB//
ArgR-L-arginine_neg	garR//phnG//fabG//nrdF//phr//gcl//srkA//purM//xylB//nagA//deoD//caiC//murE//pdeH//aspA//pyrD//glcD//ynfF//
ArgR-L-arginine_pos	srlD//alaC//mnmG//cadA//nfsB//
ArsR_neg	glpA//fes//
AscG_neg	sucC//glxK//
AsnC_neg	yfdE//
AsnC_pos	prpC//
AtoC-Phosphorylated_pos	lpxD//glsA//pgaD//
BCCP_neg	wzc//
BaeR-Phosphorylated_pos	ttdB//sdhD//
BasR-Phosphorylated_neg	aroF//
BasR-Phosphorylated_pos	wecE//leuC//
BetI_neg	lsrG//fbaA//malY//
BirA-biotinyl-5-adenylate_neg	aroH//araD//mngB//uvrB//idnO//
BluR_neg	
BolA_neg	gntK//atoB//
BolA_pos	ppsA//tdcE//
BtsR-Phosphorylated_pos	fabG//
CadC_pos	guaA//xapA//rbsD//
CaiF-L-carnitine_pos	pheT//lpxA//hyaB//gcvP//hemL//
Cbl_pos	nagB//glgA//allB//gnd//gpmM//
CdaR_pos	waaZ//metH//entE//dmsB//asnB//betB//rffG//glxR//glnA//
CecR_neg	glcD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	sufS//fadH//phnI//
ChbR-N-monoacetylchitobiose6-phosphate_pos	allA//speG//speB//
ChbR_neg	aceB//puuD//gltD//
ChbR_pos	oxc//ydcS//umuD//
ComR_neg	
CpxR-Phosphorylated_neg	trpC//dapD//hycE//
