# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hyaC//paaI//
Ada_neg	tyrB//pyrC//
Ada_pos	rbsK//pgaB//ugpQ//yedX//
AdiY_pos	ycjG//glnA//pck//nfsB//
AgaR_neg	rnpB//
AidB_neg	napG//
AlaS-L-alanine_neg	ribA//
AllR-allantoin_neg	caiC//lacZ//metK//ubiA//moaA//hycB//
AllS-allantoin_pos	rutA//gcl//cysI//
AlsR_neg	trpA//mnmG//paaZ//
AppY_pos	ftsI//fadD//
AraC-arabinose_neg	lsrG//ssuE//ubiA//pgk//waaH//
AraC-arabinose_pos	fadE//ygeA//accD//bglB//gcvT//asnB//
AraC_neg	nrdF//fadJ//aceA//
AraC_pos	lsrF//ygeA//napG//
ArgP-arginine_neg	
ArgP-arginine_pos	gcl//
ArgP_pos	malP//glpQ//umuD//ftsI//rtcA//metB//dacC//adiA//
ArgR-L-arginine_neg	glpX//sbcC//gpmA//paaK//epd//nrfC//yiaK//hyaA//araD//accD//galK//betA//deoC//gapA//metK//torC//pyrD//rnpB//
ArgR-L-arginine_pos	napG//hycG//prpB//fadH//acnA//
ArsR_neg	narH//glpQ//
AscG_neg	paaE//mhpD//
AsnC_neg	allC//
AsnC_pos	nrfA//
AtoC-Phosphorylated_pos	nanA//gutQ//katE//
BCCP_neg	metF//
BaeR-Phosphorylated_pos	glpK//fbaB//
BasR-Phosphorylated_neg	pykF//
BasR-Phosphorylated_pos	galE//tdcB//
BetI_neg	tnaA//narI//torA//
BirA-biotinyl-5-adenylate_neg	cysG//gor//glgX//lpxC//adiA//
BluR_neg	
BolA_neg	fbaB//sdhA//
BolA_pos	aroG//deoC//
BtsR-Phosphorylated_pos	phnM//
CadC_pos	gor//hypB//betB//
CaiF-L-carnitine_pos	ubiX//gadB//sufS//accD//alaC//
Cbl_pos	cysM//moeA//atoA//rsmH//katE//
