# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ahpF//carB//
Ada_neg	uxaB//rimK//
Ada_pos	dkgA//pdeH//feaB//rnpB//
AdiY_pos	napA//alkB//lldD//citE//
AgaR_neg	gntK//
AidB_neg	nadA//
AlaS-L-alanine_neg	dkgB//
AllR-allantoin_neg	rhaD//tnaA//puuB//fbaA//argD//ahpF//
AllS-allantoin_pos	zwf//serA//nfsA//
AlsR_neg	argB//purH//leuB//
AppY_pos	deoB//purF//
AraC-arabinose_neg	serA//poxB//poxB//mhpF//sucB//
AraC-arabinose_pos	uidA//speG//aspA//cysG//pgi//gudD//
AraC_neg	fucI//gadA//gpmM//
AraC_pos	hycE//prs//pgaB//
ArgP-arginine_neg	
ArgP-arginine_pos	pnp//
ArgP_pos	oxc//phnP//lldD//ribA//rtcA//ugpQ//purH//cysE//
ArgR-L-arginine_neg	rutE//alaC//hyaB//umuC//glk//ppc//arsC//garR//argC//phnG//entA//caiB//tadA//putA//tdcB//idnD//metK//atoB//
ArgR-L-arginine_pos	sucB//paaH//ldtC//argA//sbcC//
ArsR_neg	ulaD//puuB//
AscG_neg	gpmA//gpmM//
AsnC_neg	cueO//
AsnC_pos	lpd//
AtoC-Phosphorylated_pos	udp//codA//sbcD//
BCCP_neg	srkA//
BaeR-Phosphorylated_pos	rffG//ycjG//
BasR-Phosphorylated_neg	astB//
BasR-Phosphorylated_pos	aceA//sucB//
BetI_neg	gadB//yiaK//puuD//
BirA-biotinyl-5-adenylate_neg	waaY//puuC//garD//nanE//tdcD//
BluR_neg	
BolA_neg	murQ//pnp//
BolA_pos	prs//mhpA//
BtsR-Phosphorylated_pos	lacA//
CadC_pos	rutD//puuC//fucO//
CaiF-L-carnitine_pos	deoB//gudD//dkgA//nanM//pgaD//
Cbl_pos	entC//alsE//entD//malZ//ppc//
CdaR_pos	ynfG//malY//alaS//hcaC//rffM//purN//gnd//accD//pykF//
CecR_neg	lpxD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	galM//pdeH//thrS//
ChbR-N-monoacetylchitobiose6-phosphate_pos	dmsC//dkgB//fadM//
ChbR_neg	cadA//araD//moaD//
ChbR_pos	gcl//dkgA//xapA//
ComR_neg	
CpxR-Phosphorylated_neg	phnI//entH//metB//
CpxR-Phosphorylated_pos	uxaB//rsmH//garD//yfdE//yeaG//dmsA//frdB//aldA//dsdA//ulaE//argC//entF//wecB//pagP//tadA//guaA//fadE//lysA//
Cra_neg	fumC//amn//rsmH//entC//allE//dsdA//rutC//glxK//argC//yiaK//caiB//bioC//trpE//ynfE//glcD//rutE//deoD//metC//entE//metK//caiA//galM//purF//acnA//gudD//hemH//oxc//glgB//pgaC//treC//zwf//pgaD//fadE//sdhB//tnaA//rnpB//glgX//mngB//edd//serA//dmsA//wecC//rbsD//asnB//purN//
Cra_pos	aceF//mngB//galM//gcvH//moaC//fau//phnJ//fadJ//dhaK//mpl//tdcD//wrbA//purD//dapD//gdhA//katE//gdhA//
CreB-Phosphorylated_neg	tynA//
CreB-Phosphorylated_pos	caiB//
CsgD_neg	sodB//gltD//
CsgD_pos	tpiA//hcaF//katE//
CsiR_neg	fucU//putA//idnO//ldtD//
CspA_pos	lpxD//
CueR-Cu_neg	ynfH//argA//gatZ//
CueR-Cu_pos	relA//mdh//
CusR-Pasp_pos	gltD//glpC//glgB//aroG//
CynR-cyanate_pos	paaZ//mhpE//phnJ//
CynR_neg	
CysB-O-acetyl-L-serine_neg	nadB//allD//fadD//
CysB-O-acetyl-L-serine_pos	argG//astA//pgaC//fadB//tadA//dmsA//cysE//dhaL//tadA//bioC//argG//alkA//
CysB_neg	
CysB_pos	napB//wzb//
CytR_neg	paaF//alkB//speG//bioD//accD//ssuD//argD//rimK//ldtD//cysD//
Dan-L-tartrate_pos	ssuD//nrfA//
DcuR-Phosphorylated_pos	dmsB//paaE//entH//lacZ//
DeoR_neg	bioC//nirD//malZ//paaK//talA//rhaA//
DhaR_neg	
DhaR_pos	caiA//
DicA_neg	
DinJ-YafQ_neg	rutE//
DnaA-ATP_neg	lpxC//ydcS//tdcG//murG//polA//
DnaA-ATP_pos	hyaB//ydcS//allA//
DpiA-Pasp_neg	
