# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabG//dgkA//
Ada_neg	glk//dapB//
Ada_pos	hmp//fadB//tdcE//alkA//
AdiY_pos	argF//napA//argA//acnA//
AgaR_neg	argE//
AidB_neg	folA//
AlaS-L-alanine_neg	thrS//
AllR-allantoin_neg	sdhD//malS//pgk//oxc//mhpA//nagA//
AllS-allantoin_pos	caiC//puuD//udp//
AlsR_neg	garK//gltB//fadJ//
AppY_pos	wzb//napG//
AraC-arabinose_neg	hycF//cysJ//ycjG//alaC//waaY//
AraC-arabinose_pos	ung//hycF//hyi//nadB//gabT//dkgA//
AraC_neg	patA//katE//rbsK//
AraC_pos	ftnA//mhpD//tauD//
ArgP-arginine_neg	
ArgP-arginine_pos	fabG//
ArgP_pos	gcvH//glcE//puuE//gntK//rutD//gcl//rhaD//dsdA//
ArgR-L-arginine_neg	ygeA//leuB//yqjH//garK//sdhC//pck//ttdB//hycC//waaY//nirB//fabD//phnM//dinB//mazG//amn//ppiA//ampC//glk//
ArgR-L-arginine_pos	chbF//dkgA//polB//dacC//pflB//
ArsR_neg	hycE//hyi//
AscG_neg	phnM//purH//
AsnC_neg	nrdD//
AsnC_pos	glpC//
AtoC-Phosphorylated_pos	paaJ//leuB//tnaA//
BCCP_neg	paaC//
BaeR-Phosphorylated_pos	uidA//ftnA//
BasR-Phosphorylated_neg	ruvB//
BasR-Phosphorylated_pos	allA//rffT//
BetI_neg	moaD//murE//phnP//
BirA-biotinyl-5-adenylate_neg	glpD//pgk//allB//oxc//ugpQ//
BluR_neg	
BolA_neg	pncB//moaD//
BolA_pos	pgaB//astA//
BtsR-Phosphorylated_pos	rffC//
CadC_pos	ynfF//pheT//purF//
CaiF-L-carnitine_pos	dhaM//caiB//hcaC//gatD//araD//
Cbl_pos	fabI//wrbA//garD//fadA//sodB//
CdaR_pos	rhaA//serA//uvrA//malQ//purE//gdhA//accD//sdhB//gadB//
CecR_neg	sucA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	argA//ynfH//torC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	gor//tynA//ddlB//
ChbR_neg	pdeL//araD//ddlB//
ChbR_pos	caiD//lpd//sbcC//
ComR_neg	
CpxR-Phosphorylated_neg	nrdB//ppc//murI//
CpxR-Phosphorylated_pos	nagA//pgi//acnA//betA//umpH//fadI//hypF//eno//murI//moeA//uxaA//umuC//lyxK//tam//pgi//rffT//metF//uxaA//
Cra_neg	mraY//fadH//pepD//alsE//uxuB//frdB//ruvB//dapB//mhpF//pgk//citX//rtcA//polB//tam//mraY//gloA//caiD//gloA//ulaD//murF//lsrF//idnO//gabD//yedX//nanE//torC//pdeL//argE//galK//fadE//gcvT//poxB//phnJ//mtlD//pyrC//caiC//wzb//ubiC//tdcB//hyaA//puuE//rffH//phnH//epd//moaD//
Cra_pos	arsC//glxR//hypF//cysH//gloA//nfsA//gabD//hemH//gpmA//cysG//cueO//ycjG//garK//hypF//uvrA//uxaC//fabG//
CreB-Phosphorylated_neg	tam//
CreB-Phosphorylated_pos	gatZ//
CsgD_neg	hycE//trpC//
CsgD_pos	fucI//ccp//tnaA//
CsiR_neg	fadI//ppsA//nanA//malS//
CspA_pos	moaD//
CueR-Cu_neg	ppiA//kbaY//trpE//
CueR-Cu_pos	malS//purA//
CusR-Pasp_pos	bioF//lpxA//sdhB//pdeR//
CynR-cyanate_pos	narH//mhpF//dgcC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	sbcD//mpaA//mnmG//
