# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	dapB//gutQ//
Ada_neg	fes//fadM//
Ada_pos	uxaA//glxK//nrfA//glgC//
AdiY_pos	lysA//umuD//ada//idnK//
AgaR_neg	hemH//
AidB_neg	rhaD//
AlaS-L-alanine_neg	glpD//
AllR-allantoin_neg	ssuD//astD//argA//ascB//lhgO//puuD//
AllS-allantoin_pos	metL//gltD//garL//
AlsR_neg	astB//udp//glcD//
AppY_pos	entE//nanK//
AraC-arabinose_neg	mltF//eda//uxuB//fumB//nadA//
AraC-arabinose_pos	katG//ynfE//uxuB//mpaA//tnaA//pgk//
AraC_neg	galE//prpC//deoA//
AraC_pos	nrdE//ychF//hyi//
ArgP-arginine_neg	
ArgP-arginine_pos	fucK//
ArgP_pos	wrbA//gcvP//glcF//ftnA//moeA//pykF//betA//lpd//
ArgR-L-arginine_neg	accD//yfdE//astB//frdA//rtcA//astE//citX//ccp//uvrC//pck//dacC//uvrB//rimK//paaC//rffT//murF//gloA//rhaB//
ArgR-L-arginine_pos	mngB//accD//dmsB//metK//gudD//
ArsR_neg	accC//trpA//
AscG_neg	mhpA//fabA//
AsnC_neg	gudD//
AsnC_pos	alkA//
AtoC-Phosphorylated_pos	pgk//phnL//metF//
BCCP_neg	codA//
BaeR-Phosphorylated_pos	bioC//wrbA//
BasR-Phosphorylated_neg	yeaG//
BasR-Phosphorylated_pos	recD//pgk//
BetI_neg	wzc//deoD//nrdD//
BirA-biotinyl-5-adenylate_neg	arsC//metE//astC//entE//guaA//
BluR_neg	
BolA_neg	moaA//tyrA//
BolA_pos	sucB//idnO//
BtsR-Phosphorylated_pos	paaG//
CadC_pos	cadA//cysM//entD//
CaiF-L-carnitine_pos	grxA//hcaD//mpaA//moeB//fadD//
Cbl_pos	nadA//napB//recB//rhaD//ybjG//
CdaR_pos	prs//rfe//purC//dgcZ//metE//rutB//folA//ssuD//glxK//
CecR_neg	pdeR//
ChbR-N-monoacetylchitobiose6-phosphate_neg	glcD//speB//udp//
ChbR-N-monoacetylchitobiose6-phosphate_pos	chbG//cysE//paaE//
ChbR_neg	sodB//acnB//metC//
ChbR_pos	speG//gloA//ulaG//
ComR_neg	
CpxR-Phosphorylated_neg	cdd//eda//galK//
