# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fbaB//glcD//
Ada_neg	glxR//murI//
Ada_pos	yedX//yqjH//lsrF//glcE//
AdiY_pos	uvrC//hcp//astA//rffT//
AgaR_neg	murF//
AidB_neg	glpQ//
AlaS-L-alanine_neg	patA//
AllR-allantoin_neg	citF//frdD//leuD//nanE//dsdA//sodA//
AllS-allantoin_pos	fruK//dsdA//umuD//
AlsR_neg	dacC//glgX//phnH//
AppY_pos	pck//tauD//
AraC-arabinose_neg	metA//sucB//tyrA//rutA//deoA//
AraC-arabinose_pos	tadA//thrS//phnL//dgcN//ynfH//glxR//
AraC_neg	rffH//epd//putA//
AraC_pos	cysH//uxuB//rtcB//
ArgP-arginine_neg	
ArgP-arginine_pos	nrfC//
ArgP_pos	hycG//hcaC//murI//citE//nemA//amn//citX//puuB//
ArgR-L-arginine_neg	astC//gadA//hycG//uvrA//mdh//sgbH//tadA//glgC//entC//zwf//waaH//paaG//yqhD//ogt//gapA//ynfH//sucC//dacC//
ArgR-L-arginine_pos	malZ//ynfF//talA//rpiB//fbaA//
ArsR_neg	ydcS//atoB//
AscG_neg	entF//gadA//
AsnC_neg	glmU//
AsnC_pos	caiB//
AtoC-Phosphorylated_pos	ruvA//malZ//ygeA//
BCCP_neg	fabI//
BaeR-Phosphorylated_pos	nrdF//paaJ//
BasR-Phosphorylated_neg	aroG//
BasR-Phosphorylated_pos	prpC//glmU//
BetI_neg	rhaD//tpiA//hycC//
BirA-biotinyl-5-adenylate_neg	metC//galT//galK//nfsA//adhE//
BluR_neg	
BolA_neg	ynfG//narI//
BolA_pos	hemL//pdeH//
BtsR-Phosphorylated_pos	murQ//
CadC_pos	mngB//trpB//phnH//
CaiF-L-carnitine_pos	pdeR//ynfE//nrdE//alaC//frdD//
Cbl_pos	glgB//mhpF//nadB//serA//hycE//
CdaR_pos	wecB//aceB//cynT//sucA//sbcC//tdcE//murD//bioA//hcaD//
CecR_neg	argE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	garL//eno//prpD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	pflB//umuD//hyaC//
ChbR_neg	eda//hcaF//rutA//
ChbR_pos	zwf//glmU//pgpC//
ComR_neg	
CpxR-Phosphorylated_neg	aspC//gntK//puuA//
CpxR-Phosphorylated_pos	kbaY//gnd//asnA//sgbU//ahpC//nagB//paaB//trpB//carA//sgbH//rffM//aspC//murD//trpA//tadA//nrdA//katG//pgm//
Cra_neg	phnM//mraY//pflB//pgaB//tdcG//uxaC//appA//hycB//puuA//pncB//metA//metA//gatD//uidA//ssuE//fdhF//hcaE//hycF//metB//sodB//ahpC//paaG//pgaC//glpQ//rimK//tauD//fucU//cysK//fucO//yqjH//cadA//metC//rfe//garL//gabD//ruvB//citC//napG//nanM//eda//cysM//rffC//idnK//deoA//phnH//
Cra_pos	pheT//lpxC//garL//ugpQ//hemH//gnd//moaE//paaJ//phr//chbG//pdeR//recB//galE//purH//uxuA//gcl//truB//
CreB-Phosphorylated_neg	phnI//
CreB-Phosphorylated_pos	pgi//
CsgD_neg	chbF//cueO//
CsgD_pos	rffM//glpX//sgbU//
CsiR_neg	uxuB//idnK//aspA//ada//
CspA_pos	ynfH//
CueR-Cu_neg	nfsB//dkgA//glpQ//
CueR-Cu_pos	ynfH//puuB//
CusR-Pasp_pos	mpl//feaB//deoA//narG//
