# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	tehB//cyoE//
Ada_neg	nrdA//dhaK//
Ada_pos	hmp//nirB//bioA//rpiB//
AdiY_pos	ilvC//fbaB//hycG//mpl//
AgaR_neg	ygeA//
AidB_neg	dapB//
AlaS-L-alanine_neg	gpmA//
AllR-allantoin_neg	fabB//argD//fbaB//deoC//hcp//galM//
AllS-allantoin_pos	gcvT//rnpB//puuC//
AlsR_neg	moeA//yfdE//glnA//
AppY_pos	atoA//ppiA//
AraC-arabinose_neg	metH//icd//ssuD//fabG//uvrC//
AraC-arabinose_pos	mhpA//pgaC//rffG//treC//glpB//mhpF//
AraC_neg	cdd//lsrF//paaA//
AraC_pos	argD//uvrA//galT//
ArgP-arginine_neg	
ArgP-arginine_pos	yeaE//
ArgP_pos	galK//appA//ung//ycjG//yeaG//psd//citF//fumC//
ArgR-L-arginine_neg	napH//polB//serA//hycG//paaJ//rsmH//chbF//phnP//moaD//ccp//rutE//polB//moaD//pgm//prs//fadH//hcaC//ftsI//
ArgR-L-arginine_pos	torC//cysD//rffG//lpxC//rtcB//
ArsR_neg	glxK//hyi//
AscG_neg	adhE//tnaA//
AsnC_neg	astA//
AsnC_pos	dgcC//
AtoC-Phosphorylated_pos	ada//gpmA//ulaD//
BCCP_neg	luxS//
BaeR-Phosphorylated_pos	leuD//caiC//
BasR-Phosphorylated_neg	glpX//
BasR-Phosphorylated_pos	fabA//dmsA//
BetI_neg	entB//puuA//cadA//
BirA-biotinyl-5-adenylate_neg	gapA//uvrA//sgbU//nanA//alaC//
BluR_neg	
BolA_neg	kbaZ//srlD//
BolA_pos	tdcB//cysK//
BtsR-Phosphorylated_pos	nrdD//
CadC_pos	rffG//idnO//pgm//
CaiF-L-carnitine_pos	puuC//dinB//bioD//phnG//gcvT//
Cbl_pos	hypF//ulaF//lpxC//gudD//rbsK//
CdaR_pos	glpC//trpA//ogt//rnpB//uxuB//aceA//leuD//ybjG//appA//
CecR_neg	torA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	cysN//phoA//tdcG//
ChbR-N-monoacetylchitobiose6-phosphate_pos	rtcB//hemL//mdh//
ChbR_neg	ttdA//eno//hyaC//
ChbR_pos	gltB//umuC//lpxA//
ComR_neg	
CpxR-Phosphorylated_neg	argC//argF//purK//
CpxR-Phosphorylated_pos	waaH//aceE//ampC//napH//folE//gadB//hcaB//nrdF//astD//treC//leuD//ynfH//dgcZ//aspC//fucO//fabZ//rutD//nagB//
Cra_neg	glpC//sdhB//grxA//gor//glxK//hycD//argB//allC//tdcB//fadH//hcaC//cysN//aroL//aceF//purA//caiD//ttdB//nadA//lysC//ttdB//pgm//ybjG//allD//moeB//entE//fucK//hycG//mazG//aceB//hyaA//hcaD//aroH//caiD//folA//sbcC//tpiA//alaS//glgA//purF//pspE//aldA//ldtC//wecE//mhpD//prpB//
Cra_pos	gnd//ulaE//epd//ulaD//aceF//phnG//argH//ung//dhaM//fabA//araA//carB//hcaC//cysG//ascB//allE//metA//
CreB-Phosphorylated_neg	garR//
CreB-Phosphorylated_pos	alkB//
CsgD_neg	dkgB//bioA//
CsgD_pos	aceA//ampC//dhaM//
CsiR_neg	eda//ttdA//pdeL//napB//
CspA_pos	lysA//
CueR-Cu_neg	prpE//metK//entF//
CueR-Cu_pos	purC//bioF//
CusR-Pasp_pos	napB//phoA//phnP//puuB//
CynR-cyanate_pos	nemA//ynfE//mhpD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	dmsA//glsA//argG//
CysB-O-acetyl-L-serine_pos	gcl//argD//ppsA//nfsB//uvrB//deoA//rutA//phr//lsrK//sdhA//phnH//malS//
CysB_neg	
CysB_pos	araA//malY//
CytR_neg	sdhA//alkB//ynfF//speB//oxc//sodA//allD//fdhF//metK//fadI//
Dan-L-tartrate_pos	tdcG//sgbH//
DcuR-Phosphorylated_pos	pgaB//cysD//rutB//allE//
DeoR_neg	lpxC//frc//murF//pfkA//atoB//lhgO//
DhaR_neg	
DhaR_pos	pgk//
DicA_neg	
DinJ-YafQ_neg	dacC//
DnaA-ATP_neg	napH//glgC//sucA//malQ//moaC//
DnaA-ATP_pos	phnM//napA//rffM//
DpiA-Pasp_neg	
DpiA-Pasp_pos	pepD//paaJ//bioA//leuD//purM//
DsdC-D-serine_neg	
DsdC-D-serine_pos	cyoE//wzb//
EbgR_neg	
EnvR_neg	garK//dhaK//
EnvY_pos	phnN//bglB//
EvgA-Phosphorylated_pos	prs//citD//tam//glgC//entD//gcvT//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	dmsA//sbcD//purH//fucA//citE//malS//
FabR_neg	glpX//atoB//pgpC//
FadR-acyl-CoA_pos	
FadR_neg	murD//fabB//carA//ahpF//araA//lpd//garD//adhE//idnO//
FadR_pos	glpC//grxA//cueO//cynS//yiaK//speA//aroF//fabG//hcaC//phnL//
FeaR_pos	patD//dacC//
FhlA-formate_pos	cysG//gnd//rtcA//citF//sbcD//srkA//gatY//glnA//
FlhDC_neg	garD//moaC//
FlhDC_pos	nfsB//pdeH//yeaG//ubiC//accC//trpB//gltD//tktB//cysK//purN//nanA//uvrB//
FliZ_neg	gltB//talA//purA//murD//lpxD//
FucR-L-fuculose-1-P_pos	fadB//fadD//fabG//pck//gabT//nrdB//
Fur-Fe2_neg	astB//asnB//alaC//aceE//luxS//tam//fabD//prpE//caiC//pncB//mltF//fucI//dkgA//kbaY//entD//metF//edd//paaF//umpH//zwf//alsE//purM//trpB//metL//tdcB//deoD//glmS//lpxD//dapD//phnM//pgi//serA//bioD//sodA//trpC//thrS//mpaA//argH//grxA//garL//uvrB//tadA//gltB//kbaY//entD//carA//tdcE//paaK//mazG//tam//astE//gadA//ruvA//
Fur-Fe2_pos	hycE//fadJ//ynfE//araA//purH//gpmM//frdD//puuE//lysC//hcaF//murQ//glxR//paaB//mhpA//phnI//ogt//
GadE-RcsB_pos	sucA//galE//murE//prpE//glcB//
GadE_pos	hycG//xylA//pdeH//fucO//hycD//nrdF//patD//rpiB//uxaB//sgbU//
GadW_neg	aceB//dhaM//rutC//
GadW_pos	recD//paaE//sufS//dapB//
GadX_neg	galE//astD//gabT//
GadX_pos	pheT//nirD//accA//pgaB//tauD//allA//moeB//udp//hcaF//folA//garK//
GalR-beta-D-galactose_neg	aspC//zwf//entA//yedX//gcl//
GalR-beta-D-galactose_pos	hcaF//psd//arsC//purD//
GalR_neg	paaF//hycE//galK//pfkA//argE//pncB//
GalR_pos	malY//oxc//fes//glpB//
GalS-beta-D-galactose_neg	cdd//mtlD//cysN//oxc//pflB//
GalS-beta-D-galactose_pos	astD//wzb//nemA//carB//
GalS_neg	nrdD//astD//gor//leuA//glpX//atoA//
GalS_pos	grxA//ssuD//garR//entD//
GatR_neg	paaK//paaE//epd//
GcvA_neg	chbG//cueO//nrfC//
GcvA_pos	paaG//cysI//ung//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ddlB//pgaB//moeB//
GlpR_neg	wrbA//frc//epd//phnL//betA//rhaD//atoB//
GlrR-Pasp56_pos	
GntR_neg	gutQ//rhaB//glnA//cysM//fadJ//ampC//mdh//rffH//nfsA//
GutM_pos	purM//polB//phnO//
HU_neg	yqhD//wzb//allC//luxS//ynfG//citE//dacC//
HU_pos	
HcaR-HCA_pos	glpC//deoA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	argG//
HigB-HigA_neg	uxaB//
HipAB_neg	fadJ//hmp//
HipB_neg	nadB//citX//tdcG//
HprR-Phosphorylated_neg	cysI//accD//
HprR-Phosphorylated_pos	mpl//fabD//
HyfR_pos	glmS//
HypT-Met-oxidized_neg	garD//allD//
HypT-Met-oxidized_pos	paaC//epd//dmsC//umpH//rtcA//
IclR-pyruvate_neg	glpK//tynA//guaA//
IdnR-5-ketogluconate_neg	malS//umuD//
IdnR-5-ketogluconate_pos	dhaM//ybjG//glpQ//
IlvY-2-acetolactate_pos	bglB//
IlvY_neg	
IscR-2Fe-2S_neg	gor//ulaE//
IscR_neg	nanE//lysA//grxA//gutQ//
IscR_pos	rbsK//glnA//
KdgR_neg	gudD//katG//
KdpE-Phosphorylated_pos	hcaB//
LacI_neg	pspE//phnO//patD//
LeuO_neg	
LeuO_pos	ygeA//narH//rutD//fadI//cueO//garK//
LexA_neg	folE//nrdD//frdA//hcaF//yeaG//pgi//dmsB//prpE//tadA//fadA//dhaL//sodA//glgP//edd//hemL//cadA//fabD//sufS//hycF//accA//mpl//folE//mtlD//
LldR-lactate_neg	phnP//phnG//
LldR-lactate_pos	srkA//kbaZ//
LldR_neg	tyrB//paaF//
LldR_pos	lsrG//glxR//
LrhA_neg	
LrhA_pos	
LsrR_neg	caiB//pyrC//glpX//treC//wzb//
LysR_neg	
LysR_pos	gabT//
MalI_neg	alkA//ribA//
MalT-maltotriose-ATP_pos	narI//amn//entA//ynfG//fadH//hycC//
MarA_neg	umuD//
MarA_pos	mraY//ogt//luxS//metE//astD//betA//phoA//araA//tam//purD//dhaK//chbF//oxc//carB//mhpF//gcvP//hycB//aroH//sgbU//appA//malY//astE//hypB//
MarR_neg	
MatA_neg	fdhF//
MatA_pos	
MazE-MazF_neg	dsdA//
MazE_neg	hemL//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	asnB//uxaC//
MelR-melibiose_pos	glgB//pdeH//
MelR_neg	guaA//nrfD//
MelR_pos	trpC//glpX//
MetJ-adenosylmethionine_neg	argI//purF//wrbA//purC//gatD//gpmA//glcF//paaC//yqhD//purC//
MetR-L-homocysteine_neg	yqjH//
MetR-L-homocysteine_pos	appA//rbsK//
MetR_pos	hycB//gntK//
MhpR-3HPP_pos	hycC//aceA//entB//gloA//metC//atoD//
Mlc_neg	dgcN//mhpE//hycB//aceB//
MlrA_pos	cysM//
MngR_neg	leuD//lyxK//
MntR-Mn2_neg	bioB//
MntR-Mn2_pos	sdhB//
ModE-MoO42-_neg	epd//nrfA//nagB//ddlB//pck//entC//caiD//puuD//
ModE-MoO42-_pos	kbaY//aldA//glcD//arsC//tyrB//paaI//glgA//tktB//ppsA//
MprA_neg	gudD//cysD//lacA//
MqsA_neg	nrdA//patD//
MraZ_neg	fadE//trpE//sufS//polB//lyxK//caiC//araA//dgcC//gpmM//gcl//
MurR_neg	ydcS//leuC//deoD//
MurR_pos	
Nac_neg	paaF//uidA//araA//
Nac_pos	gpmA//cysK//deoC//atoD//gatD//bacA//moeA//murI//
NadR_neg	lpxD//nagB//paaF//puuE//
NagC_neg	malY//dapD//zwf//pspE//dkgA//metE//cysM//lacA//zwf//lacZ//umuC//murD//nemA//aceA//nirB//ldtD//pspE//bioA//
NagC_pos	ygeA//gutQ//
NanR_neg	yiaK//nrdB//puuA//napA//narH//ybjG//
NanR_pos	
NarL-Phosphorylated_neg	phnM//ldtC//lsrK//puuA//ilvC//aldA//nadA//glcF//bioA//phnL//uvrC//pheT//pyrD//gloA//phnJ//glgA//fucO//moaC//hypF//fbaA//phnG//pepD//nanA//hcaB//alaC//metH//gadA//glpD//
NarL-Phosphorylated_pos	fucI//cysC//pnp//sgbU//phnP//puuC//lysC//sbcC//alkB//tyrA//ahpC//sbcC//pgi//paaA//lsrG//
