 #From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/complex_regulons_bnum.txt
AccB_FadR	b1546//b1954//
AcrR	b4133//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b2213//b0977//b1013//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b1283//b3979//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b3600//b4202//
AcrR_FNR_Fur_SoxR	b4637//
AcrR_FNR_Fur_SoxR_SoxS	b1846//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b4090//
Ada	b0795//b2155//b2189//
Ada_AidB_Lrp	b1714//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b1306//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3113//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b1237//b0921//b3224//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b0922//b3237//
AdiY_H-NS_IHF	b3164//
AgaR	b2808//b4177//b3792//b2660//b1016//b1783//b3392//
AgaR_CRP	b3525//b1944//b4029//b2196//
AlaS	b2208//
AllR	b2727//b3184//b1386//b3415//b2406//b2571//b3753//b1704//b2788//
AllS	b2584//b0031//b2464//
AlsR	b3707//b0999//b0820//b3183//b4200//b2167//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b3521//b4458//b1441//b0351//b1481//b1384//
AppY_ArcA_YdeO	b2802//b2708//b1937//b4104//
AraC_CRP	b1227//b3479//b0805//b3940//b3515//b3770//b0111//b1325//b0622//
AraC_CRP_XylR	b4125//b1513//b3608//
AraC_NagC	b4673//b2147//
ArcA	b3771//b1081//
ArcA_BetI_Cra	b0862//b2822//b4007//b4193//
ArcA_CRP_CaiF_FNR_H-NS	b2215//b1011//b3828//b4567//b2497//b1546//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b1987//b2240//b2196//b3213//b3413//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b1304//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b1408//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b0150//b2284//
ArcA_CRP_Cra_Fis	b2313//
ArcA_CRP_Cra_IHF_IclR	b0118//b0341//b0460//
ArcA_CRP_DcuR	b2537//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b3502//b0509//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b4451//
ArcA_CRP_DnaA_FNR	b1434//
ArcA_CRP_DpiA_FNR_NarL	b2421//b0450//b3091//b2344//b2311//b2489//
ArcA_CRP_DpiA_FlhDC	b3753//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b4089//b2283//
ArcA_CRP_FNR	b3956//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b2531//b4024//b1262//
ArcA_CRP_FNR_Fis_Fur_PdhR	b1210//
ArcA_CRP_FNR_Fis_IHF_NarL	b0673//
ArcA_CRP_FNR_Fur	b2542//b2310//b4150//b3273//
ArcA_CRP_FNR_Fur_IHF	b3139//b0954//b2309//b0189//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b0060//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b4366//
ArcA_CRP_FNR_IHF_NarL	b2490//
ArcA_CRP_FNR_NarL	b4457//
ArcA_CRP_FadR	b4662//b4203//
ArcA_CRP_FadR_HipB	b0076//
ArcA_CRP_FadR_OmpR_PhoP	b0198//
ArcA_CRP_Fis_Mlc_SoxS	b0052//
ArcA_CRP_Fis_XylR	b3365//
ArcA_CRP_Fur_GadX_MqsA	b0221//
ArcA_CRP_GatR	b0557//b1410//b4062//b2589//b1482//b3273//
ArcA_CRP_GlpR	b2588//
ArcA_CRP_IHF	b1578//
ArcA_CRP_PuuR	b4347//b3431//b2552//b0084//b3156//
ArcA_CRP_RhaS	b1409//
ArcA_CRP_TreR	b3063//b1798//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b3494//b0605//
ArcA_Cra	b1924//
ArcA_Cra_FNR_H-NS_HypT	b4416//b3701//
ArcA_CysB_FNR	b4242//
ArcA_FNR	b3925//b3869//b3609//b1073//b3005//b3093//b0429//b1540//b1621//b4196//b0335//b4705//b4406//b2060//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b2617//
ArcA_FNR_Fis_IHF_NarL	b1546//b0511//b0216//b3925//b1229//b2290//b0296//b1654//b3316//b3222//b4441//b3188//b2724//
ArcA_FNR_Fur_IHF	b3125//
ArcA_FNR_IHF	b1681//b3231//b0786//
ArcA_FNR_IHF_NarL	b3006//b1712//
ArcA_FNR_NarL	b3786//b4450//b1324//b1901//
ArcA_FNR_PhoP	b3743//
ArcA_FNR_PuuR	b3127//b1951//
ArcA_FadR	b0385//b1890//b3513//
ArcA_FadR_Fis	b0931//b1817//
ArcA_Fur_Lrp_ModE	b2965//b0116//b1914//b1410//b3869//
ArcA_GlcC_IHF_PdhR	b2296//b0084//b3912//b0390//b0338//b1304//
ArcA_LexA	b0794//b3417//
ArcA_LldR	b0335//b1440//b1302//
ArcA_NarL	b4408//b2866//b4119//b4392//b1306//b4132//b1611//b2588//
ArcA_NtrC_PhoP_RutR	b0475//b1683//b0347//b0075//b1002//b0950//b1670//
ArgP	b3845//b1256//b1810//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b0440//b4123//b1608//
ArgP_CRP_FNR_Fur_Nac	b0597//
ArgP_DnaA	b3665//b1967//b2287//
ArgP_Lrp	b1220//b0508//
ArgP_LysR	b4291//
ArgP_PhoB	b1674//
ArgR	b0484//b3615//b1564//b0377//b1283//b2905//b0849//b2152//b0383//b3429//b3190//b1184//b3231//b0231//
ArgR_CRP	b0583//
ArgR_CRP_Fis	b0889//b4467//b4027//b1011//b2372//b1083//b0998//b0904//
ArgR_Fis_IHF_PepA_PurR_RutR	b1905//b4445//
ArgR_H-NS_NtrC	b2369//b4202//b1407//b1729//
ArgR_NtrC	b0038//b3454//b2529//b4450//b3128//
ArgR_PhoP	b1131//
ArsR	b0931//b4198//b0903//
AscG	b3432//
AscG_CRP	b1743//b3124//b1011//
AscG_CRP_PhoB_PrpR	b3224//
AsnC	b4160//
AsnC_MraZ_Nac	b3166//
AsnC_Nac	b0231//b2085//
AtoC_IHF	b1009//b4435//b0792//b2991//
BaeR_CpxR	b1797//b3236//b1264//b4007//b0588//b2661//b3859//
BaeR_CpxR_EvgA	b0382//
BasR	b3751//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	b0062//b4370//b2194//b3742//
BasR_CpxR_PdhR	b3359//b4511//
BasR_Fis	b0892//
BasR_H-NS_IHF_NagC_NanR	b1578//
BasR_MarA_PutA	b0382//
BasR_PhoP	b4400//
BasR_QseB	b4315//b3608//
BirA	b2676//b3323//b1442//b0048//b0757//
BluR	b0074//b0726//b1247//b2403//
BolA	b2074//b2838//
CRP	b1783//b0652//b2852//b1905//b3190//b3969//b4075//b0575//b0849//b0340//b0396//b1532//b3357//b2312//b3756//b0606//b4062//b3961//b2239//b4133//b4076//b4120//b4355//b1680//b1747//b1230//b1237//b3609//b0031//b2147//b1922//b4159//b1083//b2485//b3624//b0574//b1225//b3723//b0794//b1263//b1132//b1615//b0617//b1528//b2077//b1569//b0365//b2539//b3959//b1038//b4019//b1184//b3603//b2758//b4365//b0081//b4160//b3791//b3261//b3572//b3609//b4153//b3927//b2987//b1900//b3092//b0037//b1501//
CRP_CaiF_FNR	b2068//b2371//b3481//b1982//
CRP_ChbR_NagC	b4059//b2282//b1012//b1670//b1015//b1247//
CRP_ComR	b3758//
CRP_CpxR	b3062//
CRP_CpxR_CytR	b3093//
CRP_CpxR_CytR_DnaA_IHF	b4013//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	b1738//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	b0106//b3137//b2528//b2824//
CRP_Cra	b0036//b3501//b3568//b0854//b4511//b3038//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	b2213//b3338//b1305//b0604//
CRP_Cra_FNR_PdhR	b1263//
CRP_Cra_Fis	b2551//
CRP_Cra_Fis_GlcC	b2236//
CRP_Cra_Fis_MtlR	b0778//b1888//b3225//
CRP_Cra_Mlc_NagC	b0156//b1007//b2904//b2805//b2498//b2196//
CRP_Cra_PrpR	b0440//b2697//b1076//b1939//
CRP_CreB_Fis_MalT	b2213//b2663//b2725//
CRP_CsiR_H-NS_Lrp	b1182//b3455//
CRP_CsiR_H-NS_Lrp_Nac	b0996//b4116//b4249//
CRP_CspA_Fis	b4159//
CRP_CytR	b4392//b2476//b3541//
CRP_CytR_DeoR	b0839//b3140//
CRP_CytR_DeoR_Fis_ModE	b0697//b4070//b3408//b1283//
CRP_CytR_Nac	b2379//
CRP_CytR_NsrR	b2679//
CRP_DcuR_FNR_NarL	b4096//
CRP_DinJ-YafQ	b4037//
CRP_DnaA_Fis_PurR	b0084//b0428//
CRP_DpiA_ExuR	b1163//
CRP_DsdC	b4506//b3184//
CRP_EbgR	b2465//b0672//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	b3742//b4399//
CRP_ExuR	b3507//
CRP_ExuR_FNR	b2687//b0729//
CRP_ExuR_OxyR_UxuR	b3968//b1071//
CRP_ExuR_UxuR	b0731//
CRP_FNR	b3941//
CRP_FNR_FhlA_HyfR	b3276//b2661//b1296//b2372//b4249//b0150//b0039//b1517//b4613//b0886//b3367//b0388//
CRP_FNR_Fis	b3477//b3759//b1669//
CRP_FNR_Fis_GlpR_IHF	b2552//b1567//
CRP_FNR_Fis_H-NS_SlyA	b2159//
CRP_FNR_GcvA_Lrp_PurR	b0140//b2507//b3556//
CRP_FNR_H-NS_NarL	b0335//
CRP_FNR_IHF_TdcA_TdcR	b1736//b4085//b0937//b1335//b4098//b1716//b1651//
CRP_FNR_NarL	b0887//b3128//b4384//
CRP_FeaR_NsrR	b2531//
CRP_Fis	b3906//b1421//b1926//b0976//b3601//
CRP_Fis_FlhDC_GalR_GalS	b1164//b0070//
CRP_Fis_FliZ_IHF_Lrp	b3625//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	b2808//b1566//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	b1712//b2819//b3161//
CRP_Fis_IHF	b0618//b1003//b0850//b0904//b4397//
CRP_Fis_NanR	b2573//b2492//b3612//b4315//b0619//
CRP_Fis_NtrC	b3118//b3118//b4073//
CRP_Fis_XylR	b1715//b0190//b1397//
CRP_FlhDC_GalR_GalS	b0072//
CRP_FucR	b4311//b0463//b3603//b0683//b1945//b2707//b3726//
CRP_Fur	b4673//b1396//b0605//b1002//b0074//b0891//b0536//b2913//b4026//
CRP_Fur_HypT_PdhR	b1296//b2497//b4458//b2584//b3793//
CRP_Fur_OxyR_SoxS	b3515//
CRP_GalR_GalS	b2222//
CRP_GalR_GalS_H-NS_HU	b1892//b3831//b0589//b3758//
CRP_GalR_GalS_NagC	b3976//
CRP_GlpR	b1939//b4075//b4316//
CRP_GntR	b2559//b1474//
CRP_GntR_IdnR	b2751//b4408//b4039//b0074//b3507//b3365//b2605//
CRP_GntR_IscR	b3094//
CRP_GutM_GutR_H-NS	b3357//b4406//b2240//b0441//b1221//b1258//b0447//
CRP_H-NS	b2530//
CRP_H-NS_HipAB_HipB_NtrC	b0366//
CRP_H-NS_LacI	b0301//b1518//b0384//
CRP_H-NS_LeuO	b3785//b4438//b2092//b0462//b3730//b2631//b3770//
CRP_H-NS_MqsA	b2756//
CRP_IHF	b2279//b1203//b0087//b4159//
CRP_IHF_MprA_OmpR	b2839//
CRP_IHF_NsrR	b3477//
CRP_IHF_PaaX	b2150//b2685//b1714//b3125//b4000//b2414//b0066//b3091//b1082//b3012//b3266//b2202//
CRP_IHF_UlaR	b3186//b1184//b3366//b1212//b0557//b3092//
CRP_IHF_YiaJ	b2402//b3481//b3311//b3701//b1739//b0979//b2085//b4213//b4111//b0536//
CRP_LexA	b0615//
CRP_Lrp	b0080//b1078//b4024//b1851//
CRP_Lrp_Mlc	b1224//
CRP_Lrp_Nac	b1485//
CRP_LsrR	b4000//b3771//b0428//b3616//b1429//b3759//b2588//b3969//b0051//
CRP_MalI	b0724//b3615//b0931//
CRP_MalT	b0864//b0082//b0723//
CRP_MalT_PhoP	b2196//
CRP_MelR	b3515//b2937//b1569//
CRP_MetJ	b4699//
CRP_MhpR	b2242//b0912//b2484//b0673//b0617//b4111//
CRP_Mlc	b3723//b0721//
CRP_ModE	b3531//b3092//b3806//
CRP_MurR	b3092//b0734//
CRP_Nac_NsrR_PhoB	b2476//
CRP_NadR	b3513//
CRP_NagC	b0431//b3558//b1702//b0063//b4270//b1190//
