#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rbsR//gntX//
Ada-Methylated_pos	glcC//rrsC//aroL//metF//
AlaS-L-alanine_neg	garK//
AllS-allantoin_pos	cysI//gdhA//glcE//
AraC-L-arabinose_neg	metE//ybfN//cas2//ilvL//yebE//prpR//edd//fhuD//
AraC-L-arabinose_pos	phnJ//livK//osmC//csgB//exuT//ydeO//phnL//narX//ilvC//ebgA//
ArcA-Phosphorylated_neg	fhuB//treR//melB//bcsB//yebE//malK//rplM//rpmC//fucR//pgk//hycG//rpsF//cusS//phnK//prfA//gcvT//prpE//entD//cysC//rdoA//rnhB//manX//malM//fecR//lpd//alaU//cydC//motA//sucD//yqjI//acs//crp//lacY//puuC//atoE//pheM//yeaE//purC//treC//betT//fnrS//aroP//iraD//trg//slt//xapB//baeR//cynR//sohB//ampD//tauD//tdcF//mhpB//gdhA//iraM//gadB//ykgR//rrfA//phoQ//rrfD//lolB//galM//preA//ompC//sroD//glpR//xylA//hycH//nanC//uidA//iscA//hypE//hofC//yaiA//artQ//ulaE//modA//appB//ychH//fur//yhcH//ydeJ//atoB//ptsH//motB//xapA//garK//uidA//rrfG//mhpE//acrB//bcsZ//feaB//phoA//ssrS//phnH//hdeA//tfaQ//ybfN//rseC//nikE//argI//xylF//cusC//mltC//bglF//hyfR//glgP//rof//fdnH//xylG//yfdE//thrS//gspE//fhlA//ugpE//lolB//aceA//dpiB//atoE//treC//hisM//ygiC//aceE//cpxR//hisP//xylA//
ArcA-Phosphorylated_pos	tap//rhaR//pgpC//phoH//metE//atoB//argR//aceB//fliA//argR//bacA//malX//deoA//fes//idnR//creD//argA//rmf//speA//araD//astE//deoD//cusB//prs//moeA//dsbA//mutY//tdcF//abgA//yjeF//hybO//yeaR//purA//glcB//purM//rnlB//dcuR//upp//rmf//glgP//mhpT//artI//dps//rbsD//rrfH//gapA//moaA//rplD//spf//yhiD//rpoE//osmY//rpsR//paaI//ydhY//xylR//galP//mipA//
ArgP-L-arginine_neg	crl//
ArgP-L-arginine_pos	nlpE//gltT//ilvY//nrdI//ugpE//cheY//pheM//ydhY//purE//manA//rpsQ//hyfJ//puuA//purR//dmsC//
ArgR-L-arginine_neg	abgA//entS//infC//csgD//yegZ//uidC//hmp//yegR//envY//sbcC//fldA//rrfG//rybA//phnK//cysH//rrlC//hofB//hofP//gutM//hofP//glpB//hycH//csgE//nirC//fepG//bglB//yegZ//manA//fimH//fhuE//tadA//mtlR//citE//pyrC//
