#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	dadX//hyfI//
Ada-Methylated_pos	mtlA//cheR//psd//bglB//
AlaS-L-alanine_neg	fepC//
AllS-allantoin_pos	ebgC//nuoB//glnG//
AraC-L-arabinose_neg	yqjH//cusA//hycD//hyaD//malP//treC//cydC//hdeA//
AraC-L-arabinose_pos	slyB//qseB//tnaA//mutY//glpB//nikD//gabD//phnC//srlR//fucP//
ArcA-Phosphorylated_neg	norW//ptsI//tktB//aaeR//lsrA//gspF//lsrA//csgB//mtlR//yfdV//gatC//zraS//gnd//dppD//araA//ccmC//argE//sbcD//fecR//ogt//nrdF//ftnA//uidB//rrlE//fhuC//purA//ynfK//sdaA//srlA//uidA//yaiW//nagC//soxS//lacY//nagC//iclR//ygiB//cheB//rrfF//metH//gatD//grxD//cpdB//norR//appC//fur//rutE//hofO//aer//cbl//gspE//feoB//sufD//alaA//acrE//polA//pgaB//osmY//hemL//yfdX//ugpQ//feaR//ykgR//fliA//cheZ//bglF//rhaS//cpxA//grcA//pstC//ydeA//gspD//rpoS//glpC//iscR//prs//argT//zinT//aceB//narJ//csgB//prpC//rpsJ//tam//motA//dnaE//ubiA//ydeA//evgA//paaI//ompT//livK//mhpB//ilvL//actP//garR//nrdG//rutD//tnaC//ndh//dppF//xylF//aroP//entD//malK//cusC//hybC//fucK//uhpC//hybB//katE//lamB//slyB//ugpC//chbR//fadB//abgT//phnO//galM//phoR//map//fdhF//hyaA//malP//ccmC//ssuE//ygeA//
ArcA-Phosphorylated_pos	alaS//ssuE//torR//phoU//gltW//hycC//ubiX//rbsA//hemA//ilvN//gltB//ynfG//rybA//ahpF//dcuA//garL//malS//nfuA//lamB//gatA//caiA//mutL//metL//rpoE//acrA//cbl//uxaA//pstC//feaR//purF//nirC//pgaA//degP//glcG//grxD//yfdX//galE//tktB//ysgA//dsdC//yegR//ilvL//purA//nuoE//cynX//cysD//citE//avtA//malI//ccmG//hemA//lldR//trpC//nrfA//bioC//hybB//zraR//cydB//
ArgP-L-arginine_neg	ppdD//
ArgP-L-arginine_pos	xylG//malF//dadX//lpxA//yneM//yojI//fliZ//gltW//glpE//mhpD//fecI//frdD//frdD//argA//ubiA//
ArgR-L-arginine_neg	micF//narI//copA//nuoJ//pitB//yhjC//entC//dnaE//fimE//dgcZ//abgA//nanA//dcuA//ugpB//xdhC//pck//oppF//murP//feaR//hcr//cheA//sdhC//dcuC//ascF//glpE//gapA//lacY//cyoB//tdcA//rhaT//rybB//aroP//ptsI//cynS//
ArgR-L-arginine_pos	mipA//ssb//glnK//cyoD//gyrA//
AtoC-phosphorylated_pos	sbcD//entD//yoaG//sodB//
BaeR-Phosphorylated_pos	pgk//pitB//napA//entD//puuP//hycE//idnO//tpx//
BirA-bio-5'-AMP_neg	araA//frdC//prpC//asr//prpB//
