#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ygbA//fimI//
Ada-Methylated_pos	hfq//cheY//prpB//uxaA//
AlaS-L-alanine_neg	bioF//
AllS-allantoin_pos	tnaB//malS//paaB//
AraC-L-arabinose_neg	rimM//napF//lysU//rof//chbR//rbsA//dppC//pyrC//
AraC-L-arabinose_pos	cysA//iscA//ivbL//pgaC//gyrA//dpiB//focA//nrfF//kbaZ//rplW//
ArcA-Phosphorylated_neg	feoB//pgk//purK//rybA//fnr//dmsA//hycC//pnp//cydD//sbcD//guaB//gspE//paaG//nanM//rrsG//hfq//rplS//tfaQ//glcF//dnaA//rnlA//dnaN//ndh//rprA//bamA//citE//ygeH//dkgB//ulaC//appB//mpl//ubiX//fimA//cadC//gntU//yaeP//guaB//feaB//asr//phnJ//pagP//argO//flhC//entD//xylB//paaZ//hyaE//treB//hyaB//evgA//hyaE//srlE//tyrA//hyfD//rrsH//yjcH//xylG//ykgM//ssuE//hycF//yqjA//metI//paaD//argD//grxD//alaT//prs//cstA//fecD//cysW//fecA//fdnH//rpsP//phnI//fes//pheM//caiF//casD//uraA//lldP//speA//lsrF//phnI//crl//ygiC//gcvP//aaeR//paaH//napH//phnL//paaI//purD//feoB//metY//nrdD//aspC//glcD//frc//nrfA//ydhW//amtB//metN//hdeD//cynS//glgB//rrlD//hyfC//idnK//metE//hypF//bioA//betI//cynS//bcsZ//manX//mtr//ynfG//lldR//puuB//cyoC//argC//glcA//entF//astB//glnA//dppC//tadA//
ArcA-Phosphorylated_pos	phnC//livF//zraR//xseA//oxyR//narX//zwf//livG//katG//motA//ubiG//appA//ftnB//ahpC//fimA//dsdC//oppB//nuoE//phoH//glcD//dcuS//yjeF//gcvP//rpoH//argR//nupG//erpA//rplW//sufC//ptsG//fepC//narL//aceK//fumB//yggX//sucD//dcuB//rpoS//mdtC//cadB//aspA//ugpA//ulaB//lsrD//glnL//dnaN//ilvX//sufE//rrlH//ydeJ//moeB//entH//hybE//galS//rpoE//cydB//cpxA//znuC//
ArgP-L-arginine_neg	xylA//
ArgP-L-arginine_pos	rpsJ//ynfG//tsr//paaA//astB//alaU//astC//azuC//yedX//cspE//hyfF//caiT//nagC//fnr//ryhB//
ArgR-L-arginine_neg	katE//glpB//sodB//mdtC//rrfD//mtlR//rpsS//hslJ//hybO//rplV//phnO//paaC//yhjA//safA//rutF//yfdV//cysI//fhuC//aceF//nikA//glgS//phnM//hofP//fhuD//astC//atoD//rplP//rrsG//manX//aspA//fumB//carB//ppiA//cyoA//
ArgR-L-arginine_pos	hybG//narH//pagP//phnI//modC//
AtoC-phosphorylated_pos	ascF//ilvH//udp//fepA//
BaeR-Phosphorylated_pos	aroL//sodA//metC//tauD//murQ//glgA//torD//cynR//
BirA-bio-5'-AMP_neg	yoaG//nanC//nrfB//alkA//rof//
CRP-cAMP_neg	uxaC//modC//hpt//dmsB//srlE//cheB//skp//ccmG//metK//fucU//nrfC//safA//amtB//dmsA//rhaB//ynfG//dppF//phnG//nikC//nrfF//bacA//pta//narX//creC//narH//infC//rnhB//glpC//feoC//bioC//ydhY//yeiL//alkB//bioC//nikA//chbF//galS//rseA//argH//ydhY//tdcD//pck//rplV//aer//yqjH//exbB//trpL//tsr//zraS//cadB//citE//tcyJ//safA//phoE//motA//dppC//cheA//mgtL//yjjZ//galM//xapA//phoH//mltC//efeU_2//fbaA//mcaS//bhsA//hycI//manZ//mipA//hybB//mglB//znuB//raiA//infB//chbC//gltF//moaC//argA//bamA//efeU_2//bioB//patZ//flhC//gcvH//purR//sdhB//acrB//bioA//oppF//nuoK//ileU//frdA//oxc//aaeA//dcuB//fbaA//cirA//mhpD//codA//aroA//ytfE//xylH//dcuB//uxaC//lacY//ccmC//phnN//uxuA//rrfE//phnE_1//ydhW//napD//rpsQ//ulaF//fucI//zraP//lldD//metE//glpX//ccmE//pstB//tar//rpsF//ogt//purM//caiF//mtlR//ykgM//ilvC//gspH//ydiU//yneM//
