#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rnhB//lldR//
Ada-Methylated_pos	bioB//xdhB//manX//rbsA//
AlaS-L-alanine_neg	lamB//
AllS-allantoin_pos	tpx//yoaG//malS//
AraC-L-arabinose_neg	exbD//araG//gnd//fecB//gyrA//hybF//gapA//gltW//
AraC-L-arabinose_pos	rutG//glpR//cydD//entD//hypB//ynfK//hybG//modC//rhaS//napF//
ArcA-Phosphorylated_neg	zntA//oppC//trpL//mutL//zinT//dsbA//argG//fadB//glgB//fimC//ispE//gatD//ydfH//deoC//sbmC//marR//rpsO//glgX//fadA//nikE//dps//nrdE//ydfH//nanT//argH//xapB//ftnA//xylH//rstA//galP//ccmH//glgA//ydhY//prpB//livJ//glnG//yeiB//map//metH//rprA//araA//zraS//caiB//citG//entS//tehA//ilvB//aroF//uxaB//yhhY//csgC//mgtA//allC//guaB//tap//cysM//nirC//idnD//uhpA//manA//fiu//rrsA//zraP//zntA//mdh//purH//dpiB//ybdZ//pncB//malM//ccmG//hisP//nuoB//actP//idnK//mdtD//tpx//pncB//purR//epd//fabZ//speB//appB//rpoE//pyrD//efeU_2//rrlG//metL//cvpA//rnlB//gadB//rrfE//hflK//paaB//yccA//ppdD//ydiU//chbB//hyaD//aceE//ascB//nmpC//idnD//erpA//ydeN//ybdZ//gspE//araD//xseA//caiD//actP//yibN//chiP//torC//sufA//sucC//ilvM//lsrR//araA//malS//sdhA//znuA//purD//tktB//bioA//ssuA//cydC//
ArcA-Phosphorylated_pos	rpsO//hypE//yibN//rrlC//glmY//ssuC//agaV//map//udp//lsrF//mdtA//gntT//mutY//moeA//rstA//ygiB//raiA//dusB//bamE//tyrR//crr//tnaA//narJ//ryhB//pepT//caiB//ilvE//casB//nrfG//amtB//rhaS//ulaF//gcvT//yhfA//fecB//mdtC//argA//metA//abgB//metI//fepD//gapA//rbsC//idnO//mdtC//puuE//dcuB//melB//yggX//tdcF//yjjZ//prs//rplI//nlpE//tyrR//fnrS//rdoA//sdaA//
ArgP-L-arginine_neg	betA//
ArgP-L-arginine_pos	nanK//argE//thrV//hypA//ccmC//xylB//pgaA//argH//ompR//zraR//abgT//abgB//hydN//tsr//hypF//
ArgR-L-arginine_neg	metB//phnJ//appB//ykgM//feoA//gatC//carB//narQ//uidA//hycC//lsrD//aaeX//nagE//hyaB//cynX//glnA//fepA//malS//mglC//modC//glnL//pstS//hyfC//yoaC//bglB//aroF//pyrC//bamA//purB//appX//aspC//phnN//prpD//motB//
ArgR-L-arginine_pos	fnrS//moeB//tdh//acnB//narI//
AtoC-phosphorylated_pos	glnA//ccmD//yidQ//hflK//
BaeR-Phosphorylated_pos	mntH//paaD//gspE//betB//lpxA//gltV//citD//rstA//
BirA-bio-5'-AMP_neg	gspL//cbl//nanK//nrfD//nac//
CRP-cAMP_neg	fimI//ompW//fau//narQ//iscU//pagP//trpR//phoR//livH//mntP//yjjZ//ppiA//mlc//glgP//preT//recF//fhuF//bioA//sodB//ebgC//ptsI//cysN//evgS//ebgC//ulaE//sdhC//fepA//ybdZ//aroP//sodA//artM//lsrF//arcA//hofN//trxA//yaiA//rof//ilvL//ogt//garK//ugpE//rbsC//rutE//rof//iclR//artP//fes//gltW//ydiU//aaeX//slt//modC//marA//ydeM//rof//tnaC//rhaB//sufD//argE//fepD//aceF//xylH//rrlD//rrlA//dsbA//yneM//ugpE//yggX//dkgB//mglA//ileV//fixC//purA//csgG//dcuA//ascF//tyrP//ilvX//rcnA//rutE//ydhU//ychO//argD//hyfJ//abgA//amn//ydhY//lsrK//nuoB//mltC//hdeB//bamE//dusB//cyaR//pgaC//araG//mutL//chbC//araF//fadI//atoA//tauA//rpsJ//aroL//abgB//gabT//dmsD//nagB//fecB//ykgR//rbsC//aroA//hybE//ilvD//ybfN//cusF//mutL//cysN//tap//hycE//caiC//nrfE//cusB//lldP//lsrR//ftnB//puuB//fecC//lysU//norV//ung//nanK//gntR//
