#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ansB//feaB//
Ada-Methylated_pos	nikE//fiu//trmD//gcvP//
AlaS-L-alanine_neg	gntP//
AllS-allantoin_pos	malX//xylG//oppB//
AraC-L-arabinose_neg	casA//glgP//rrsG//umpH//ccmF//cyoD//hyfH//gapA//
AraC-L-arabinose_pos	tsaE//gltA//gpsA//dpiA//rrsA//raiA//hflX//cspD//pstC//ynfH//
ArcA-Phosphorylated_neg	abgA//rrfD//rseA//malQ//soxR//rhaR//hflX//rpsF//mgtL//rhaR//rrlD//aroA//phoH//yecR//nrdD//yrbL//lsrK//argR//astE//fadB//ilvM//zraR//gadB//casB//crl//lldR//rybB//nuoJ//garL//chbA//dppA//speA//nrdA//dppC//oppB//rhaA//murP//rybA//hypB//speB//rrlA//thrV//tam//feoC//yjiY//hydN//aceB//prs//murQ//frc//hofP//frdB//livJ//appC//metY//znuA//hybD//csgD//dusB//csiD//lpd//serA//talA//spy//argT//pitB//nikA//dpiB//marB//nfuA//glpE//ydhT//mepH//pdhR//ynfG//cusR//ppiA//ydhT//metK//rnlA//fumA//ygaC//hofM//treC//hypB//rybA//nrdA//araA//srlB//atoA//xdhB//ilvE//deoA//araF//acnB//uxaA//mhpA//crl//ugpB//yfiP//mepH//rbfA//fepA//tktB//cyaR//argE//malP//sucC//malP//trg//ppiA//glpF//nikE//uhpB//gspL//dnaN//nrfD//rpsQ//araB//dsbA//galS//rutD//cynT//hybB//paaB//yjeF//puuB//
ArcA-Phosphorylated_pos	livK//rhaB//tnaC//mhpR//bioD//fucA//cas2//metK//rhaS//envZ//zwf//mhpF//cysN//nuoM//aceB//yecR//rplP//fhuB//glpQ//torC//aroH//ynfK//crr//fimA//safA//serC//hyfR//ilvH//gltA//araF//ugpB//citG//entB//gdhA//yoaC//alkB//gntX//fepD//lsrR//feoB//cyoB//pncB//rplI//cyoC//malT//hypC//ppiA//sxy//glpR//rplT//rplI//treC//envY//rpmC//metQ//codB//rutE//putP//
ArgP-L-arginine_neg	ahpF//
ArgP-L-arginine_pos	osmY//manA//amn//fecR//galP//sodB//gltD//argP//casA//nohA//dcuR//ccmF//yojI//purL//prmC//
ArgR-L-arginine_neg	flhC//mgrB//srlD//tam//ygeA//entH//tdcF//uxaA//pagP//araH//prpR//fecE//frdA//citC//fhuF//citC//casE//mtr//nikC//hycF//garP//appC//pagP//ileT//rprA//cydC//ompT//ampE//ygiB//carA//rutF//pnp//acrD//dps//
ArgR-L-arginine_pos	ccmC//argE//ogt//tdcB//rplM//
AtoC-phosphorylated_pos	rpoH//ysgA//metJ//zntA//
BaeR-Phosphorylated_pos	trpB//malM//nuoF//rrsA//arcA//narQ//hflK//chbA//
BirA-bio-5'-AMP_neg	fepB//cheR//phoB//qseC//codA//
CRP-cAMP_neg	nuoJ//yhhY//ubiG//cynT//yqjA//feaB//grpE//aidB//amiB//aceK//puuE//gutQ//yfbR//aaeR//xdhC//sdhB//tauC//xylG//rutD//iscR//bioA//paaJ//nagA//gpsA//prpR//cydA//nuoA//mutL//glnG//fhlA//fhuD//yfeW//paaZ//glcB//fhlA//bhsA//kbaZ//acrF//rseB//nanA//hyaA//garR//alaU//yibN//gyrA//rrlH//appA//rrlC//lolB//yhhY//metH//ilvL//fimH//frdC//gltF//puuC//gabT//paaH//paaB//caiE//map//yjeF//cadA//galT//hybE//hofO//codB//ygaC//psiE//hycF//appY//alaV//yjjZ//ilvA//yiaJ//oxyR//agaV//hyfF//yegH//galK//envZ//tfaQ//yedX//yaiW//tam//mhpT//ydeA//aroP//argO//rbsK//deoC//pyrD//dppA//rbsB//araJ//hlyE//nuoB//malM//dppA//gpmA//metA//secB//sdhD//astC//yfdV//ybjG//aroG//melR//rrsH//yneM//hyfF//qseC//glcG//lysO//adiC//rseC//aceB//rpoS//acrA//gltW//ompT//qseC//araD//metY//metR//nagE//nikR//guaA//ugpA//aceK//ygiA//yfbR//tcyJ//
