#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rrsE//aer//
Ada-Methylated_pos	xseA//rplI//spy//ydiU//
AlaS-L-alanine_neg	malM//
AllS-allantoin_pos	malX//rplP//fdnH//
AraC-L-arabinose_neg	znuA//dadA//frdB//fecC//ycjX//cyoD//hyfB//sdhA//
AraC-L-arabinose_pos	betI//mzrA//hybO//rcnB//moaD//mipA//ulaC//rbsR//purF//cirA//
ArcA-Phosphorylated_neg	yfaE//gyrA//copA//lsrR//feoC//tdh//ygeH//ahpC//ccmA//agaA//dnaA//dnaN//livM//iraD//napG//chbG//ascB//ydhT//gntT//focB//glgP//cyoE//ykgR//fadI//arcA//ptsG//phnJ//gspC//appB//rimP//ydfH//prpB//ugpE//marR//fixB//exuT//efeU_1//hycB//zntA//yeaE//entD//rrfE//gspH//mdtC//uxuR//lsrB//nrdD//ulaD//tyrP//pgaD//sohB//sbcC//ampD//ilvY//oxyR//mglC//fiu//nuoG//pdhR//phnP//purB//yciW//rpoS//norW//hdeD//sbmA//ulaE//rplW//baeS//glgX//dusB//yeiL//araE//glpQ//motB//icd//ulaE//lolB//csgB//emrY//gltW//cynS//ugpB//glgC//phnJ//nlpE//phnJ//pflB//artP//artI//malP//nanT//mtr//hyfF//iraM//gyrA//ubiG//ilvM//yaeQ//flhD//sbcC//fecD//rutD//dmsB//rplM//csgC//alaV//hcr//tdcF//gatY//fhuF//cysG//idnD//safA//chiP//uhpT//malT//cysW//rpoS//aroA//malZ//cyoB//uidA//rrlB//glgX//tdcD//proP//
ArcA-Phosphorylated_pos	garK//gspE//ugpB//dcuC//cspE//crl//rrsH//hlyE//nfuA//fldA//ubiC//mutY//glcG//sbcC//dsbA//narL//carA//fadA//chbF//lldD//gabD//sufE//rbsD//cusB//gltT//rprA//entD//tsr//slt//mtlA//sbmC//phnM//nikB//treR//ilvN//sbcC//paaH//ydfN//rplW//preT//rpsS//casE//codA//mhpC//nirD//yneM//alkB//fucU//ompW//tdcD//tehA//hflD//fepE//yibN//metJ//metR//astA//gatD//
ArgP-L-arginine_neg	cpxR//
ArgP-L-arginine_pos	bamE//fau//citX//pstC//sufB//entD//norW//rplP//nuoB//uhpA//fhuD//glpR//rbsC//napA//idnD//
ArgR-L-arginine_neg	yebE//purA//tpx//csgG//nrfB//glrR//dmsD//fdhF//astA//fucU//uxaB//mhpC//rrfD//ppiA//fldA//araH//nikR//ispE//cyoD//efeU_1//ssuC//rhaB//proP//rplS//gpmA//rnlB//exuT//betT//araC//aceE//amn//lysC//xdhC//fixB//
ArgR-L-arginine_pos	preA//glcE//alaT//dnaE//gdhA//
AtoC-phosphorylated_pos	dsdC//sdhD//hfq//napB//
BaeR-Phosphorylated_pos	phoB//gntK//fadL//napF//dppF//cpxR//deoD//cydA//
BirA-bio-5'-AMP_neg	glpQ//pheM//cstA//nuoM//ssuA//
