#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	qseB//tyrB//
Ada-Methylated_pos	aroH//fepB//rrsA//citE//
AlaS-L-alanine_neg	hflD//
AllS-allantoin_pos	rutA//ygiA//tehB//
AraC-L-arabinose_neg	fumC//erpA//gnd//marR//cyaA//ynfK//betT//trpA//
AraC-L-arabinose_pos	argD//ubiA//hyfJ//gnd//lpxA//iscA//skp//csgF//nrdE//tktB//
ArcA-Phosphorylated_neg	csgG//rrfH//rrsB//aceB//talA//phnI//lpd//codB//rrsD//phoP//gcd//aaeX//preT//rpsO//malP//miaA//moeB//ilvH//hisP//nuoI//araJ//livG//infB//nlpD//dadA//nirD//mhpF//metH//pstA//ccmA//raiA//fimI//yqjH//arcZ//fhuA//dcuS//torA//rrlE//dcuC//gatD//psd//rprA//priB//sufE//yibN//mntS//hisQ//nikR//xylR//purL//phoH//ugpB//aroP//yebE//puuE//fhuA//truB//ompX//yaiW//ydbD//glgP//hycG//ybjG//mntP//ileU//ydhX//lsrR//gntT//yhcH//hybE//uvrA//zraR//ynfE//hypE//upp//ampE//ynfH//nrdI//paaF//ccmE//tsx//sodB//melR//rpsI//fau//mtr//astB//lysC//hycC//ryhB//caiD//uof//glgP//ackA//dmsC//trg//nuoM//metH//ansB//fucU//agaA//zwf//aaeR//rrlD//yegH//glpE//ybfN//yccA//phnH//alaU//rplT//cspD//chbG//pck//mdtA//osmC//gntU//ybdN//glcG//hcr//tyrP//ydhT//cvpA//astB//metL//araH//araA//
ArcA-Phosphorylated_pos	rhaT//ssuE//cdd//xylH//sbmC//fadD//rrfB//comR//aaeB//infC//sodA//rseC//ccmG//alkB//puuR//lsrA//hfq//zraP//dgcZ//purK//ubiG//ygaC//cspD//fecE//dsdX//hyfI//lpxA//hycF//malG//yhhY//glnK//nuoF//fepC//dsdC//purD//hybC//rrsD//ygeH//prpE//torC//appY//dsdX//fecI//nrdA//uvrA//nrdI//mdtD//icd//phnI//ygeA//phnN//nrdE//hyfI//hyfA//rprA//flhD//metB//ysgA//
ArgP-L-arginine_neg	pagP//
ArgP-L-arginine_pos	cirA//nuoL//nanT//phnK//nanS//yneM//lsrK//rpsS//araB//efeU_1//cysM//sufA//sufB//frdD//xylH//
ArgR-L-arginine_neg	cyoC//cyoE//metJ//spf//nadC//cynS//focA//sdhC//gltW//glgX//galP//argB//yedX//nrdD//yrbL//nrdH//hycA//rbsR//cusR//puuE//nrfE//argI//modC//metE//cdd//dnaA//mhpE//creA//ydhX//pheM//psiF//rrlB//entB//xylF//
ArgR-L-arginine_pos	abgB//nikD//ssrS//glpF//fhuB//
AtoC-phosphorylated_pos	metK//nirB//livF//aidB//
BaeR-Phosphorylated_pos	ppiD//araE//aspA//uidC//ygiA//cspD//abgT//ilvE//
BirA-bio-5'-AMP_neg	fis//ilvE//paaJ//csgB//aroH//
CRP-cAMP_neg	exbB//rhaS//nmpC//gnd//lsrG//ldtB//pgaA//deoC//yidQ//hycB//aroM//guaA//hybA//prfA//trpR//manA//torC//dctA//hypE//leuE//nagB//cytR//prpR//tsaE//gspF//trpB//hemA//rnpB//mtr//lsrB//creD//carA//ivbL//napD//dcuD//sroD//cvpA//iscS//entF//fixC//paaD//hyfJ//hha//hslJ//manZ//rrfE//rhaA//ilvB//nagB//ygiC//nagB//phoP//srlD//ilvH//nuoJ//moeA//garL//chbB//rrsE//grcA//fadH//aceF//acrF//moaD//betA//baeS//hflC//napG//lamB//mhpT//idnR//phoH//zinT//glgS//mhpB//tcyJ//iraD//rimM//ssuD//murQ//chbG//bioF//tdcA//lacA//bioF//livH//paaF//napA//psiF//fecB//aaeR//ybjG//tauD//speC//znuC//mgtA//betA//sdhA//paaZ//hybO//cusC//cysU//csgB//amiB//iraM//hycF//fucU//prpE//abgT//fadA//gatA//speC//crr//comR//acrA//cheW//napG//phoE//yjiY//astD//trpD//oppC//fepD//rhaT//yggX//fucO//ilvY//ilvH//hyfR//ygeA//pdeF//nirC//ssuE//
CRP-cAMP_pos	nirB//tcyJ//fhuE//trxA//metF//rpsQ//rrlG//evgA//gatA//argH//mglA//rcnA//sucB//prpB//yfdV//araE//guaA//creA//bioA//abgB//phnG//yjcH//acrA//ykgM//ivbL//frdA//rseC//ulaE//katG//alaU//tsx//gcd//paaZ//gatZ//uidC//iscU//hcp//csiE//uhpC//allD//oppD//pstA//grxD//glcA//ynfK//yoaC//yeaD//iscA//aroF//acrF//gatD//sufE//hyfI//ydeJ//adiC//tyrP//bcsB//nuoA//araJ//hofO//mpl//tnaA//cysC//pncB//yhhY//hupB//oxc//ppiD//fdhF//rrsE//rutC//rpoS//mhpC//tpx//nrfB//phnO//murQ//rutB//rrsA//frc//treR//carA//glcC//gcvP//gspL//purN//cysM//fes//metB//motB//astD//hybA//malQ//pyrC//nuoH//flhC//malS//paaJ//csgE//ykgO//rplD//comR//fecC//lysO//gltB//oppA//tonB//modB//acrB//ydiU//rnlB//uxuR//fdhF//puuA//hyaD//nrdF//argI//yebE//narG//ilvL//cusR//hycE//manX//tyrR//infB//yneM//tdcD//yfaE//ampD//agaW//ileU//sbmA//gatC//artQ//kbl//tyrP//frc//dcuB//uxaA//creC//rybA//nupG//gspH//fdnG//nrdD//ssb//puuA//aceB//rpsF//chbA//bhsA//cyaA//napC//fnrS//cusA//purL//envY//dpiA//fhuB//rdoA//ulaC//hofC//hflX//argR//bdcA//glpC//ilvC//cheB//ydbD//grpE//fadL//yhjA//bioD//xylF//ygbA//yfaE//alkB//srlB//yneM//lrp//sufD//gabP//sufS//ptsH//tauB//casD//iscA//nrdD//hofB//hflX//sxy//cra//galP//chbF//fixB//cysJ//cysP//citE//lsrD//uhpT//bcsA//malS//nusA//ldtB//puuR//csgG//cueO//purE//yeaD//purA//rutG//nupC//tdcC//nanS//rutA//cusS//lacA//yqaE//dcuR//araJ//bglG//ogt//ompW//nrfA//yneM//phoH//lldP//folE//caiF//sdaA//nikB//caiA//pgpC//hisM//yeaE//acrE//thrS//ilvM//cusA//prs//glpX//gatA//idnR//rybB//gutQ//sdhB//grcA//puuA//cyoB//moaE//agaA//glcD//rplI//tomB//phnP//amtB//glpD//preT//cadC//yfdV//yhhY//tdcG//yhhY//nrdF//glgX//nac//sdhB//yhhY//soxR//hypC//prpD//rnlA//lacY//bamE//adhE//amtB//nrdG//hydN//glgX//cdd//purH//nagC//chiP//hyfF//tdcE//agaW//ygiC//napC//glnL//gltA//gspI//rnlB//pdhR//malT//argE//frdD//idnK//malP//hycG//pgaB//trpE//lsrA//dcuD//hyfR//rhaA//gapA//gadC//paaA//yegZ//hflX//nuoK//hyaB//pitB//nuoM//rrsG//entE//hofO//ccmG//betI//fis//yciW//rrfH//fadI//evgA//chbB//rrfA//ybdZ//glgP//puuR//yciW//aroF//pgpC//glpQ//ldtC//alkB//hycF//zraP//hlyE//nikD//yjjZ//fepC//speB//truB//cytR//eda//kbl//hflX//lpd//glpB//ptsH//cydA//cueO//chbF//rbsD//ackA//ilvN//ydiU//nrfC//hflX//aceA//mglB//qseC//fucK//folE//oxyR//chbC//sodB//comR//lldD//cirA//mdh//entC//puuP//dapD//gspO//ydeO//ccmC//abgB//fadI//trmD//yegH//hycH//rutB//argA//ydeP//nirC//arfB//moaD//nupG//entA//fepC//gabD//trpL//ydfH//ynfF//xylF//ygbA//ubiC//mhpC//slt//argF//pheT//entA//tauD//ssuE//aroL//glyA//tktB//ogt//srlD//aceK//rplB//glgB//rnlB//argH//fucI//alkB//tdcA//mzrA//xylH//ydbD//glpQ//rrlG//ompT//glgB//pflB//ynfH//cynT//nadC//
ChbR-Monoacetylchitobiose-6P_neg	cynT//rrfB//moaA//manX//hycC//hypE//
ChbR-Monoacetylchitobiose-6P_pos	deoA//hisM//cusR//malT//cysA//kbaZ//
CpxR-Phosphorylated_neg	livH//nuoI//mgtA//cvpA//ugpC//rcnA//napD//rstA//rrlB//talA//ompF//mhpB//raiA//hupB//psiF//rprA//galP//argD//rimM//fadI//ppiA//copA//hfq//hfq//
CpxR-Phosphorylated_pos	rcnB//yegZ//ynfH//fis//xylG//allC//rhaT//nikD//ccmG//idnR//fimI//entF//thrV//rrfH//csgD//cynR//cysI//malQ//pheM//rrfG//exuT//nupG//aroP//ssuC//aldB//ilvL//mlc//agaV//cbl//yfdX//entA//rrlG//xylA//dsdA//glnG//paaE//ybiT//mtlD//slt//rpsC//ftnA//ilvH//mtlR//dmsA//manA//
CreB-Phosphorylated_neg	fdhF//purL//ulaA//
CreB-Phosphorylated_pos	aroP//dpiA//mtr//hofM//pitA//efeU_2//
CueR-Ag_neg	uvrA//srlB//yiaJ//ada//gdhA//
CueR-Ag_pos	abgB//glgX//
CueR-Cu+_neg	argF//pgaA//sucC//zraR//malT//
CueR-Cu+_pos	gspC//cyoD//
CuerR-Au_neg	malM//puuA//purA//argO//tdcA//
CuerR-Au_pos	acrF//aroA//
CusR-Pasp_pos	glgB//murQ//gltA//rpsF//ydeJ//gspK//fucA//pstA//bhsA//csgF//sroD//fepB//
CynR-Cyanate_neg	betI//
CynR-Cyanate_pos	fucP//betT//rrlB//
CysB-N-acetyl-L-serine_neg	prpR//uidB//ygiC//pagP//talA//codA//creC//
CysB-N-acetyl-L-serine_pos	fepG//glpA//rimP//sufC//phnM//pheT//mhpA//rhaS//yfdE//cheW//ulaD//gatY//hfq//nanK//treB//phoH//ogt//yqjI//appX//talA//nrfF//rplS//deoC//
CysB-O-acetyl-L-serine_neg	chbB//yeaE//ubiA//stpA//mntP//ybdN//dsbA//
CysB-O-acetyl-L-serine_pos	bamA//citX//ssuB//yegR//fiu//prpD//agaW//nadC//ugpA//ynfG//dapD//ccmH//sodA//ilvL//ugpQ//fimF//iscR//yjiY//fucI//artJ//mipA//cysM//thrS//cpxA//
DcuR-Phosphorylated_pos	pheM//cydB//narX//sroD//nrdE//yhiD//uhpC//ysgA//hyfR//
DnaA-ATP_neg	gatB//ydbD//moaB//malY//narQ//hybF//cysN//narX//sdhD//ubiG//chbA//
DnaA-ATP_pos	citF//phnE_2//lpd//rplS//astA//kbaZ//cyoB//
DpiA-Pasp_neg	trpD//
DpiA-Pasp_pos	pheM//zraS//safA//mpl//rrfE//feoA//stpA//lysA//ftnA//abgA//
DsdC-D-serine_neg	fimE//
DsdC-D-serine_pos	bioD//fhuB//
EvgA-Phosphorylated_pos	fdhF//fldA//citG//srlE//glcA//fadA//hyfD//yfdV//icd//pstA//aaeA//treB//citF//pstB//atoB//
