#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yebE//yaiA//
Ada-Methylated_pos	phnO//lldD//hupB//phnC//
AlaS-L-alanine_neg	hyfF//
AllS-allantoin_pos	glgP//rutF//tcyJ//
AraC-L-arabinose_neg	idnR//lsrB//yccA//gatB//hycD//metK//hofN//lysA//
AraC-L-arabinose_pos	trpE//gdhA//glnL//rrsC//csgE//bamA//rrsD//malK//nanA//frdA//
ArcA-Phosphorylated_neg	csiE//mglB//ykgR//idnR//norR//idnR//yeaR//yegH//zraP//phoE//entS//yaiA//entE//rutA//zraR//paaC//cydA//proP//paaA//nac//cyoA//ssuC//purF//argG//srlD//hflK//ydhY//cydB//skp//purE//treB//hflK//paaZ//tar//infB//fimC//glpG//hypC//uvrA//fliZ//nikD//yeaR//ydiU//rof//gntP//alaS//yqjI//gatD//nrdG//alaA//sbcC//gspL//yhhY//srlE//hemL//ppdD//glyA//lsrA//hofP//sufE//marA//rplB//glnK//baeS//dnaE//metA//baeS//feaB//paaD//cusB//hcr//ompW//exbB//bacA//hupB//slt//entH//malZ//rrlG//idnO//mlc//cyoD//fdhF//tyrP//csgE//appX//phoB//rutG//tar//fhuE//acnB//csgD//gltD//hupA//sbcC//cspE//modA//araF//glpX//rrfE//udp//nlpE//cueO//pstA//yfdV//nirB//garK//bglF//fhuB//uidC//znuC//lhgO//lpd//oxyR//amiB//rnlA//dadA//tdcC//araE//aceF//narH//yfdV//gcvT//amtB//artP//caiF//fimH//
ArcA-Phosphorylated_pos	metR//prmC//cpxA//gcvT//hupA//ccmC//glpA//dcuD//napH//araC//infC//nrdB//glpC//bglG//infC//cadC//lrp//emrK//hybF//nac//agaV//mtlR//nikE//feaR//iscA//exuT//phnO//grpE//cynS//prpD//glgA//lsrK//gntR//pgpC//mhpF//yhfA//tdcB//ilvI//rrsH//hypE//cusF//znuB//sdhD//efeU_1//bhsA//hofN//znuC//dmsC//uidB//ccmA//tam//lysO//ubiC//idnR//phnE_1//frdB//araG//hycG//
ArgP-L-arginine_neg	dsdA//
ArgP-L-arginine_pos	moeB//yeaE//fabZ//acrD//deoB//csgF//phoR//puuR//fepB//evgA//hpt//fhuD//fucP//cirA//rnpB//
ArgR-L-arginine_neg	treC//tyrR//cheZ//leuE//prpE//glcD//gspJ//fucO//atoE//fnr//aldB//ychO//pitA//uxaC//yidQ//aroM//deoA//pstA//tdh//hemL//slt//bamA//caiB//acrA//aaeB//fhuF//yeaD//idnD//mgtA//rrlG//moaA//csiD//mlc//hyfD//
