#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	pheM//puuR//
Ada-Methylated_pos	psiE//torD//exuT//oppC//
AlaS-L-alanine_neg	rplD//
AllS-allantoin_pos	garR//fimG//rrsD//
AraC-L-arabinose_neg	phnI//fdnH//pdhR//ydhU//ugpC//yfdV//bcsA//hydN//
AraC-L-arabinose_pos	hofM//ulaA//znuB//rrfC//mhpB//dcuC//atoE//gabT//fucU//tdcF//
ArcA-Phosphorylated_neg	phnG//aer//borD//casD//cheY//yfdV//phnC//casC//trmD//astD//nrdA//folE//yjeV//ulaE//fucR//nrfD//glgB//yfaE//alaA//hyaA//cspE//osmC//modB//ftnA//sufA//glpR//ysgA//acrD//tehA//map//xylR//purM//fecC//ygeA//avtA//malS//hemL//rrlC//ilvI//iraM//ilvB//actP//fhuE//guaA//phnN//frdD//sufC//moaA//zwf//yeaR//citC//chbB//iscA//ftnB//creB//tolC//ysgA//dppB//ptsI//nfuA//micF//nrfG//hybB//hisJ//rutB//araH//fucO//rplM//rrsB//baeR//astA//livG//exuT//ydeA//gcvH//cyoC//paaE//narL//metH//hyaF//cspD//bcsC//ydiU//fdnG//zntA//folE//gatA//chbB//bcsA//nuoN//tauD//bglF//hisP//metN//gltW//pflB//dppD//agaA//uxuA//ilvB//sucD//ychH//abgB//idnR//ybiT//sufC//rdoA//yfiP//sucA//map//ilvY//dmsD//dapD//aspC//tfaQ//artQ//cheW//cydC//fepB//zraP//nadC//phnE_2//uhpT//nuoK//paaG//oppA//dcuA//
ArcA-Phosphorylated_pos	yeaR//uxuA//fucR//fhlA//dppD//purH//ydeO//dsbA//yqjH//atoE//hypF//fliA//nanT//aroA//glnD//puuP//aceA//oppA//caiA//feaB//citX//uhpA//adiC//fhuC//mtlR//araB//yedX//purL//zinT//folE//priB//cbl//nuoJ//cyoB//xapA//moeB//pitB//recF//hflD//xdhC//yoaG//ubiC//ldtC//patZ//ygaC//acrD//rbsC//gltU//astA//focB//sucB//moeB//glnL//gntT//lsrC//glpE//cynS//carB//
ArgP-L-arginine_neg	napC//
ArgP-L-arginine_pos	yjeV//srlB//casC//miaA//nrfE//guaA//yqjA//sufD//nrdG//rbsC//rrlH//oppA//narK//degP//creC//
ArgR-L-arginine_neg	actP//rpmI//hypB//frdD//abgT//glnK//ygiC//feoC//tsgA//prmC//hyaB//pgk//gntX//serC//moaA//upp//ydeN//cynX//yjjZ//tauC//yccA//hydN//argT//ascF//napF//lysU//dsdC//ychO//mtlA//yaeQ//aspA//yggX//lsrR//narL//
ArgR-L-arginine_pos	garP//ccmH//psiF//nrdA//prpE//
AtoC-phosphorylated_pos	gapA//chbF//pstB//galP//
BaeR-Phosphorylated_pos	fhuA//oppD//ycdZ//gspO//gltF//phnE_2//ompT//tadA//
BirA-bio-5'-AMP_neg	nlpE//astE//csgA//cysJ//preT//
CRP-cAMP_neg	erpA//narH//cpxR//gatD//argG//rutC//moaE//dmsA//ugpB//rplT//pgk//gatC//ychH//pgaD//osmY//moeB//moaA//fhuE//tnaB//ampE//ptsH//purA//narJ//hdeB//malT//grcA//bamA//rbsK//puuB//bioA//ptsG//casB//malG//nupG//yciW//fecA//napC//dsbA//copA//napF//rhaS//dapB//dppD//rmf//ygiB//fdnG//glnK//cyaR//znuB//fecA//fimE//rrfA//uvrA//metF//yjeF//xylF//tnaB//artM//fhuE//narJ//cheR//napC//cyaA//glcF//phnL//micF//yjiY//citC//yjcH//hflD//gadC//nikR//glpE//gntT//trpE//narK//betA//fecC//purH//uvrA//dmsA//aldB//yfaE//cheR//narG//aldB//yqjH//trxA//gutM//ompF//nanC//nrdG//phnI//astA//hycA//yaiA//purD//fecI//livJ//srlR//malK//yedX//ycjF//citC//lldP//rplP//fau//dmsB//yjjZ//ychH//cysW//nanA//narK//glnK//rstA//fimC//ileV//metF//rrlH//gapA//dctA//glgS//gatD//gntU//csgA//ppiD//yeiL//sxy//cirA//hpt//cyaA//sufS//abgB//
