#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	bcsZ//bglG//
Ada-Methylated_pos	crl//purM//xseA//hybF//
AlaS-L-alanine_neg	yegR//
AllS-allantoin_pos	ydfN//sucD//hflC//
AraC-L-arabinose_neg	gpsA//uxaC//caiF//ssuA//cyoA//katE//ybiT//fecR//
AraC-L-arabinose_pos	pgaA//srlE//ugpE//crp//gltT//araF//azuC//fimF//bamA//ileU//
ArcA-Phosphorylated_neg	gltT//ysgA//hyfC//mgrR//aroG//fabZ//mdtA//paaB//trpE//grcA//fimE//dps//nikA//ydeO//sufA//tehA//phnE_2//yeiB//aldB//nuoB//puuD//xdhB//gatZ//malP//gspC//hybO//appB//garP//rpsJ//dcuD//iclR//yfeW//dcuB//argC//flhD//napG//csgF//cysM//trpD//hyfI//fadD//mhpD//dcuA//trg//yegR//pgaC//rnpB//ynfF//tauA//glgA//modB//srlR//nrdF//hyfG//sohB//gltT//argA//ftnA//agaW//mhpF//puuC//nlpE//hyfG//paaH//garL//phoR//ompA//fecI//dps//yjjZ//bglF//cpxA//rprA//dapD//nmpC//glpA//mhpF//fadL//caiB//frdB//glpF//fnr//mdtB//sbcD//ascF//csgG//ansB//rpsI//araD//glpA//hybB//rcnA//prpR//ydeP//ssuC//umpH//cheW//hycG//pitA//iscR//tdcB//mutL//paaG//nrfG//patZ//treC//glgA//ispE//rimM//dkgB//melA//ivbL//gltW//nrdH//erpA//gltV//tyrR//gcvT//hlyE//frc//ccmB//araD//actP//puuP//metN//ssb//rhaB//
ArcA-Phosphorylated_pos	folA//paaH//trpE//sdhD//ubiG//glpC//nrdB//mlc//fecD//narL//gspM//paaH//rrfG//yaiW//hofB//yqjI//gltV//chiP//ybjG//truB//ybdN//rrfA//torD//patZ//tpx//ykgR//aroH//fhuB//trpB//csgA//xylG//alaT//mepH//tsr//purR//ccmC//cpxR//yfbR//phnO//ynfH//nrdA//fecB//tnaB//sroD//ychO//dsdX//mcaS//rbfA//gntP//uof//acrB//yqjH//galT//feaR//dcuR//hofN//narL//ssuB//
ArgP-L-arginine_neg	appA//
ArgP-L-arginine_pos	gcd//nuoL//uxuB//codB//tnaA//lsrG//dnaN//ubiC//gatC//znuA//hisM//nikA//creA//mhpB//mepH//
ArgR-L-arginine_neg	fhuC//cadB//fimI//fimC//hemL//lldP//ogt//argO//fimC//manX//appB//pncB//paaZ//cydB//fucA//fbaA//trmD//caiC//aspA//amiB//uvrA//gltW//yibN//rpsS//purK//psiE//uhpB//hyfG//lolB//yiaJ//rplS//dgcZ//ybdZ//tfaQ//
ArgR-L-arginine_pos	mhpR//zntA//frc//ccmB//lldD//
AtoC-phosphorylated_pos	psd//pitA//ydbD//ssuA//
BaeR-Phosphorylated_pos	lsrG//entD//dppB//nikE//malX//metE//exbD//purC//
BirA-bio-5'-AMP_neg	pck//dpiB//thrV//narX//acrE//
CRP-cAMP_neg	deoD//hdeB//metA//exbD//ydeP//glnB//soxS//zraP//yecR//tyrB//rimP//aroM//exbB//arcA//ugpC//nirB//ssuA//mdh//moeA//tfaQ//bamE//narJ//tnaB//lolB//purF//mhpF//nuoH//rplS//fdnG//cheB//gspI//feoB//hybC//abgB//micF//lsrA//hpt//cydC//ampD//fadJ//mutL//acnB//motA//deoA//rnlA//hyfI//ilvG_1//aroM//adhE//ilvY//mutL//cynS//cspE//crl//polA//alkB//rybB//dmsA//aroF//bcsZ//glcA//purL//csgB//cpxR//dapB//gltV//fucR//sbmC//astC//araF//glgC//thrV//tauB//glnK//rplT//rplC//fecR//hcp//puuE//fdnH//crl//rrfE//rpsQ//nuoG//citF//gltF//yiaJ//xapB//caiT//mdtC//cysK//ydfN//malF//rrfC//cysW//ynfG//gspJ//glpQ//allC//grpE//galT//melA//hfq//nrfE//tdcA//ogt//slt//purM//agaA//nrfG//garP//hycC//argA//nikA//melR//napA//motA//appA//gadB//ebgC//galM//fixC//ygiB//hycC//baeS//gpsA//yaeP//hycB//yqaE//prpR//phnK//zraS//ychO//
