#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	prfA//glpR//
Ada-Methylated_pos	feoC//lsrB//ydbD//ilvG_2//
AlaS-L-alanine_neg	lsrA//
AllS-allantoin_pos	hisJ//deoD//rhaR//
AraC-L-arabinose_neg	argE//astE//zntA//stpA//zwf//dcuB//gspM//nohA//
AraC-L-arabinose_pos	bioD//argF//ydeJ//yqjA//acrF//exbB//frdB//sufC//lacZ//ompC//
ArcA-Phosphorylated_neg	narK//ccmG//idnT//lrp//lpxA//idnR//nrfA//frdB//ynfH//astD//ygaC//mdtB//hemL//caiE//sodB//rplC//malM//ulaC//mlc//fecE//mscM//ugpA//gspH//nmpC//phnE_1//abgT//ydhV//argB//aceA//chbR//gpsA//hyaA//cysG//paaJ//cadB//xylA//rseB//ompF//ascB//ivbL//psiF//osmC//degP//treB//ygaC//nrdA//cydB//fhuB//abgA//ygaC//metY//metC//rrsD//caiD//argD//rrlA//tauA//csgE//nikB//paaE//rpoS//lysO//rpsF//tyrB//hisJ//dsbA//ilvD//cysH//argP//zntA//narQ//caiC//mscM//alkA//mglC//ssuD//tyrR//glpX//amn//uxaA//chbA//grpE//crr//glpF//nusA//ydeP//metJ//bglF//hypC//mipA//ssuA//ugpE//ychH//nuoG//garP//ileT//fecD//rseB//nlpD//grpE//ubiA//feaR//nuoI//aroH//pitB//lsrD//pncB//dcuD//acnA//melA//ygiC//chbC//caiB//phnD//uxaA//aspA//dcuC//gspF//argT//ugpB//glpA//ilvH//bglB//lldR//nrdI//ilvB//adiC//
ArcA-Phosphorylated_pos	ulaC//feaR//ccmD//ynfE//hlyE//edd//cysC//rhaB//gatC//ytfE//betT//dnaE//metF//galT//emrY//lysP//lolB//glgC//livK//nuoI//purB//rrfC//lsrA//lysP//manA//ilvI//speA//hyfD//ccmH//rutA//metF//bioF//ompX//oppA//sucC//malQ//asr//ryhB//caiT//metL//cusS//araA//aspC//fucI//ydhV//ompC//icd//pyrD//nagC//metE//ubiG//rseB//carB//napH//ydeP//mgrR//nadC//metF//
ArgP-L-arginine_neg	ilvM//
ArgP-L-arginine_pos	acrB//paaK//cpdB//rrfB//rbsC//galT//nagE//casD//znuC//grxC//rhaS//nupG//ydhW//ccmE//moeB//
ArgR-L-arginine_neg	envY//icd//rybA//srlR//dppD//icd//appA//mgrB//metL//entH//rutG//glpG//comR//mhpC//aaeB//pitA//ydeJ//fepB//gspM//fdhF//gntU//iscA//rplC//yeaD//cysD//cynS//rrfB//lsrC//appX//nagE//ygeA//pgpC//hdeD//ilvX//
ArgR-L-arginine_pos	atoE//iscR//grpE//phoH//recF//
AtoC-phosphorylated_pos	gabD//mepH//srlB//purM//
BaeR-Phosphorylated_pos	yeaR//evgA//nikR//uxaC//amn//argT//umpH//nuoM//
BirA-bio-5'-AMP_neg	fucU//tolC//yhiD//cirA//yeiL//
CRP-cAMP_neg	fadE//nac//bamE//rrfD//pstB//malP//serC//nmpC//oxyR//ppiA//uhpA//ilvM//malI//mgrB//crp//ybdZ//rutB//ampD//prpB//nagB//phoU//gntP//tap//aroH//tomB//citG//zraS//gltT//casD//rrfG//gspG//glpT//rbsB//aroG//yjjZ//paaB//ssb//amtB//azuC//lldP//dcuD//agaV//frdA//lsrF//ilvC//appB//modA//aldA//livM//entC//csgE//bioA//nupG//paaB//gnd//hyaE//napB//fes//rpsP//fhuE//sohB//rrlC//nuoG//rutF//chbA//pheM//rrfF//yhiD//dps//gspM//betI//ogt//purC//hypA//tyrP//astE//ppiA//rrfA//acrD//phnJ//metN//gatD//caiD//ilvG_2//glcE//ychO//hflK//fadJ//ugpA//uxuR//phnG//ftnB//argF//nagE//idnR//torC//fhuC//phnM//hyaA//hycC//skp//aer//ilvI//ynfE//tsgA//mzrA//hha//thrV//argR//mdtC//hupB//xylR//rpsI//rrfA//moeA//yaeQ//hybC//fimI//flhC//nikE//rbfA//dsdA//phnL//uhpB//cyoB//hyfJ//ilvY//feoB//entC//avtA//hyaE//infC//yhcH//
