#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hybF//lamB//
Ada-Methylated_pos	tdh//csgB//fis//hybO//
AlaS-L-alanine_neg	fimE//
AllS-allantoin_pos	ydbD//znuC//araF//
AraC-L-arabinose_neg	glpC//purE//marR//ivbL//pgpC//motA//caiT//yjeF//
AraC-L-arabinose_pos	tdcC//fdnH//hupA//treC//yoaC//rbfA//sufS//sucD//ulaD//aaeX//
ArcA-Phosphorylated_neg	lsrK//puuB//aceE//degP//hyfC//hycF//araJ//cynR//nuoN//manX//sdaA//alaT//creA//bcsZ//crr//csgE//sroD//fecI//xylA//glgX//trpD//cusF//nlpD//ydhY//nagC//nrfB//narX//nrdE//purA//norR//uxaC//caiF//puuR//ybfN//tdh//ulaA//hybA//rpoS//mhpR//tcyJ//modB//cueO//yhhY//srlD//ssb//ybdN//fadI//cysP//hycE//soxR//lsrB//lsrG//phnD//hyaE//nanT//nanC//chbF//ygeA//metJ//purH//tar//puuE//hisJ//yhcH//nrdH//phnF//priB//nadC//ldtB//phnG//malX//phnF//nmpC//pdeF//zraR//cysK//csgF//ccmB//ptsG//focB//fimG//ampD//avtA//lsrD//xylB//fepD//malX//malP//gutM//rrsE//yaeQ//dppA//hyaC//cyoB//umpH//fimE//napH//nadC//ileT//cheB//ybdN//pck//carA//manA//deoD//rpsQ//mntH//grcA//cbl//abgA//prfA//amiB//rrlA//glpD//tdcC//uxaA//carA//rbsA//glrR//fhuC//moeB//tauC//entB//mtlD//dadX//deoD//phnN//
ArcA-Phosphorylated_pos	pheS//casB//norV//moeA//fecD//dmsA//entS//glpX//ssuA//araJ//rpoS//cirA//melA//tdcA//hybG//nrfC//malT//treC//dcuD//emrK//dnaA//nrdE//yegZ//prpE//paaD//fur//frdB//dnaE//hofO//yaiW//paaH//fimD//csiD//cusB//nanA//speB//yjeF//lpd//codA//focA//aldA//yjeF//phnM//argB//carB//gspM//fixA//araA//waaH//hyfJ//hflX//cysD//artI//rplS//ccmD//ulaF//ompF//prpR//
ArgP-L-arginine_neg	betT//
ArgP-L-arginine_pos	mntS//yhhY//xylG//manY//tcyJ//exbB//tyrB//hycC//rrfB//dmsA//ugpC//ccmC//garR//phoQ//citE//
ArgR-L-arginine_neg	livJ//codB//fimI//rrfD//abgT//miaA//ssuB//rrsD//carB//ccmC//mgrR//yfdE//gatD//melR//yecR//cspD//lhgO//flhC//araB//fimH//purB//sdhB//gspC//metI//yhcH//purK//trpA//prpC//hyfJ//dppA//micF//yoaG//oppA//ptsI//
