#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yfeW//ssuE//
Ada-Methylated_pos	trpL//phnE_1//tyrR//ptsH//
AlaS-L-alanine_neg	nagB//
AllS-allantoin_pos	malF//gyrA//hupB//
AraC-L-arabinose_neg	nrfB//rimP//ykgO//cyoB//aldA//galK//fadI//rrsA//
AraC-L-arabinose_pos	cheA//leuE//rrsA//rrsB//ssuA//csgF//sdhD//alaT//mutL//ccmC//
ArcA-Phosphorylated_neg	nanT//prfA//hycF//glpD//ssuE//araJ//icd//argR//yecR//nupC//alaS//dnaN//amtB//alaA//casE//preA//ahpF//qseC//rbfA//ihfA//aceB//amiB//cyoB//rbsK//fucA//glcG//pgaD//cyoD//fecB//degP//araH//nuoN//hyaA//lpxA//map//rrsB//tauB//acrA//malK//tyrP//purA//rplD//ackA//chbF//metC//glpX//casB//astA//crr//rplD//hyfG//dapD//rrlH//ryhB//nuoF//pgpC//nikD//marA//phoP//cyoC//gspF//yaiA//rhaD//lacI//hisJ//napD//xseA//xylF//argT//azuC//infB//ydfN//uhpT//dcuB//rrsB//gspK//mtr//purA//napC//yggX//glcA//moeA//rpoS//tauA//gabP//rplS//metK//nrdF//fimD//purM//mdtB//rnlB//acrA//gntU//phoU//bioC//creA//ptsG//bacA//fucK//prpC//uhpA//argC//cysW//casE//yhjC//trg//csgF//acrE//entH//ccmH//evgS//sodB//aceK//pta//yaiW//fhuF//gspH//aceE//psiE//aceE//preA//prpD//cusB//dps//fimA//ampE//
ArcA-Phosphorylated_pos	cadB//hflX//mutL//cysU//gpsA//glcA//ftnB//exuT//fixC//bdcA//nanK//uxaA//lsrR//purB//sufE//ptsG//paaD//ilvY//cysN//yjeV//acnA//amiB//mdtB//garL//rrsB//acrB//ulaD//hflX//rpmI//rpmI//chbF//uxaB//sufD//ftnB//nirB//envY//nmpC//ykgO//putP//sbcC//dmsD//frc//entH//nuoJ//argF//mtlA//cvpA//ilvA//dnaA//malF//ydfH//fnr//sucA//idnR//bioB//hdeD//ccmF//pgaC//
ArgP-L-arginine_neg	narK//
ArgP-L-arginine_pos	tdh//hisJ//ppiD//focA//fadH//mutL//phoR//gspE//nusA//ynfE//metI//crl//fimH//hcr//aldA//
ArgR-L-arginine_neg	rrlC//ppdD//phnI//ilvB//lysC//napG//ccmG//pstB//uhpC//mdtC//csiD//torC//mdtD//baeR//agaW//argD//rrsE//sbmC//nrdG//ldtB//citG//acrF//nagC//cas2//moaC//mdh//csgB//yqjI//tcyJ//rbsC//fecI//mntH//lpxD//fucU//
