#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hha//yggX//
Ada-Methylated_pos	yciW//csgE//hflC//guaA//
AlaS-L-alanine_neg	atoE//
AllS-allantoin_pos	tpx//fdnG//patZ//
AraC-L-arabinose_neg	purD//yhjA//gntX//ubiG//hybB//rpoS//rbsC//modC//
AraC-L-arabinose_pos	pyrC//fhuC//ccmF//yfbR//rrlE//gspI//narH//ldtB//tyrR//csiE//
ArcA-Phosphorylated_neg	fimE//soxS//fecC//fadI//trpL//xdhC//phnE_1//citD//metI//gltD//pdeF//oppD//nrdD//gspK//pnp//rrlB//malT//lldR//alaS//osmY//mutL//ompR//acrB//yeiP//fucP//hyaA//nanA//priB//tktB//gltB//livF//purB//rpsR//pgaB//tfaQ//purD//cusF//aidB//metN//ugpE//fimE//phnC//mtlD//ydhY//fliA//frdB//hypD//ilvI//yedX//fdnG//entS//phoQ//rrlG//xseA//hycD//fadA//prpD//glgB//ompT//cynT//pgaA//lsrR//glgS//hisP//ompT//ygiB//phnG//cheR//arcZ//rutG//cheB//entE//zinT//livK//argT//puuB//hfq//pheM//aceF//carA//napF//napH//ydhU//ihfA//fepG//moeA//ptsI//ackA//gpsA//ftnA//hemA//gpsA//hybF//ilvY//stpA//chbF//pdeF//melR//fepG//ompF//prmC//manX//bcsA//fadB//katE//thrS//hycF//tdcA//yjjZ//rpsP//hisM//tnaA//mntP//fixB//garP//crr//yfdE//fnr//rplD//rutD//nrdI//fhuA//trpB//ilvY//argP//deoC//fliZ//
ArcA-Phosphorylated_pos	hupA//folA//pgpC//ybjG//paaH//fucK//gpmA//rrfE//hcr//metJ//focA//tdcB//nikR//fucA//folE//dnaA//epd//cadC//ada//sodA//cusS//cyoE//aer//fhuF//cstA//artI//gltV//rpsQ//oxc//hflK//fixX//preT//fimD//fecC//malX//glgP//acs//paaH//hflX//ompT//malP//ung//purH//dpiB//csgG//pitB//hofB//gspM//fimF//aceF//tsaE//safA//sdaA//ydhV//tdcA//glgB//dppB//ccmD//
ArgP-L-arginine_neg	ldtB//
ArgP-L-arginine_pos	arcA//icd//idnT//lysP//hybF//borD//purH//pdhR//codA//nuoJ//cusR//ynfK//dppA//paaF//nmpC//
ArgR-L-arginine_neg	phoH//aroG//ilvE//pdeF//gltV//tpx//ydeM//lsrA//trxA//prfA//lpxA//cadC//gspC//cheY//arfB//ahpC//srlB//hyfA//dnaE//fucR//rnpB//uof//ygeA//hycG//rbsC//cbl//malK//oppC//hycC//cydB//glyA//codB//mtlA//hflX//
ArgR-L-arginine_pos	infC//pta//comR//ppiA//preA//
AtoC-phosphorylated_pos	nanE//hisQ//atoB//pitB//
BaeR-Phosphorylated_pos	ykgR//hyaE//lsrB//glpC//yebE//glgS//ilvC//rimM//
BirA-bio-5'-AMP_neg	appX//borD//narL//trg//paaK//
