#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	chbG//rbfA//
Ada-Methylated_pos	pta//araJ//mgtA//bglG//
AlaS-L-alanine_neg	guaA//
AllS-allantoin_pos	bcsC//yciW//dapD//
AraC-L-arabinose_neg	puuA//argP//rrfG//gspH//cysD//gcvH//ccmC//borD//
AraC-L-arabinose_pos	caiB//rbsR//phoP//casA//ccmB//sdaA//modB//frdC//recF//yeaE//
ArcA-Phosphorylated_neg	preT//rprA//cyaA//nuoE//cynR//moaD//flhD//paaJ//manZ//glcB//glnA//pflB//atoA//dcuC//aceF//ilvG_2//moaA//ydeP//ompA//sohB//ilvG_1//creA//ybfN//tdh//pck//moaE//uidA//feaB//fadI//cysD//gltT//xylH//ybfN//purM//hpt//argA//argH//nuoE//puuP//ysgA//paaI//galS//metH//lsrG//cadC//acrE//rplS//cspD//paaJ//gntP//treB//nanM//artJ//fecD//pheM//napH//torA//rpsR//fdhF//gntU//rplI//hofN//gntX//betT//hycI//tap//paaG//nupC//pheM//bcsC//bcsC//pstB//stpA//hflK//sdhA//nrfF//rhaB//uxaA//ahpF//avtA//nuoF//folA//nuoG//cheA//cusF//znuC//ompR//hypE//gatA//udp//caiA//slyB//mtlD//speA//ydeO//dkgB//ccmE//glnG//hypB//hofO//rdoA//cpdB//gspI//rpsQ//rutF//yqaE//argE//lpd//hycF//citX//fecA//ompA//znuB//pagP//uhpA//fixX//chbF//uxuA//miaA//abgB//araG//creA//fnr//yeaR//yeiW//mzrA//hflK//
ArcA-Phosphorylated_pos	pgaB//malF//fadB//zraP//yoaC//baeR//pta//gspF//gspJ//qseB//deoD//lysC//yfdV//oxc//rseA//xseA//hyaB//alaT//tomB//napD//pitB//lolB//gadC//astD//znuC//ychH//gabD//fiu//yqjH//ccmH//hlyE//ynfE//cydC//mhpE//marR//mntP//grcA//prmC//uidB//asr//yfeW//mutY//hdeD//ivbL//hemA//rplD//hyaD//pncB//cyoA//map//tsaE//fimG//mhpD//idnO//trpA//purC//xapB//atoB//
ArgP-L-arginine_neg	caiA//
ArgP-L-arginine_pos	frdB//purC//csgE//rimP//serA//moaD//nanM//casE//sdhC//yhcH//moeA//flhC//rbfA//yibN//rutE//
ArgR-L-arginine_neg	serC//mhpD//aspC//astD//cheA//hflD//csgF//cydD//livM//yecR//glgP//fliZ//narX//cydB//norW//ubiC//nuoF//moaA//sucD//aaeA//pstB//raiA//bamE//ebgC//ptsH//fecD//eda//cusA//ychH//mhpT//lldD//fixC//ccmE//csiE//
ArgR-L-arginine_pos	truB//glgC//rrsA//yfaE//hyfG//
AtoC-phosphorylated_pos	deoA//folE//bglG//tyrB//
BaeR-Phosphorylated_pos	rrfF//cydB//cusS//ssrS//yidQ//glgC//fimG//napB//
BirA-bio-5'-AMP_neg	rrsC//nirD//rplP//glpA//zwf//
