#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yfdE//lacI//
Ada-Methylated_pos	hyfI//dapD//rutE//pgaC//
AlaS-L-alanine_neg	caiD//
AllS-allantoin_pos	hybA//gatB//purF//
AraC-L-arabinose_neg	uidC//mhpB//nikA//garL//katG//nuoK//fixB//caiB//
AraC-L-arabinose_pos	prpC//argR//cysW//gatY//ccmA//ftnB//patZ//fis//lysO//glpK//
ArcA-Phosphorylated_neg	nrdB//ynfE//rseA//tyrR//creB//ccmG//atoE//lsrB//bhsA//caiD//gpsA//uraA//ykgO//dgcZ//lldP//ssb//evgS//acrF//sbcD//narI//napD//rplW//ccmC//rpsR//rrlD//borD//xdhC//ldtB//citD//ssuE//ygeA//narI//nrfA//xylA//degP//fucU//garP//moeA//fur//fliA//ppiD//rof//ilvB//atoE//icd//mipA//csgD//hydN//entH//nrfC//malI//hyfJ//gntX//tyrP//lysU//gatC//ssuB//cyoB//dmsA//argP//dpiA//ygiC//tdcD//sucA//rrfB//glnK//nuoA//csgF//glpR//fucO//hyfD//yaiW//purA//mntP//pdhR//caiD//trpL//ugpQ//fhlA//yjeV//gapA//hycA//araH//zraP//yqaE//epd//lpxB//paaK//ydhW//fecE//ascF//paaG//rplW//pitA//phnD//psiE//moaE//glcG//nupG//stpA//cysJ//cysB//cusS//yneM//dcuS//artJ//glnL//rhaR//paaG//gatZ//nrdB//tcyJ//hyfD//puuA//ubiX//cusS//pstS//rutF//ysgA//xapB//sufD//nirD//fes//fepC//speA//feaR//yeiW//
ArcA-Phosphorylated_pos	hybD//sodA//mdtA//fhuD//ompA//frc//dppA//oppB//sufA//entH//argI//artP//gspH//dsbA//aroF//atoE//rrsG//chbR//narJ//gapA//lsrD//glcG//cas2//rbsA//hupA//torR//nanM//fimF//cusA//yciW//sbcD//cysD//ssuA//nikA//trpL//csiD//abgA//casD//rplB//dkgB//mutL//gspE//glpQ//rrfH//mdtA//pstC//ilvE//micF//norW//xylB//fdhF//icd//katG//rof//entA//murP//emrY//nupC//
ArgP-L-arginine_neg	ilvH//
ArgP-L-arginine_pos	ampE//ykgR//ascB//metJ//ilvA//artI//puuB//rpmC//yfaE//ldtB//paaH//fimD//rutC//polA//znuC//
ArgR-L-arginine_neg	hycE//casA//crr//rstB//tdcB//rnpB//iscR//lrp//caiD//xylB//priB//iraD//glgP//cynX//lpxB//speC//micF//acrF//gntK//lysA//sufC//aceK//csgF//ccmC//purB//zraS//lhgO//livJ//metI//narK//lysA//rseC//rrfD//yjeV//
