#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	sufD//yoaG//
Ada-Methylated_pos	citF//yeiB//ycdZ//appA//
AlaS-L-alanine_neg	pncB//
AllS-allantoin_pos	nuoJ//nmpC//purK//
AraC-L-arabinose_neg	aceK//idnO//cdd//ccmD//evgA//chbC//leuE//gatD//
AraC-L-arabinose_pos	nuoI//hycA//metH//torD//agp//evgA//gutQ//bcsZ//ccmC//tolC//
ArcA-Phosphorylated_neg	trpE//fes//rprA//acnB//citG//grxC//metN//appX//hisJ//galK//glnA//glcB//fepC//alaT//priB//metF//cspD//purM//yeiP//astA//adhE//csgC//sufA//cysJ//cspE//napG//rcnB//ybjG//pta//ilvI//sucD//trxA//nfuA//ilvC//ompC//rpmC//secB//prfA//hmp//araG//hofM//yoaG//murP//nanS//hdeB//rrlH//rcnB//mglA//nusA//tsx//csiD//iraM//bioB//prpE//entS//ilvA//atoB//hypE//cheR//metR//moaE//glnD//moaD//rplW//cheW//lpxD//rrlB//tyrP//dcuB//tdcC//phnM//ysgA//murQ//mgtL//phoA//cysA//adiC//rmf//purM//ileT//tdcA//pgaC//hypA//modC//gltA//dapD//mglB//lhgO//idnK//adiC//hslJ//livH//idnD//fumC//ryhB//rrfD//rseA//citG//argT//ccmA//metI//ftnB//hflD//uxuA//tnaA//frdC//rbsC//zwf//napD//skp//epd//evgS//tauB//ampD//csgG//spf//mipA//mipA//fimD//pstB//frc//rplB//iscR//alaA//tsaE//ilvD//dppF//
ArcA-Phosphorylated_pos	ulaA//casD//fecC//rybA//cysW//ssuB//rnpB//rstB//aroG//phnD//tdcB//fadI//aroH//deoA//mcaS//cyoB//hcp//paaD//aspA//ompF//fhuB//ppdD//copA//aceF//yojI//yrbL//fhuB//aceK//mpl//rpsP//aceK//metC//emrY//lsrK//garP//acnA//ybjG//tsx//dcuS//ilvE//treB//caiF//rrlA//hdeD//borD//dppA//nac//nagA//hyaF//rhaT//rplT//nusA//mtr//yegH//fhuE//aldB//abgB//fadE//
ArgP-L-arginine_neg	tdcG//
ArgP-L-arginine_pos	srlB//fimF//ascB//fhuC//pgaD//nrfA//prpB//cusC//glcB//polA//ydeP//cstA//rplS//nuoB//dnaN//
ArgR-L-arginine_neg	rof//phnN//pepT//fhuD//ccmA//astB//bcsC//bamA//focA//sufA//ssuD//efeU_1//livK//ytfE//cysI//rrsE//ygiB//fdnI//argE//rpsR//iscS//marB//gdhA//cpxR//rbsA//gcvT//ygiC//nuoG//tsr//rrsC//psiF//fucI//chiP//ccmD//
ArgR-L-arginine_pos	codB//hyfJ//speC//rpsR//dppA//
AtoC-phosphorylated_pos	gspE//melA//ydeM//yiaJ//
BaeR-Phosphorylated_pos	sufS//idnK//yjiY//rutC//ygeH//mglC//glpX//aroF//
BirA-bio-5'-AMP_neg	tdcC//eda//lolB//ihfA//nuoJ//
CRP-cAMP_neg	sbcC//glcA//cytR//fixC//yfaE//ssuE//hybB//cytR//napC//zraP//hycC//nagB//metC//dppA//ydeO//hybO//norV//astD//ptsG//glcC//yegR//adiC//ynfE//phnO//gltT//appB//rnlA//yjeF//malX//lsrD//rseC//yedX//hyfD//cysA//mutL//cheB//cysN//cyoC//rhaS//gabT//mglC//astD//frdD//araG//pgaC//cpxR//phnC//adhE//dcuA//nrdE//prpC//aroL//aroP//tdh//norW//lacI//caiC//nikE//alaA//prpD//ilvY//prmC//nrdD//tdcF//yedX//frdC//cpdB//torR//nupG//sdhA//hyfC//rcnB//lysC//speB//ccmD//mdh//purK//talA//hflD//nrfF//pgaC//bcsZ//aroH//casA//pnp//gltW//tktB//codB//moeB//hyfA//ftnA//puuA//erpA//nikD//ccmF//glrR//uxaA//treR//gatA//prs//ung//ynfG//mglB//yjeF//argG//sucD//ftnB//ydhU//puuB//proP//lsrF//trpE//raiA//ycdZ//amiB//garL//hyfH//atoA//dps//glcF//sufE//tdcF//argR//katG//fepE//nupC//yccA//dps//rbsD//nirD//dcuS//yhfA//flhC//
