#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ydhX//acnB//
Ada-Methylated_pos	yegH//adhE//hyfR//cysG//
AlaS-L-alanine_neg	envY//
AllS-allantoin_pos	oppA//paaE//paaC//
AraC-L-arabinose_neg	cynR//rrfF//sroD//paaJ//malS//fixA//narX//aidB//
AraC-L-arabinose_pos	mhpD//ulaA//rrlD//chbF//fimI//rpoE//ompT//fbaA//puuE//fucR//
ArcA-Phosphorylated_neg	tsr//aldA//agaA//bdcA//cysP//chbA//nlpE//yeiL//mdtA//mhpF//phoR//hypC//osmY//tonB//mdtC//rhaD//mdtA//tehA//hycD//uidA//pdeF//livM//rhaA//phoH//abgA//rhaB//soxR//raiA//dsdX//argG//fdnG//argC//lacZ//nrfD//mtlA//phnP//ilvC//yebE//hyfJ//ulaC//metY//sufC//iscU//dpiB//rutB//phnC//hyfA//entA//uof//yeiB//ydbD//tyrB//amiB//emrK//amn//comR//rhaT//efeU_2//rpsI//cpxR//nac//csgD//feoB//cyoE//cynX//icd//rrlH//ftnB//emrK//flhC//narI//folA//edd//modC//crp//fucU//sdaA//yggX//tdcC//ygaC//sucC//trpC//katG//aer//rimP//betI//cheB//aspA//dppA//frc//ftnB//baeS//znuA//narQ//sufB//nanC//gntP//hmp//carB//cyoB//aroF//hypC//bacA//cysB//cyaA//hmp//garP//purC//yhjC//phoB//fadE//metK//arfB//fecB//livJ//nagB//chiP//dusB//tauA//bcsB//glpR//gcvH//yhhY//mglA//gspL//fabZ//ahpC//
ArcA-Phosphorylated_pos	tktB//slt//fepG//mpl//rrsG//dadX//fhlA//rrsG//guaA//sbmC//lsrB//uvrA//emrY//araE//rseC//pheT//manA//paaZ//yggX//glpE//dppA//paaF//ilvY//fepG//hofB//rplV//aroA//nirB//cyoA//manA//hisJ//garK//hycF//ilvL//speC//crp//hybD//fadJ//zwf//gdhA//arcZ//mglB//aaeB//hdeA//chbB//idnD//iscS//gltB//spy//dapD//gatB//ugpC//ygaC//rmf//efeU_2//ptsG//ispE//nirD//
ArgP-L-arginine_neg	entB//
ArgP-L-arginine_pos	crp//metR//phnF//srlE//fimA//paaG//nuoL//hycH//nuoE//argG//yojI//alkA//trpE//pstA//narJ//
ArgR-L-arginine_neg	lsrA//fepA//rrfH//citG//chiP//ydfH//yeiL//hycH//tyrB//yaeQ//fimH//ynfF//dppC//entF//rrfG//evgS//nikD//ilvB//mlc//csgC//trpL//phoQ//hyfI//kbl//dppD//casC//tsr//citC//metB//sbcC//pgaD//yegR//qseC//abgT//
ArgR-L-arginine_pos	gyrA//fadA//xseA//pheT//malF//
AtoC-phosphorylated_pos	trpC//nuoN//hypB//hofC//
BaeR-Phosphorylated_pos	hlyE//atoB//phoB//gabD//hydN//rybA//csgE//gcd//
BirA-bio-5'-AMP_neg	gatA//uidA//entS//glcB//sroD//
