#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	metR//amtB//
Ada-Methylated_pos	caiB//hmp//moaE//micF//
AlaS-L-alanine_neg	nrfD//
AllS-allantoin_pos	nanT//rplD//trpD//
AraC-L-arabinose_neg	feoB//phnG//fau//nuoN//putP//cydB//argT//fadA//
AraC-L-arabinose_pos	glpD//tauB//rrsB//nagA//csiE//cynR//rseA//hemA//cysN//ilvC//
ArcA-Phosphorylated_neg	oppB//avtA//ivbL//tomB//ompC//nuoH//phnP//malK//creB//phoP//sdhC//nuoM//nirC//fldA//ssrS//dapB//pgaC//argT//moaE//mtlR//atoD//appC//aroL//hupA//gnd//baeR//yqjA//dppA//ebgC//metL//tar//rrfB//ybdZ//appB//tfaQ//baeS//ydhY//rutB//fepA//casE//hlyE//erpA//aldA//nrfC//yoaC//bamE//nanS//ilvC//yibN//ygiA//hypC//artI//bioF//acrE//nadC//nrfC//dnaE//phnG//garR//modA//chbB//rpoE//mhpB//spy//yfdE//yaeP//dgcZ//cydC//hyfC//lsrG//mdtD//puuB//malY//uhpC//mhpR//sdhA//dkgB//proP//purH//fhlA//pta//patZ//ssb//zraR//gltB//csgE//azuC//fimC//iraD//dsbA//ychO//purF//nfuA//rpsR//nusA//fimD//nac//yhiD//iscR//baeR//ybdZ//secB//idnO//nuoH//mhpR//cstA//malY//nrdF//tehA//creC//fliZ//alkA//yjcH//hflC//ccmE//purA//rplS//nupG//metL//rutG//aceE//caiB//csiD//fimD//mhpD//glnL//metJ//
ArcA-Phosphorylated_pos	hyaA//trpC//pheM//rdoA//rrfF//ilvD//iscR//ascB//narL//arfB//sohB//phnI//tdcB//aaeR//hyfD//alaS//ptsI//pheT//ackA//hycB//lysC//ihfA//nuoF//ldtC//gcvH//katG//araH//metN//ykgR//talA//sohB//dapB//hyaE//fadD//srlD//manX//livH//glpE//cysH//pck//cysA//alaU//gltV//hflK//rutA//bcsB//csgA//rrsA//rplS//ilvM//hypF//mtlA//ansB//gltU//casC//gatB//psiF//caiE//
ArgP-L-arginine_neg	yfdV//
ArgP-L-arginine_pos	entE//rrlG//atoA//pagP//puuE//rrlB//hofP//hycB//rof//ulaB//yegR//rof//ascF//treB//nuoG//
ArgR-L-arginine_neg	cstA//sufA//rseC//yebE//feaR//truB//fhuD//ptsH//glpT//yfeW//gspG//appA//yegH//lpd//lacA//ptsH//ackA//cheY//gatY//cheY//glnA//cysH//ldtB//tsr//pgaA//ccmE//agaW//yidQ//fhuB//glgB//nuoB//casA//mgtA//ulaC//
ArgR-L-arginine_pos	srlR//nuoH//hyaB//guaA//trxA//
AtoC-phosphorylated_pos	rrfH//yeaD//idnO//hycB//
BaeR-Phosphorylated_pos	hydN//cvpA//aroF//cynT//deoC//lysC//cusA//yeiP//
BirA-bio-5'-AMP_neg	hmp//ompR//copA//hycH//tehB//
CRP-cAMP_neg	ulaD//lsrR//nanK//exuT//cysK//ssuA//cbl//rrsH//uidA//iscR//astE//nanT//ssuA//sdhC//flhC//recF//srlE//hyaC//carA//nuoJ//fumA//rrfG//hyfA//rplD//yfbR//mltC//paaE//oppC//yecR//fecR//fadI//rpsJ//garK//cyoD//yqjA//yecR//xylF//aceK//ybiT//galS//nagC//frdD//allE//acnB//manA//narQ//osmY//psd//yeiW//fabZ//bglB//mdtA//creD//allC//glpA//fur//phoU//glpC//hha//flhC//pepT//fadH//rybA//nuoJ//nupC//ilvE//tnaC//trpE//mglA//bioA//acs//pitB//gntU//fdnH//gspK//gcd//rnlB//rpmI//paaK//pstC//ilvD//allE//yeiB//phoE//bglF//trmD//ilvN//glcB//yeiP//hycA//ydeN//fecE//atoD//marA//znuC//fhlA//nrdH//caiT//yfdE//mepH//fadI//srlR//livF//hyfE//ilvE//cysJ//nusA//fecR//tdcD//araH//fdhF//gltU//cysP//rbsC//rcnB//xylB//malI//mdtB//purA//iraM//ydhY//dps//cdd//fhuD//yeiB//manA//araE//tdcE//mtlA//malG//nuoH//sucA//ycjX//
