#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ybiT//galP//
Ada-Methylated_pos	preA//uidA//paaE//ulaA//
AlaS-L-alanine_neg	emrY//
AllS-allantoin_pos	glpQ//rrlA//pgaA//
AraC-L-arabinose_neg	fadL//rpsO//alaS//degP//ugpC//argO//yfdX//oppF//
AraC-L-arabinose_pos	csgD//torD//malM//mgtL//ccmD//caiB//ynfE//tauD//ada//cueO//
ArcA-Phosphorylated_neg	araF//psd//araA//tnaC//nusA//tomB//cspD//hyfE//yibN//rhaR//rplW//ascB//cysP//mpl//ompX//arcA//pflB//tfaQ//cysI//araB//cysB//fecI//fdnH//entA//alaA//comR//narX//moaA//cheZ//yjiY//garK//emrK//dkgB//hofC//glgB//glyA//fucO//rseA//yggX//cheB//rplM//pitA//dctA//pgk//phnD//dppC//ydeO//glcF//ebgA//lpxA//grpE//gspH//cydA//ppiA//pck//srlD//fucI//xdhA//metN//ileT//psiE//pflB//trpD//degP//torC//fldA//pgaB//bhsA//srlB//cadC//hypB//sdaA//cyaA//mhpB//gdhA//chbG//acnB//agaV//arcA//arcA//lsrR//flhD//sodB//cynR//aroH//hyaA//alkA//metL//yibN//entF//ynfH//gapA//nuoK//cyoA//hyfH//astB//galE//phnK//mltC//ubiA//metI//zntA//serA//napF//rcnB//cbl//gspC//lhgO//ilvI//mipA//cyoA//bioF//hybE//ydeA//nirC//tsx//uhpC//pncB//pdeF//araC//gntT//phnE_2//malK//aroG//dnaA//folE//aer//
ArcA-Phosphorylated_pos	fliA//phnK//grxC//hybD//chbR//ptsH//mdh//manA//metH//nirB//ccmA//hmp//nikB//ccmC//paaC//astE//ycjF//ykgO//nadC//yebE//nmpC//micF//envY//spy//lacA//moeB//bamE//rbsC//hdeA//ynfH//cpdB//phnC//mipA//rrsE//cyoB//betA//ccmF//mntP//paaF//pepT//exbD//yfiP//idnO//hybE//dapD//mepH//gspK//secB//nrdH//hemL//fliA//prpE//nikE//glpA//aceF//ilvH//phnP//rplM//
ArgP-L-arginine_neg	fixB//
ArgP-L-arginine_pos	hyfE//hupA//citX//sufC//moaC//tauD//rpsO//acnA//hyfA//acrA//phoH//nrfD//sohB//gspL//rnhB//
ArgR-L-arginine_neg	fimH//kbaZ//entB//nuoL//purN//yegH//chbG//yegZ//nuoA//ybdN//fadL//rprA//folA//fepC//rrfH//cadB//frdA//soxS//fldA//comR//katE//yfdV//caiT//gadB//raiA//nusA//epd//aaeA//yhcH//rseB//yhiD//citD//aroH//gnd//
ArgR-L-arginine_pos	fdnH//epd//ftnB//dmsB//ugpA//
AtoC-phosphorylated_pos	gspM//argD//ssuC//rrfA//
BaeR-Phosphorylated_pos	ysgA//glnG//prs//iraM//cynT//gspI//pgaC//napH//
BirA-bio-5'-AMP_neg	artM//fucA//nuoF//moaA//fucU//
CRP-cAMP_neg	appA//idnO//ydhW//manA//fixX//ppiA//ahpF//puuP//alkB//gspJ//bcsC//mpl//manX//feaR//hybG//nadC//fldA//gntX//ycjF//cydA//srlB//tcyJ//ubiC//fimA//hlyE//treC//fumC//argP//gcvP//rrsG//yidQ//malT//csiD//rrfG//metL//glcE//uidC//ilvN//cysB//argB//ybiT//cas2//rplW//mntP//nanK//pstA//metQ//agaV//evgA//citE//hofM//xylH//deoC//csgG//cpxA//astC//ilvX//frdC//prmC//bhsA//yidQ//moaE//cysK//moeA//nrfG//galK//ubiX//pgk//cynR//aroM//rseA//dppC//ygiC//gcd//yeaR//glgC//caiF//miaA//hybB//melB//livG//grcA//glpT//garP//sbmC//rseA//phnP//araH//nrfE//dadX//pgaA//soxS//rrfE//ydeM//truB//aroP//manZ//phoA//alkA//gspG//grxD//yegH//nirC//ldtB//lpxA//ygeA//oppF//srlR//citX//modB//tsr//lpxD//cysJ//tyrP//glcB//chbA//nirD//nrfE//ygbA//upp//glpF//nrfC//atoB//borD//bcsZ//tdcG//epd//appA//srlD//ydfH//livK//entD//tdcB//
