#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	mtr//fes//
Ada-Methylated_pos	rpsO//iscA//fimG//dsdA//
AlaS-L-alanine_neg	ynfH//
AllS-allantoin_pos	lysP//araG//nusA//
AraC-L-arabinose_neg	sdhC//cyoE//casD//fucP//glcE//cyoC//prfA//ccmE//
AraC-L-arabinose_pos	lldP//cyoA//nanM//astB//gspL//ydhT//bcsC//pheS//proP//astA//
ArcA-Phosphorylated_neg	csgC//fixC//fadL//malK//envZ//ygiC//mhpD//rrlA//rybB//soxR//cusS//gatC//yoaG//feoC//yccA//lpxD//ysgA//nuoK//tktB//qseC//hycE//dsdX//rrfH//crp//glcF//gabT//yeaE//rnhB//ulaC//micF//feaB//hycA//fhuC//focB//glnB//cpdB//sucD//fdnI//ydeO//garL//mglB//hcr//sodA//efeU_2//hycI//cusS//argF//pgaC//araB//ybdN//cysH//ychH//ogt//grcA//gabD//feoB//crp//paaF//dctA//gatB//aroA//manA//pflB//cydA//araJ//entH//hisM//betI//gltA//phoH//yfdV//nrdI//metY//gabP//rbsC//agaW//argE//creC//csgC//malK//aroF//entA//mhpR//rpsR//cytR//lsrR//cpxA//phoU//dmsC//ompX//mhpT//pgaC//ascB//rrfC//znuA//yaiA//chbC//malY//sbcD//ilvM//ccmC//sdhD//malX//allC//nanA//sucD//zinT//hemL//nuoH//gnd//pyrD//chbG//fixX//lrp//rnhB//preA//fadA//ileT//dppB//fecI//bamA//fucO//hycC//aer//tktB//modC//lolB//
ArcA-Phosphorylated_pos	ilvE//tsr//fliZ//spf//nanA//pdeF//cysW//ydhV//rrfF//tar//cyoE//yfdX//nrfC//hycF//motA//fucA//avtA//guaA//yebE//soxS//narG//cysW//pgk//cydC//ppdD//xseA//lsrG//aroH//fecA//hisM//lamB//aaeA//moeB//adhE//amiB//lsrB//mhpT//hofB//malF//hupA//nusA//mepH//artI//fecB//rdoA//glcE//pgaC//paaZ//xylH//qseC//rcnB//ydfN//cydA//cynX//phoH//uvrA//ilvG_1//ytfE//
ArgP-L-arginine_neg	rplT//
ArgP-L-arginine_pos	cyoE//yfdE//gadB//cyoA//fecA//dpiA//infC//purK//bcsA//nrdI//mgrR//alaA//carA//crp//bamA//
ArgR-L-arginine_neg	mdtC//hupA//citG//garP//galE//ilvM//trmD//entC//kbaZ//entS//tauD//paaI//nuoH//chbF//fecA//actP//nagA//copA//uidA//hmp//sufC//mntH//frdD//sodA//gspE//ebgC//yebE//glpT//atoA//argE//nusA//dnaA//zinT//yaiW//
