#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	artM//pepT//
Ada-Methylated_pos	talA//arcZ//cas1//hyaA//
AlaS-L-alanine_neg	grxC//
AllS-allantoin_pos	glgS//mlc//oxyR//
AraC-L-arabinose_neg	rplD//patZ//edd//lysP//artI//dadX//cheW//metN//
AraC-L-arabinose_pos	cysA//pheS//mgtL//safA//glnB//csgB//iscS//appY//fnr//hofP//
ArcA-Phosphorylated_neg	yggX//aceA//tomB//nusA//metF//ygbA//kbl//gspG//codA//feaR//yjeF//nuoA//yaiA//rpoH//alaU//chbF//carB//rrsG//purB//ilvM//yeaR//nuoL//betB//feaB//dsdA//napH//nanC//torD//nrdD//waaH//sbmC//malE//gcvT//paaK//ilvG_1//paaG//cysK//envZ//nuoN//skp//deoD//fhlA//oppB//gcvH//tsgA//ycjF//rnpB//glgS//ung//iraD//gltT//csgE//alaA//agaA//grcA//hyfR//lysO//malZ//fepC//norW//nikB//focB//creA//tdh//umpH//rplP//modB//sdhA//qseC//cysI//moaA//aaeB//phoP//avtA//tdcE//hyaA//glpD//ilvI//aaeB//yegZ//mpl//ilvI//phnK//livM//mpl//lsrA//rrfA//murP//mipA//alaT//uxaC//tdcG//tehB//dadX//puuE//xylR//iscU//ydiU//rplS//trg//flhD//atoB//metI//fhuE//nuoE//purN//tktB//arcA//fucU//bacA//glcE//ulaE//ybjG//araB//torC//rrlA//yjeF//cyoE//ilvH//nrdG//rpsJ//ccmE//cynR//mltC//katG//cydD//cirA//
ArcA-Phosphorylated_pos	entS//dsdA//cysJ//cyaA//paaJ//csgB//motA//dsbA//aceA//glpT//zraR//yfdX//ascF//napD//gabP//ackA//tcyJ//metK//zraS//cynX//moaD//rstA//udp//rrfH//ryhB//sdaA//aaeR//fhuA//astD//ygbA//uhpB//upp//frdB//ilvD//phoR//araJ//ascB//cheY//ptsI//waaH//rrfF//cusF//ilvN//dsbA//yaeP//norR//lsrA//phnE_1//prfA//hycE//cysC//narH//entF//hofP//cysH//bioF//rbsB//ykgM//
ArgP-L-arginine_neg	metF//
ArgP-L-arginine_pos	cyaR//cynR//nrfB//fepE//mhpF//gpmA//hybC//uof//acs//marA//ccmC//mdtB//efeU_2//yciW//nohA//
ArgR-L-arginine_neg	mcaS//nanA//chbB//fes//chbA//yhiD//rrlE//aldB//pncB//ebgC//nanK//gatY//preT//fabZ//allD//xylG//fhuF//lldR//cynS//nuoI//srlA//fecB//ilvE//feaR//caiD//soxS//torD//katE//fhlA//fecI//tnaA//rpsF//cysN//torR//
