#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	mtlA//rpsO//
Ada-Methylated_pos	ccmF//ccmG//gspE//fecA//
AlaS-L-alanine_neg	leuE//
AllS-allantoin_pos	fis//lolB//fumB//
AraC-L-arabinose_neg	gntU//csiD//fadI//cysI//gntT//cynR//gspH//appX//
AraC-L-arabinose_pos	cadB//dps//dapB//fliZ//fecR//rrfE//yfdE//garP//idnT//sufC//
ArcA-Phosphorylated_neg	cdd//nanE//atoE//comR//yegR//gcvT//gntT//ndh//osmY//nrfB//dsdX//serA//aroF//miaA//trpL//sdhD//garK//pta//rstB//metF//rrfC//cirA//gltT//baeR//caiC//aaeA//pgaA//cas1//galP//rplM//ilvC//malS//xylR//actP//malK//codB//creB//mgtA//phoE//yeiB//aaeR//sucA//ulaD//glgA//torD//ccmD//hofM//dctA//purK//fepG//csiE//miaA//feaR//sufE//chbA//pyrC//gspF//fucO//dmsC//acrF//ung//ompC//cusF//ubiA//acnB//fhlA//aspA//sohB//lldR//sdhA//rplB//ulaB//nanK//cpxR//hypF//idnT//tam//xseA//fdnG//aceA//atoD//lsrA//norR//mcaS//infC//entH//tpx//cpxR//aaeB//cstA//yoaC//icd//napB//moaA//fucO//nrdH//araJ//sdhB//rrfG//hofB//hyfB//phnK//yecR//glpX//norW//gntK//lysP//rrlG//hyfD//flhD//pheT//pstA//pagP//rutA//gnd//mgtL//tdcG//aroF//malF//fimF//bglG//csgB//yqaE//lpxA//moaC//livH//dnaA//
ArcA-Phosphorylated_pos	moaE//cydD//paaE//napG//rrlG//argI//nikA//fecI//sdhB//xylG//galK//fecR//rnhB//pyrC//ascF//aceK//yjjZ//tonB//nuoK//murP//malF//aspC//ubiG//ptsG//hybD//paaE//cysH//iscS//nirB//yhjC//gspI//rof//nuoA//ascF//trpC//hyaC//cyoA//astC//hybB//ydiU//xdhA//ygeA//cynR//srlA//gcvP//rhaS//cusA//fnrS//cadC//mhpA//psd//narX//gpsA//arcA//aroM//atoD//glpC//map//
ArgP-L-arginine_neg	nupC//
ArgP-L-arginine_pos	hmp//nupC//cysI//lsrA//azuC//yoaC//bdcA//yeaE//envY//gadB//lacZ//icd//chiP//ppdD//glgS//
ArgR-L-arginine_neg	purR//qseC//ispE//cspE//tfaQ//fabZ//malK//yfaE//malI//casE//ilvN//grxC//pgaD//ampD//fbaA//melA//udp//napB//bioC//paaA//nrfF//cynR//gltV//creD//osmC//phnP//csiD//araB//yoaG//yneM//fixA//sufE//araC//ilvC//
ArgR-L-arginine_pos	lysA//cusB//nrfG//entC//sucB//
AtoC-phosphorylated_pos	rrlC//cadC//kbl//arcA//
BaeR-Phosphorylated_pos	yjjZ//nrfE//rnpB//rrsC//uxaA//cysB//sufA//mglA//
BirA-bio-5'-AMP_neg	cusR//aceB//rpsO//carA//dmsD//
