#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rstA//fadJ//
Ada-Methylated_pos	ppdD//gcvH//garK//hlyE//
AlaS-L-alanine_neg	yhjA//
AllS-allantoin_pos	ampD//astE//prpE//
AraC-L-arabinose_neg	acrD//mntP//rpsR//safA//udp//cadC//spf//atoE//
AraC-L-arabinose_pos	glcD//nikD//metR//garR//nrfG//proP//puuB//glgP//araG//polA//
ArcA-Phosphorylated_neg	napF//gatB//nanK//mntP//mglA//fumC//aroH//phnH//dkgB//mhpE//serC//fhuD//napG//dnaN//rcnA//uhpC//ldtB//aroH//glcA//puuP//ompR//yhcH//frc//sucB//focB//glpX//sohB//ybiT//ynfH//ubiG//rrfC//nikB//yibN//gltB//slyB//hyfR//hybE//tyrA//frdB//tnaB//ompA//glpF//hyaC//ybjG//narX//ydeN//dnaE//glpC//ansB//cusC//lpd//puuE//gltU//pitA//hyfR//phnO//trpR//lsrA//phnE_1//eda//alaU//cpxR//slt//ydhW//hyfC//nuoJ//cdd//dppF//agp//glgA//atoB//ilvC//rnpB//aceB//rplD//citX//nagA//hyfD//argD//nupC//ung//chbB//hyaE//frc//raiA//ssuE//ulaD//bglB//nanE//rseA//fnr//yhiD//comR//cpxA//qseB//tdcC//dcuC//rybA//pflB//phnC//aaeR//glpE//ssrS//guaB//ilvD//metA//raiA//creC//nanE//cas2//hyfC//nagA//moaA//glcC//moaD//iscU//fucU//glpK//hyfR//rpoE//ebgC//csgB//infB//guaA//tsgA//acnB//galT//
ArcA-Phosphorylated_pos	hyfJ//dppA//aroG//rrlE//grpE//norW//envY//iscA//marB//paaA//murP//tktB//gatC//rdoA//ndh//cspE//ydhW//tolC//citC//nrdF//galK//ydeN//fabZ//hypF//galS//nanA//ssuE//livJ//mpl//rplB//mdh//cydD//hybC//abgB//ulaE//crl//purE//nikC//fecI//pgaD//cvpA//hyfB//iraD//rrfA//ilvA//dcuC//paaF//grcA//puuD//eda//livJ//araH//glpF//nanC//xdhC//lsrR//xylR//ydeA//
ArgP-L-arginine_neg	ydhW//
ArgP-L-arginine_pos	sucA//oppB//chbC//hflK//nikR//metH//spf//lldD//mhpE//rhaR//lldD//ogt//yhjC//phoA//gltV//
ArgR-L-arginine_neg	rnpB//malK//hcr//mglB//lsrA//rplM//rmf//bglF//comR//rdoA//glpK//ulaD//caiF//caiE//dcuB//gspG//cirA//rplT//hofP//ychH//ilvX//uidB//carA//rrsD//ydhV//rhaD//xdhA//frc//deoD//gspO//ccmA//acrA//uhpB//moaE//
ArgR-L-arginine_pos	hypC//acrB//aceB//appY//soxR//
AtoC-phosphorylated_pos	talA//bcsA//fimC//hycH//
BaeR-Phosphorylated_pos	acrF//nrfC//yeaE//hycD//fldA//amn//evgA//uvrA//
BirA-bio-5'-AMP_neg	paaZ//frdC//yfbR//pnp//sodB//
CRP-cAMP_neg	alaA//aroM//phoB//oxc//rplV//glpE//dmsB//aaeA//entE//creC//rutB//glnK//gnd//ssuE//tfaQ//araJ//gspK//fadE//amiB//moaD//galE//ndh//malX//agaA//ndh//sdhD//uhpB//sufS//mtr//gltD//dusB//phoA//hisP//malI//mepH//dpiA//phnG//sodB//hybE//bioC//rrlD//aroL//hofO//gabT//patZ//gltB//glpE//fecA//nikB//oxyR//csiD//mhpB//cas1//pepT//fldA//pitB//uxuB//mhpE//qseB//sufC//cadA//ulaF//napC//gspG//mzrA//atoB//livM//moaE//cysG//rpsR//fadB//metJ//mhpD//cadB//mdtA//fnr//yqjA//dmsC//yidQ//dapD//araE//lacY//betA//iscA//dsdC//glnK//yfdX//metK//cytR//glnA//gnd//ilvG_1//gspO//bcsA//ssb//mutY//secB//deoA//fhuE//ebgC//marA//modB//paaD//dpiB//lrp//ilvL//hycI//fes//uhpA//nirD//sucB//flhD//infB//znuB//hybF//araD//recF//rimP//yebE//feoC//amtB//dppF//exuT//sufE//ulaB//ilvH//araA//nanE//hycG//ulaD//hisJ//glpG//hdeD//
CRP-cAMP_pos	ompW//pgaB//dcuA//ascF//codB//cspE//bglG//hdeB//cysM//ccmD//appY//bioC//amiB//lsrR//gltV//ulaB//rrfD//katG//dppF//rrlC//polA//cyoC//ynfG//rrfG//rhaD//dadA//aaeX//avtA//gatY//citE//hemL//uhpB//argG//rhaT//cstA//puuR//galT//rplD//ynfK//phoB//tehB//ugpQ//aceF//sdhD//alaS//entH//fadB//glcD//idnO//aroH//lpxB//yaiA//gatC//qseB//sufB//deoA//nirD//fdnG//glnD//abgT//gltU//appC//fepA//rrlB//xdhB//edd//ompX//gdhA//purC//carA//hybC//metK//yegR//talA//modA//yoaG//abgA//yecR//ssuD//yebE//gltU//paaF//rplS//nrfG//focA//yjcH//xylF//hybB//cysK//appY//napF//feoA//oxc//caiF//paaD//baeR//yfeW//malY//uidA//cyoC//treB//metH//mtlA//lpxD//casD//dpiB//nuoH//nanT//tdh//modA//csgD//rrfG//ydeJ//cra//phnD//malF//carA//chbB//aidB//udp//entD//tnaB//fadE//csgG//ppiA//ydhW//grxC//ssb//paaC//paaD//ansB//rplM//metK//rrlG//dps//treR//grxC//sodB//ppdD//trpC//dmsD//citF//folA//hofB//hycG//glpK//sucC//sufS//rpsR//phnL//frdC//ebgC//rstB//hyfD//motB//hlyE//xylF//bamE//malE//hdeA//sbmA//moeB//appC//casE//rrlD//aroH//edd//feoB//metF//gntP//csgA//nanS//dps//hyfB//rrlB//ynfG//artQ//pheM//atoA//metL//qseC//rstA//fabZ//aceE//nanA//mgrB//lpxB//phnG//frdC//fur//rrfF//fecA//phoQ//hycI//cspD//nuoE//manZ//pgk//xapA//yecR//dppC//mhpE//hflX//uxaC//rpoE//rrfC//artM//entB//sbmC//nupC//hha//aaeA//glpK//sufS//nuoE//crp//envZ//pgaB//uof//ykgO//rrsE//nuoK//argC//pgaA//ahpF//rplW//pdhR//appX//amtB//alkA//galK//qseC//ilvN//hydN//lsrC//mpl//malI//glnB//argB//moaC//fixX//efeU_2//nirC//acs//hybG//napA//gatZ//nrdH//ynfG//pyrD//dgcZ//mipA//sdhD//phoE//mhpC//nrfD//gyrA//argP//rplS//rseC//ydhY//paaH//mtr//yegR//rrsA//lsrB//murQ//dadA//fadI//flhD//ybiT//araC//ilvD//mhpT//uidB//casB//znuC//yfbR//metC//rrfF//fhuB//hofO//ydhT//exbB//ilvM//metA//fhuE//hybD//ydiU//hisJ//arcA//mhpA//mdtB//iraD//infB//tomB//ilvM//napD//eda//pitA//bamE//phnK//sucA//ilvL//amn//nrfG//fepB//fepE//rhaS//rmf//map//fecD//cysH//hdeD//argA//acrA//livK//yaiA//nuoF//yoaG//aaeA//hybF//sufD//fepA//chbG//ulaF//ahpC//modA//moaB//ileU//acnA//tap//nanT//ileU//nupG//cheY//copA//gltV//ssuA//bamE//cirA//soxS//nohA//mdtC//ulaE//dsdC//gabT//sohB//gltT//csgC//ybdN//oxyR//mutL//nagB//aroL//znuB//betB//frc//deoD//nrfC//mdtD//crr//fimC//fhuD//ygeH//ccmC//acnA//carA//glpQ//murP//fepB//pgpC//ubiX//lsrD//phoP//citX//puuP//metA//cbl//ompC//aaeX//bcsC//gspE//prpR//ampD//uxaB//micF//erpA//rnlB//glrR//fabZ//cadA//efeU_2//fhuB//gspO//spf//yedX//aroM//rrlB//narH//ssuE//tdh//cadB//cyoB//dapB//sdhB//sucA//ynfH//lsrD//sufA//infC//aaeR//gspL//rrfH//sufB//ykgO//citE//bioD//nlpE//glnA//gspD//codA//grxC//yedX//ahpF//araD//cbl//acrE//spy//
ChbR-Monoacetylchitobiose-6P_neg	rrfF//astA//phoQ//yaiW//betT//fixC//
ChbR-Monoacetylchitobiose-6P_pos	rplW//ynfH//rutC//modB//rcnB//rstB//
CpxR-Phosphorylated_neg	srlR//caiD//hycG//ssrS//puuB//ftnB//lacZ//bamA//ybjG//alaU//gcvH//fimA//aroL//sucD//csgB//ybiT//bioB//astE//hdeB//cydA//ulaD//malI//cysD//pitB//
CpxR-Phosphorylated_pos	glrR//flhD//gntP//phnK//prpR//rpoS//paaD//patZ//tpx//lpxD//metE//hyfE//rrfE//pheS//dppC//ydeP//oppB//pyrD//folE//alaV//ndh//trpA//tauA//alkA//chbB//purD//hyaD//dppF//asr//paaE//yegR//uidC//cpxA//rrlG//glcD//tyrR//fnr//malM//speC//manZ//glgA//tsaE//malQ//tyrB//yiaJ//
CreB-Phosphorylated_neg	csgD//mutL//hofP//
CreB-Phosphorylated_pos	feoC//fixB//fdnH//dsdX//gltD//nikR//
CueR-Ag_neg	trpB//ileU//sucD//tauD//tdcD//
CueR-Ag_pos	guaA//tdcB//
CueR-Cu+_neg	talA//nuoA//gatC//uraA//ssuD//
CueR-Cu+_pos	pstS//codA//
CuerR-Au_neg	rplP//oxyR//lsrF//fhuB//lysO//
CuerR-Au_pos	sodB//argC//
CusR-Pasp_pos	dadX//argG//psiF//fadH//rpsI//dppB//aceK//dapD//tfaQ//idnD//nohA//ung//
CynR-Cyanate_neg	ydhW//
CynR-Cyanate_pos	feoC//dcuC//lsrK//
